PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Sonata I;;;;;;
1;c moll;1;Largo;A.Falckenhagen;;;;3/4;"c/4 ,b3/4 (,d/4 ,a3/4) ,b/4 ,,d3/4 | \
[,,ca{,,,a}1] [,,dc{,,a}2] | \
(c/8 a) ,b3/4 (,d/8 ,b ,a3/4) (,b/8 ,a) ,,d3/4 | \
[,,ca{,,,a}1] [,,dc{,,a}2] | \
(a/4 c d1) [dLy,,a] [dLy,,,b] | "
2;c moll;3;Allegro un poco;A.Falckenhagen;;;;2/4;"(c/4 a) (,b ,a) ([,b{4}/8] ,a) ,,d3/4 | \
[,a{,a}/] ,,d [,,'c{a}1] | \
""piano""(c/4 a) (,b ,a) ([,b{4}/8] ,a) ,,d3/4 | \
[,a{,a}/] ,,d [,,'c{a}1] | "
3;c moll;5;A tempo giusto;A.Falckenhagen;;;;3/4;"V[c{4}1] ,,d [,,'c{,,,a}] | \
[,,d{,,a}/] ,a (,b ,a) ,,d1 | \
""piano""{4}/ c ,,d1 [,,'c{,,,a}] | \
[,,d{,,a}/] ,a (,b ,a) ,,d1 | \
""forte""{,a}1 (a/8 c d1) ['c{,,a}] | \
{,,,a}1 (,a/8 ,b ,d1) [,'b{4}] | "
;;;Sonata II;;;;;;
4;Eb dur;7;Largo;A.Falckenhagen;;;;3/4;"[cbb{,,a}3/4] ,b/4 [,Xa,d{,a}3/2] [,a,d{,a}/] | \
[cbb{,,a}3/4] ,b/4 [,Xa,d{,a}3/2] [,a,d{,a}/] | \
V[,bb{a}3/4] ,,b/4 [,,,,b2] | \
V[,,,d{,a}1] ([,,,d{,,a}/8] ,,,c ,,,a3/4) ([,,,d{,,,a}/8] \
,,,c ,,,a3/4) | \
[,,,'cb{,,a}1] [,,,'a'a{5}2] | "
5;Eb dur;8;Allegro un poco;A.Falckenhagen;;;;2/4;"{,,a}/4 ,,,,b ,,,c ,,,,b ,,b ,,,c ,b ,,b | \
(c/4 a) ,b ,a [,Vb/] [,,b{a}] | \
([,,d{6}/8] ,,b3/8) ,,b/8 ,,,d3/8 ([,,,d{5}/8] ,,,c3/8) \
(,,,c/8 ,,,a3/8) | \
([,,,c{,,a}/4] ,,,a) [,,,,b{,,a}/] {,,a}/4 (c a) ,b | "
6;Eb dur;10;Vivace;A.Falckenhagen;;;;3/4;"{,,a}/ ,,,c ,,b ,b {,a} ,,,d | \
{a}/ ,,,c ,,b ,b {,a} ,,,d | \
{,,a}/ ,,b ,b (c a) ,b | \
{5}/ a (,b ,a) (,,d ,,b) | \
{4}/ ,,d ,b d {5} c | "
;;;Sonata III;;;;;;
7;B dur;11;Largo;A.Falckenhagen;;;;3/4;"([,ab{5}3/4] ,b/4) ([,ab{5}3/4] ,b/4) ([,ab{5}3/4] ,b/4) | \
([,ab{5}/] ,b) [aa{5}1] {5} | \
([cb{5}3/4] d/4) ([cb{5}3/4] d/4) ([cb{5}3/4] d/4) | \
[cb{5}1] ['a'a{5}] {5} | "
