PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A2v;Reggio citta gentil;;;OT;;C|;",,,,d/ ,,,,d/4 ,,,,d ,,,a/ ,,,a | ,,,c/ ,,b/4 ,,b [,bd,a/] [,bd,a/4] [,b,,a] | \
[,dd,,d/] [,d,,,d] [a,,,d] [a,b,d] | \
[,daa/] [,,da/4] ,b [,a,d/] ,,c |";italiantab
2;;A3v;Trista sort'è la mia sorte;;;OT;ConcR3595;C|;",,,,a1 ,,,,c | [,,d,d/] ,,,,a [,a,,a] ,,,,,e | \
[,bd,a/] ,,d [,adc] ,,c | [,bd/] ,,d [a,d] ,,c | \
,,d/ a c [d,,c/4] ,,,e |";italiantab
3;;A4v;Amarilli piangea la morte d'un pastor;;;OT;;C|;"[abd/] [abd] [abd1] | [aac/] [abd] [,,dd] ,d | \
[a,cc/] ,a ,,d ,,d | ,,b/ [,,bc] [,,aa/4] ,,b [,,da] ,a |";italiantab
4;;A5v;Amai sì fortemente il mio bel Sol presente;;;OT;;C|;"[fbd2] | [fb,d3/2] [dabc/] | [b,da/] [ab,,d] [,d,f] ,,f | \
[,b,,d3/2] [ab/] | [,df/] d c [,bd] | [,ab/] a ,d [,dd] | \
[,,cc/] [,bd] ,a ,,c |";italiantab
5;;A6v;Quando sperai del mio servir mercede;;;OT;;C|;"[,acc/] [,acc/4] [,acc] [,bd,a/] [,,def] | \
[,ab,,d3/4] [,df,,d/4] [,df,,d/] [,bd,a] | \
[,acc1] [,acc] | z/ [da,c] [da,c] [cd,,c] | \
[c,da/] [ab,,a] [a,b,d] [,df,,d] |";italiantab
6;;A7v;Ahi che quest'occhi miei ch'erano lieti;;;OT;;C|;"[,bd1] a/ [,ab/4] [,,de] | [,ab/] ,d/4 ,b ,d/ [,,dd] | \
[,,bc/] ,b ,a [ab,,d] | [,dfa/] [,,da/4] ,b [,a,c/] ,,c | \
[,,d,a1] :||:";italiantab
7;;A8v;Che fai Dori che pensi;;;OT;;C|;"[fg,d2] | [df,,d3/2] [df,,d/] | [df,,d/] [bd,a] [ac,,a1] | \
[ac,,a/] [acd] [bd,a] [df,,d] | [fg,d1] [fg,d] | \
[f,,d1] ,b/ [d,,c/4] [b,,a] | [a,,,d/] ,,e/4 ,,d ,,b/ [,d,,b] |";italiantab
8;;A9v;Occhi ridenti e vaghi;;;OT;;C|;"[bdda2] | [a,d,e3/2] [b,da/] | [,de,b/] [b,d,,b] [a,b,d1] | \
[b,d,,b1] [f,,d/] [d,,c/4] [b,,a] | [ab,ac/] ,a/4 ,,d ,,b/ [,d,,b] | \
[,c,ca/] [,d,d] ,,,c ,c |";italiantab
9;;A10v;Chi ardirà di mirar la bella sia;;;OT;;C|;",d/ ,d/4 ,d [a,d/] [,bd/4] ,,d | [,df/] [,ab] [,bd] [,,de] | \
[,,ff/4] ,b [,d,a/] ,,,c ,c | \
[,daa/4] ,,b [,,da] ,,,a [,,bc/] ,,,,d |";italiantab
10;;A11v;Da voi partir vogl'io;;;OT;;C|;",d1 a3/4 c/4 | [d,b/] d [c,da3/4] ,a/4 | \
[ab,d3/4] ,,,e/4 [,,ff/] [,d,f] | [,dde/] f ,,,c [da] | \
,,b/ [cd,a] [a,d] [,b,c] |";italiantab
11;;A12v;Se voi ferirmi il cor;;;OT;;C|;",,b1 [,da/] ,,,a | [,b,c/] [,,de] [dab] ,b | [,cd/] ,d [abc] c | \
[dab/] [,,bc] [,,de] [,ab] | [,bd/] [fb,,a] [da,,c] [a,b,d] |";italiantab
12;;A13v;Mi tolg'ogn'hor la vira;;;OT;;C|;"z/ [,ea,c] [a,bc] [c,da] | [d,ff/] [da,c] [c,ee1] | \
[,ef,c/] [c,,a] [,d,,c] [a,d,e] | [c,aa/] ,,b ,,d [a,,,e] | \
[,e,,c/] [a,b] ,,a ,e |";italiantab
