PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2;Passacalli sopra tutte le littere;;Alfabeto;Guitar;;;;
2;;3;Folie Diverse;;Alfabeto;Guitar;;;;
3;;4;Monica Prima;;Alfabeto;Guitar;;;;
4;;4;Seconda;;Alfabeto;Guitar;;;;
5;;4;Terza;;Alfabeto;Guitar;;;;
6;;4;Zarabanda p.a;;Alfabeto;Guitar;;;;
7;;4;Seconda;;Alfabeto;Guitar;;;;
8;;4;Terza;;Alfabeto;Guitar;;;;
9;;5;Tenor di Napoli - Primo;;Alfabeto;Guitar;;;;
10;;5;Secondo;;Alfabeto;Guitar;;;;
11;;5;Terzo;;Alfabeto;Guitar;;;;
12;;6;Aria di Firenze - Prima;;Alfabeto;Guitar;;;;
13;;6;Seconda;;Alfabeto;Guitar;;;;
14;;6;Terza;;Alfabeto;Guitar;;;;
15;;7;Paganina Prima;;Alfabeto;Guitar;;;;
16;;7;Seconda;;Alfabeto;Guitar;;;;
17;;7;Terza;;Alfabeto;Guitar;;;;
18;;7;Tortilione;;Alfabeto;Guitar;;;;
19;;7;[No title];;Alfabeto;Guitar;;;;
20;;8;Spagnoletta - Prima;;Alfabeto;Guitar;;;;
21;;8;Seconda;;Alfabeto;Guitar;;;;
22;;8;Terza;;Alfabeto;Guitar;;;;
23;;8;Ciacone diu.e;;Alfabeto;Guitar;;;;
24;;9;Pass e mezzo P.a;;Alfabeto;Guitar;;;;
25;;9;Secondo;;Alfabeto;Guitar;;;;
26;;9;Terzo;;Alfabeto;Guitar;;;;
27;;10;Passemezzo Primo;;Alfabeto;Guitar;;;;
28;;10;[Secondo];;Alfabeto;Guitar;;;;
29;;10;Terzo;;Alfabeto;Guitar;;;;
30;;11;Gagliarda p.a p B molle;;Alfabeto;Guitar;;;;
31;;11;Seconda;;Alfabeto;Guitar;;;;
32;;11;Terza;;Alfabeto;Guitar;;;;
33;;11;Gagliarda p.a p B Quadro;;Alfabeto;Guitar;;;;
34;;11;Seconda;;Alfabeto;Guitar;;;;
35;;11;Terza;;Alfabeto;Guitar;;;;
36;;12;Pass e mezzo passaggiato sop[r]a l A;;Alfabeto;Guitar;;;;
37;;12;La sua Gagliarda;;Alfabeto;Guitar;;;;
38;;13;Pauaniglia - Prima;;Alfabeto;Guitar;;;;
39;;13;Seconda;;Alfabeto;Guitar;;;;
40;;13;Terzo;;Alfabeto;Guitar;;;;
41;;13;Vilan di Spagna - Prima;;Alfabeto;Guitar;;;;
42;;13;Seconda;;Alfabeto;Guitar;;;;
43;;13;Terza;;Alfabeto;Guitar;;;;
44;;14;Romanesca p.a e 2a parte col suo ritornello;;Alfabeto;Guitar;;;;
45;;14;Aria di Rugiero P.a 2a 3a;;Alfabeto / Il fine delle Sonate semplice;Guitar;;;;
46;;15;Toccata;;Al Molto Sill.re Sr Marcello Marogna Par ossimo;Guitar;;none;"[ddeg3/2] ,,,c/ ,,,a ,,,,c | [,d,,c3/2] a/ b ,d [abacd1] \
,,,,c/ ,,,,a [daa2] [fd,e] [dd,c3/2] (c/ d f) (d c a) [cdca1]";italian5tab
47;;15;Corrente;;;Guitar;;3;",d1 | d ,,a d/ [c,c] | a1 [,de] ,,c/ [,de] | \
,,a1 [,ff3/2] ,,,,d/ | a1 [,d,a] ,b/ ,a | ,,,c1 ,c/ ,d ,,,,c1 |";italian5tab
48;;16;Aria di Firenza Passeggiata sopra l'A;;Alfabeto;Guitar;;;;
49;;16;La medema in Corrente;;Alfabeto;Guitar;;;;
50;;17;Capriccio sopra la Ciaccona sul'A;;Alfabeto;Guitar;;;;
51;;18;Corrente;;Alfabeto / Al m.to Ill.re Sig. Andrea Barbi Pron Oss.mo;Guitar;;;;
52;;18;Passacaglio Spagnolo;;Alfabeto;Guitar;;;;
53;;19;Corrente;;Alfabeto;Guitar;;;;
54;;19;Balletto Polacco;;Alfabeto;Guitar;;;;
55;;20;Toccata Musicale detta la TURCA;;Alfabeto / All'Illustriss. Sigre MarcAntonio Turco;Guitar;;;;
56;;20;Capriccio sopra il Passacaglio;;Alfabeto;Guitar;;;;
57;;21;Passacalli passeggiati;;Alfabeto / All'Illustre Sr. Santo Battaglini;Guitar;;;;
58;;22;Corrente la Sprezzata;;Alfabeto;Guitar;;;;
59;;22;Alemanda 2a;;Alfabeto;Guitar;;;;
60;;22;Baletto Frances;;Alfabeto;Guitar;;;;
61;;23;Folias sopra l'O con parti uariate;;Alfabeto / All'Ill.s Sig.r Marco Schgtofer Scolaro Carissimo;Guitar;;;;
62;;24;Pass'e mezzo passegiata sopra l'O;;Alfabeto;Guitar;;;;
63;;24;La sua Gagliarda;;Alfabeto;Guitar;;;;
64;;25;Gagliarda detta la Bonetta;;Alfabeto / All'Illustre s. Pio Batta Bonetto;Guitar;;;;
65;;26;Pass'e mezzo sopra l'C Passegiato;;Alfabeto;Guitar;;;;
66;;26;La sua Gagliarda;;Alfabeto;Guitar;;;;
67;;27;Gagliarda;;Alfabeto;Guitar;;;;
68;;27;Corrente;;Alfabeto;Guitar;;;;
69;;28;Capriccio sopra la Ciacona;;Alfabeto / Al Ill.re Sig.r Gio. Batista Zago Pron. Oss.mo;Guitar;;;;
70;;29;Corrente;;Alfabeto;Guitar;;;;
