PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2r;Svsane vn iovr;;;OT;ConcR860;C;",a3 ,c1 | ,d2 ,,f1 ,,d | [,db1] ,,a [a,,c/] d c a | \
[a/] ,,d/4 ,,b ,,a ,,,c ,,,a ,,,,e ,,,,c/ ,,,,e ,,,a ,,,c |"
2;;4r;Fantasie;;;OT;ConcR1435;C;",d2 [f,d] | [fd2] [bd] | [d,e2] [f,g] | [gd,a1] ,f [fg,h] d/ b | \
[acd] d b a [,ddd1] ,,b/ ,,d |"
3;;5r;Fantasie;;;OT;;C;",,,c4 | ,,,c2 ,,a | [,a,a2] ,,,c | ,a1 ,,,a [,c,,e] ,,,,c | \
[,,d,e1] [,a,a] | ,,,c1 ,,d ,,c ,,a | \
[,,cc1] ,,a/ ,,c [,,d,e] ,a ,c ,,d |"
4;;5v;Prelude;;;OT;ConcR2697;C;"[da,c,a1] [ab/] c [da1] ,,,c/ c | \
[aab,,a1] ,d/ ,,a [,c,c] ,d [,a,a] ,c | \
[,,deec1] c f ,,a/ d |"
5;;6r;Prelude;;;OT;ConcR776;C;",d1 a b d | [f,d1] [,df] [f,g] [dd/] b | \
[acd1] [bd] [add] ,c | [bdda1] [a,,c/] ,d [,b,d1] [,ab] |"
6;;6r;Prelude;;;OT;;C;",d1 ,,f ,a/ ,c ,d a | [c,a3/2] ,,,c/ ,,a1 [a,c/] ,d | \
[,cd3/2] ,,c/ ,,a ,,c ,,d ,,a |"
7;;6v;Passemaise;;;OT;;C;",a3/2 ,,e/ ,a1 ,c | [,df1] ,,,,c ,d [a,d,e/] ,,c | \
[c,aa1] [a,cc/] ,d [,cee1] ,,,,,c | \
[,dfec1] {,a}/ a c1 [a{,c}] |"
8;;7v;Passemaise;;;OT;;C;"[,,da3/2] ,,,,d/ [,d,,c1] [a,,,a] | \
[cdda1] {a} [,,aa] [,,bc] | [,,de1] [fd] [da,c] ,c | \
[cdda1] ,a/ ,c ,d1 [a,,,d] |"
9;;8v;Passemaise;;;OT;;C;",,,c3/2 ,,,b/ ,,,c1 ,,a | [aabcca3/2] [,ea/] [a,b1] [c,d] | \
[da,c,a1] [h,,a] [d,,c] [c,a] | [aabc1] [ca,b] [aabc] [,ea] | \
[aa,c,d1] [,da,,c/] ,c [,a,,,d1] [,cdca] |"
10;;9v;Pauane Espagnolle;;;OT;Conc_4405;C;"[,dda{a}1] f/ d [bd1] [da] | [acd,a1] b [,de] [a,b] | \
[,cdc{,,a}1] [,d,d] [a,b] [,cd] | [,d,a1] {a}/ a b1 [a,b] |"
11;;10r;Pauane d'Angle;;;OT;;C;"[cdda1] {a} f ,,,c | [fca1] ,d [df,c] [cd] | \
[acd1] [c,b/] ,,a [da,c1] [ac] | \
[cd,,c1] [,c,,e/] ,a [,,da1] ,a |"
12;;11r;Pauane d'An;;;OT;;C;"[abb,a1] {,,a} b ,,b | [,,,da1] ,b ,d ,,,,c | \
[abb,d2] ,,d | [,d,,b1] [b,d] [,d,d] ,,b/ a | \
[b,d,a1] ,d [ac] ,,,,,d |"
13;;12r;Fin de Gaillarde;;;OT;ConcR623;3;"[fdaa2] {a}1 d [c,,a] ,a | \
[a,,,e1] ,,d [,d,,c] ,,c/ ,,a [,ac1] a/ ,d | \
[,cdca3/2] ,d/ a1 [c,,,,c] [,a,,,d] ,c |"
14;;13r;Gaillarde;;;OT;ConcR61;3;"a3/2 c/ d1 f/ h i2 | [h,,,h3/2] ,,a/ ,,b1 ,,d/ ,a [fb2] | \
[da,,,a3/2] ,,,,,c/ ,,,,,d1 ,,,,a/ ,,,,c [c,d,d1] a |"
15;;13v;Gaillarde;;Gaillarde faicte sur une volte de sen Perrichon;OT;;3;",,d1 ,a ,b2 [,,dd] | [aacc2] ,,,,,a [,b,,a1] [,d,,c] | \
[a,,,d1] [,,aa] [,,bc2] [,,de] | [,dff3] a1 [b,dd] ,a | \
[db,c3] a/ b [da1] ,b |"
16;;14v;Gaillarde;;;OT;;3;"[,dda{a}3/2] a/ [c,,a] d [f,,,a1] [,d,,c] [a,,,,d] | \
[cce,,c1] ,f/ ,e ,c ,,f ,,e ,,c ,,,e1 c | \
[,dba,d2] [,,d,,c] [,a,,,d/] ,c ,d a |"
17;;15v;Premier Branle Simple;;;OT;ConcR639;C;",,d1 | [,b,,a1] [,d,,c] [a,,,d] ,b | \
[,,dd1] [,a,a] [,,cc] ,,,,,a | \
[,,dca1] ,a ,b [,d,,c] | [a,,,d/] ,d a b a b d a |"
18;;16r;Second;;;OT;;C;",c/ ,d | [acd1] ,,,,a [,d,,c] [,a,,,e] | \
[,c,,a3/2] ,a/4 ,c ,,d1 [c,,a] | [a,,c1] [,c,e] [,d,a] [,a,c] | \
[,c,,e1] ,a/ ,c [,,da1] ,,c/ ,,d |"
19;;16r;Troisiesme;;;OT;;C;",b/ ,d | a1 ,,,,d [,d,,c] [,b,,a] | \
[b,,a1] ,,,c ,,,d a | [,dff1] [a,,c] [,b,d] [,d,a] | \
[a,,,d1] ,b a ,d/ ,b |"
20;;16v;Qvattriesme;;;OT;;C;"a1 | [,bd1] ,d [,a,c] ,b | [,,dd3/2] ,,,c/ ,,,a1 ,a | \
[,b,,d3/2] ,d/ a1 ,,,a | [,a,c1] ,b [,d,,c] ,,,,d | \
[,,da1] ,a [,b,,a] ,d |"
21;;17r;Cinquiesme;;;OT;;C;"a1 | ,b1 ,,,,a [,a,,d] ,,d | [,d,,c1] [a,,,,e] [,b,,a] [,d{a}] | \
[,a,,,a1] [,,d,d] ,,,,c ,,c | [,,dca1] {,,a}/ ,a ,b1 [,d,,c] |"
22;;17v;Sisiesme;;;OT;;C;"a1 | [aabc3/2] b/ a1 ,d | [,bd1] [,ab] [,,dd] ,,,a | \
,a1 [,b,c] [,da] [a,c] | ,,d1 [,b,,a] [,a,c] [,d,,c] | \
[,b,,d1] [a,,,a] [,d,a] ,b |"
23;;18r;Premier Branle gaye;;;OT;;3;",d/ ,b1 | [,,dd1] [,a,a] [,,cc] | [,,d,e1] ,,,a/ ,a [,b,,a] ,d | \
a/ ,,,,c ,,,,d1 [,daa/] ,b | [,acc1] [,,d,a/] ,d ,b1 |"
24;;18r;Second;;;OT;;3;"b/ a1 | ,d1 [,bd] ,,a | [,ab1] ,,,c/ ,b [,,dd1] | \
[,a,a1] [,,cc] ,,,,,a | [,,dca1] {,,a}/ ,a [,b,,a] ,d |"
