PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;2;Minuett, mr. Beck's way;;;;;3;"[,,a{,a}/] ,,,c ,,a ,,b [,,a{a}] ,,b | [,,d,,a3/2] ,a/ ,,d1 | \
[,d,,,b1] c [,c,,,d] | [,d{,a}/] ,c ,d c ,d1 | [,,a{,a}/] ,,,c \
,,a ,,b [,,a{a}] ,,b | "
2;F dur;2;The Lass of Petties Mill, mr. Beck's way;;;;Conc_3857;C;"(,,d/ ,,b) | [,,'a{,a}1] (,,,c/ ,,,a) ,,a1 ,,d | \
[,d,,a3/2] c/ [,c,,,d1] (,,d/4 ,,b ,,d/) | \
[,a,,,b1] [,,d,,a/] ,,a ([,d{,a}] ,a) (,,d ,,a) | \
[,,,c{4}2] ,,,c/ ,,a ,,b ,,d | "
3;F dur;3;Maulelies scotts measure, mr. Beck's way;;;;;C;"(,,,,c/ ,,,,a) | [,,dccd3/2] ,,,,c/ ,,,c3/2 ,,d/ | \
,,,c/ ,,,,c ,,,,,d ,,,,c ,,,c ,,a ,,d ,,,,c | \
[,,aad3/2] ,,a/ ,,,c ,,a ,,d ,,,,c | \
[,,,aa1] a {,,,a} ,,a/ ,,c | "
4;d moll;4;The New Highland Lady, mr. Beck's way;;;;;C;",,,,,d/ ,,,,a | ,,,,d3/2 ,,,c/ [,,'a{,}3/2] ,a/ | \
,,d/ ,,a ,,,a ,,a ,,d ,,,c ,,a ,,,a | \
[,,'a{,}1] ,,,c [,,,c{4}] (,,,a/ ,,,c) | \
[,,a{,a}1] ,,,c [,,,c,d] ,,,a/ ,,,,a | "
5;F dur;5;Sweet Willie, mr. Beck's way;;;;;C;"[,,d{,a}1] ,,d (,a/4 ,d3/4) (h/4 e3/4) | (e/4 c a/) \
[,a,,,b1] ,a ,d | ,,d2 [,,d{,a}1] ,,d | (,a/4 a3/4) \
(h/4 e3/4) ([e{,a}/4] c a/) (a/4 c) h/ | "
6;d moll;6;The more discreet, the wellcomer, mr. Beck's way;;;;;C;",,,,a1 | [,,,,a{,,,a}/] ,,,,c [,,,a{,,a}] ,,,c [,,'a{,a}3/2] \
,,c/ | ,,d1 (,,,,,d ,,,,,d) ,,,,c | [,,,,a{,,,a}/] ,,,,c \
[,,,a{,,a}] ,,,c [,,a{,a}] ,,b [,,,c{,,a}] ,,a | \
[,,,a{,,,a}/] ,,,,c ,,,a ,,,,a [,a,,a] ,,d ,a ,c | "
7;C dur;7;You minor beauties, mr. Beck's way;;;;Conc_4229;C;"[,,dcc{4}2] [,,,cac1] [,,,'a] | [,,,,'c{4}2] ,,,,,d | \
[,,d,,d2] ,c | [,ac{a}2] ,,,,,a1 ,,d | [,,'c{a}2] \
([,,,e{,a}1] ,,,c) | [,,d{,,a}2] ,,,,c | "
8;G dur;7;The lads of gallowater, mr. Beck's way;;;;;C;"[,,c{a}1] ,,,c ,,,c ([,,c,,a/] ,,d) | [,'a{a}3/2] c/ ,a \
,,c ,,a ,,,c | [,,d,,a1] ,,a [,,'a] [,,d,,c/] ,a | \
[,cd,,d3/2] c/ ,c1 ,a | "
9;G dur;7;Cromlick's Lilt, mr. Beck's way;;;;;3;"[ca{a}3/2] ,c/ ,a c | [,cd,,d3/2] ,a/ [,,c{a}] c | \
[,'a{,,,a}3/2] ,,c/ ,,a ,,,c | [,,,'c{a}2] ,,,c1 | \
,,c1 ,a c | ([,c,,,d/] ,a) ,c c (e g) | "
10;C dur;8;Corne riggs are bonnie, mr. Beck's way;;;;;C;",,,c1 | [,,d,,d3/2] ,a/ ,c1 ,a/ ,,d | [,,'c{a}3/2] ,,d/ \
,a1 ,,,c | [,,d,,a1] ,,,,,c/ ,a [,c,,,d] c [,a{a}] ,c | \
[,,d,,d1] ,c2 ,,,c1 | "
11;C dur;9;Montroses tune, mr. Beck's way;;;;;C;"[,,,c{a}1] | ,,,c/ ,,a [,,d,,d1] [,a,,,c] ,,d/ ,a | \
([,,d,,d/4] ,a ,c/) [,'a3/4] ,,d/4 [,,,c{,,a}3/2] c/ | \
[c,,,,d/] e c ,c [,a,c] ,c [,'a3/4] ,,d/4 | "
12;d moll;9;Amarillis, mr. Beck's way;;;;;3;",,a1 ,a ,c | ['aaaaa2] c1 ([a{,a}/4] c e/) [,'c{a}3/2] \
,a/ | [,,'e,,a2] ,,a1 ,,,,a ,a [,c,,,e] | \
[,d,,a/] (,a/4 ,c ,d1) [cc,,,d3/2] ,c/ a c | [ed{,a}3] :| "
13;d moll;10;Port Atholl, John Morison's way, by mr. Beck;;;;;3;"[,,,c{a}/] ,,a ,,c1 ,,c [,,'c3/2] ,,a/ (,,c/4 ,,a ,,,c/) | \
[,,,,c{4}3] ,,,,c1 [,,,,'c3/2] ,,c/ ,,a ,,,c | \
[,'a,,a3/2] ,,,,,c/ ,,,,,a {a} [,,,,'a{,,,a}3/2] ,,c/ \
[,,'a] ,,,c | [,,,c{a}2] ,,,c1"
14;g moll;10;Minuett, with the 9th lowed halfe a note, by mr. Beck;;;;;3;"(,,b/ ,,d) ,a1 ,a | [,,,c{a}2] ,,,c1 | (c/ b) (c e) c1 | \
([e{,,,a}/] c) (e f) e1 | ([,,b{a}/] ,,d) ,a1 ,a | \
,,,c2 ,,,c1 | "
15;g moll;11;The prince's air, the 9th lowed halfe a note, mr. Beck's way;;;;;3;"[,,,c{a}1] ,,,c ([,,b,,a/] ,,d) | [,a,a,b2] ,a1 | \
([a{,,,a}/] c) a ,a ([,,d{,,a}] ,,b) | [,,de{,a}2] ,,d1 | \
([f{a}/] c) [a,,,,b] ,a (,,d ,,b) | "
16;g moll;11;Dolas air, with the 9th lowed halfe a note, mr. Beck's way;;;;;3;"[,,b{a}1] (,,,e/ ,,,c) ,,a1 | [,,,'a,a3/2] ,,,,b/ [,,,,ab1] | \
[,,b{a}1] ,,a/ ,,,c (,a ,b) | [,,'d,,a3/2] ,,,f/4 ,,d \
[,a,,,b1] | [,b,,,d1] ,a/ ,,d ,d1 | "
17;g moll;12;Celia, that once was blesst, with the 9th string lowd halfe a note, by mr. Beck;;;;;C;"[,,b{a}1] (,,,e ,,,c) [,a{,,,a}1] ,,,,a | \
[,,,c{a}1] (,,a/ ,,b) [,,'a,a3/2] ,,b/ | \
[,,d,,d1] ,,,,,b/ ,a ([,b{4}] ,a) (,,d ,,b) | \
([,,d{,,,a}/] ,,a) ,,b ,,,c [,,,c{a}2] :| "
18;B dur;12;Another Celia, with the 9th lowd halfe a note, mr. Beck's way;;;;;C;",,,a1 | [,,b,,b1] ,a ,a (,,d3/4 ,,b/4) | \
[,,'a{,a}1] ,,d ,,d (,,b/ ,,d) | ([,a,,,b/] ,b) ,d1 \
([,,a{,a}/] ,,b) ,,d1 | [,a,,,b1] ,,b ,,b :| "
