PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Prelude des presludes. Par il Sr Diomedes;Diomedes Cato;;OT;ConcR375;C;"[da,c/] ,,,,,a ,,,,,d ,,,,,a ,,,,c ,,,,,d ,d ,,,,,c | \
[,b,,,a/] ,,,c [,a,f] ,,,c ,,f ,,,f [,f,,,d] ,,,e | \
[,,,ca/] [,d,,,a] ,b ,,a [,ab] ,,,,,c ,,,,,d ,,,c |"
2;;1v;Prelude. Perichon.;Julien Perrichon;;OT;;C;"[,abcca2] [aab] | \
[aa,,c{,a}1] ,e/ ,c [,ea,c1] [a,,,e] | \
[c,,b1] ,a [d,,c] c/ a | \
[,efec1] ,,,,f a ,,a/ ,,,c | \
[,,a{,a}1] ,d/ ,c [,d,,c1] ,,b |"
3;;2r;Prelude. Jacob.;Jacob Reys;;OT;ConcR376;C;"[cdffc{,a}4] | \
[cdfec2] [cca,b] | \
[cdf,c1] ,,,,e [cd,a] ,,,,c | \
[ccee1] a [,df] a/ ,d | \
[,cdd1] [,df/] ,a c1 ,,,,e/ a |"
4;;2r;Prelude.;;;OT;;C;"[,,,cca3] ,,,e1 | \
,,,f1 ,,,c ,,,f3/2 ,,d/ | \
,,f1 ,,,,c ,,,c3/2 ,,d/ | \
,,b1 ,,,,,a ,,,c3/2 ,,,a/ | \
,,,,d1 ,,,c [,,d,c3/2] ,,,,a/ |"
5;;2v;Vt re mi fa sol la Fantasia dell'eccmo Sr: Diomede;Diomedes Cato;Fantasia Ut Re Mi Fa Sol La;OT;ConcR377;C;",,,c3 ,,a1 | \
,,c1 ,,d ,a ,c | \
a/ ,a/4 ,,d ,,c/ ,,d/4 ,a ,c ,d ,f/ c ,e | \
[ef1] [f,h/] ,,f h ,,h/4 ,,f [k,,h/] ,,f/4 ,,h |"
6;;3v;Pauana del Sr Danielle Inglese;Daniel Bacheler;Pavan;OT;Conc_4433;C;"[,aabc2] {,a}1 ,c | \
[,efec1] a [cef] e | \
[gca1] c [hha,g2] | \
[,,,c,a1] f [effc] ,e/ ,c | \
[cef2] [,ef,c1] e |"
7;;4v;Pauana del medesimo.;Daniel Bacheler;;OT;ConcR176;C;"[caa{,a}3] a1 | \
[,da{a}1] ,a [,d,e2] | \
{,a}1 [,c,c] [,a,a] [,,e,e] | \
[,aff{,a}1] ,d ,f [,d,e] | \
[d,,c,d1] ,,,a/ c [a,b1] ,d/ ,,a |"
8;;5v;Pauana del medesimo.;Daniel Bacheler;;OT;;C;"[aa,c,a3/2] ,e/ a1 c | \
[e,,,,a1] [af] [ee] [fc] | \
[ha,,,a3/2] ,,,,h/ ,,,,,a ,,,g ,,,e ,,,,h | \
[fh,e1] ,,,,e/ ,,,,g ,,,c [ef] ,e ,c |"
9;;6v;Pauana. By Anthony. Holborne. Countesse of Pembrooks Funeralls.;Anthony Holborne;;OT;Conc_4446;C;"[aabcca3] ,d1 | \
[ab,c,a1] ,a [,bd2] | \
[,bdc,a1] ,,b/ ,,d [,ab1] ,,a | \
[,abcca2] a1 ,,d | \
[,dfe{,a}3] ,,d1 | \
[,dfe{,a}1] ,,a [a,b2] |"
10;;7r;Pauana del medesimo.;Anthony Holborne;;OT;;C;"[aabcca2] ,,b1 ,,d | \
[,abc,a1] ,c [,ea{,a}] ,a | \
[aa,,,d1] ,,,c ,,,,,c [fa,b] | \
[dfg,,a1] ,,f ,,d ,,,f | \
[,,fef1] ,,d/ ,,,f [,,dff1] ,,,e |"
