PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2;volto;;Volt / Courant;OT;ConcR135;3;"f1 c ,d | [fd,a3/2] d/ [c,,d1] | [a,,,a3/2] ,d/ [,c,c1] | \
[,dda1] ,,d {a} | ,,d1 ,,a ,,,a | [,,da{a}3/2] ,,b/ [,,aa1] |"
2;;2;Anallmian;;Almain;OT;Conc_4359;C;",c/ ,d | [acd,a1] {,,,a} [acd] ,d/ ,c | ,,d1 {,,,a} [,,dc] ,d/ a | \
[cdda1] {a} [cdd] ,c/ ,d | [acd,a1] {,,,a} [acd] ,d/ ,c |"
3;;3;[fragment];;upside down;OT;;none;"y2 | [aacc,a1] [aacc] | [,ea,c1] ,,,,a ,,,,c | \
[aac,,a1] ,,,c [aac] | ,a y y y y y"
4;B dur;4;The milk maid;;;6g;Conc_1898;3;",,a1 | [,,addb3/2] (,,,c/4 ,,,a) ,,,,d/ ,b | \
[,aaddb2] ,,a1 | [,,ad3/2] (,,,c/4 ,,,a) ,,,,d/ ,,,b | \
[,,,ab{,,a}2] ,,,a1 | [,,,a{,,a}3/2] ,,,,d/4 ,,,a ,,,,b/ ,,a |"
5;B dur;4;[The milk maid];;;6g;Conc_1898;3;",,a1 | [,aaddb3/2] (,,,c/4 ,,,a) ,,,,d/ ,b | \
[,aaddb{5}2] ,,a1 | [,,ad3/2] (,,,c/4 ,,,a) ,,,,d/ ,,,b | \
[,,,ad{,,a}2] ,,,a1 | [,,,a{,,a}3/2] ,,,,d/4 ,,,a ,,,,b/ ,,a |"
6;B dur;5;[The milk maid];;;6g;Conc_1898;3;",,a1 | [,aaddb3/2] (,,,c/4 ,,,a) ,,,,d/ ,b | \
[,aaddb{5}2] ,,a1 | [,,ad3/2] (,,,c/4 ,,,a) ,,,,d/ ,,,b | \
[,,,ad{,,a}2] ,,,a1 | [,,,a{,,a}3/2] ,,,,d/4 ,,,a ,,,,b/ ,,a |"
7;B dur;5;[Canaries?];;;6g;ConcR481;3;"[,aaddb1] ,,c ,,a | [,,a{5}1] ,,c ,a | [,b{,,a}1] a ,a | \
[,,c{,a}2] ,,a1 || {5}1 ,,,,d ,,,d | {,,,a}1 ,,,,d ,,,d | \
{,,a}1 ,,c ,a | [,,c{,a}2] ,,a1 ||"
;;;Backwards;;;;;;
8;;139;sans titre;;;OT;;C;"[acdca1] c/ a | '[,d,,c1] ,c/ ,a [,,ee] ,a ,c [,,ee] | \
[,aa,c/] ,c ,d a [c,,,c] d [f,,,a] c |"
9;;138;mr Daniell Bachelers Round;Daniel Bacheler;More Palatino / En Me Revenant;OT;Conc_4434;C;",,,c/4 ,,a ,,b ,,d ,a ,c ,d a c d | \
[f,,a/4] d c d ,d a c ,d [a,,,a] ,d ,c ,a ,c ,d a ,c |"
10;;137;Grayes Inn maske;;Gray's Inn Maske / Mad Tom of Bedlam;OT;Conc_4339;3;",,d2 | [,,dca2] {,,,a} | [,dda1] {a}/ a [b{a}] {,a} [,d{,,a}1] | \
[fc,,a1] {,,,a} [,,dca2] | \
[,,dca1] {,,,a}/ ,a [,b,,a] ,,,,,d [,,d,,b] ,,,,,a |"
11;;136;The Bu[ilding];;;OT;Conc_3993;C;"[,a,,,a3/2] ,a/ ,,b ,,,c a1 | X[,db,c3/2] a/ X[,bd,a1] ,b | \
'[,a,,,d/] ,,b ',a1 ,,,,a/ ,a ,,d1 | '[,ac,,a2] ,,,c |"
12;;136;A Health to Bettey;;;OT;ConcR486;3;",,,,a3/2 ,a/ ,,d1 '[,,c,,a2] ,,,c1 | '[,bd,a3] [,ac,,a] | \
,,,,d3/2 b/ a1 X[,d,,c2] ,a1 | X[da,c3] [ab,,d] | \
[d,,c1] a2 [,b,,d2] a1 |"
13;;135;Over the mountaines;;Love Will Find the Way / Over the Mountains;OT;ConcR136;3;"[,c,,a1] ,,d a | X[,d,,c1] ,a a/ ,d | [,c,,a1] '[,a,,,a3/2] ,,d/4 ,a | \
[,,dca1] {,,,a}2 || ,,c/ ,,d | '[,a,,,a3/2] ,c/ ,a ,,d |"
14;;135;Com to the court and be all made knightes;;;OT;;3;",,,,a1 [,,dc] {,,,a} | [,,dca2] ,,d1 | ,,,,,d1 [,ab] [,c,,a] | \
[,dd{a}1] [,,d{,,,a}2] | ,,,a1 [,dd] [,cd,a] | \
[,ac,,a2] ,,d1 | '[,a,,,a2] ,,d/ ,a |"
15;;134;[Galliard?];;;OT;;3;",,,a1 | ',,b1 ,,,,,d ',,b | X,,d1 {a} '[,,ba/] ,,d | \
',a1 {5} ,,,,,d | [,a'ba2] ,b1 | [,bbcd1] ,a/ ,b [,d,,c1] | \
[ab,,d1] [,db] ,,,,,d |"
16;;134;A corranto:;;;OT;;3;"X[,dff2] ,,,e1 | [d,,c2] ,a/ c | [acd1] ',,,,a3/2 ,,,,,d/ | \
X[f,,,,c1] ,,,,,a/ c [cad{a}1] | [acd3/2] ,,b/ [,da1] | \
,,,c/ ,,,a [,da,c1] [,c,c] |"
17;;133;A corranto:;;;OT;;3;"a/ ,d  ',b1 ,a | X[,bd1] ,,,d/ ,a ,b ,,d | \
X,d1 {a}/ ,b ',a ,,d | '[,,cc1] ,,,,,a ,b | \
,,,,a1 [,d,,c] ,,b |"
18;;132;Roome for coockoulse;;;OT;;3;"[,dda2] {a}1 | [,,aa1] ,,d2 | [c,,a3/2] a/ ,d1 | \
[a,,,a1] ,c {,,,a} | [,dda2] {a}1 | [,,aa1] ,,d c | \
[a,,,a3/2] ,d/ a1 | [,dda2] {a}1 ||"
19;;132;A maske;John Coprario;The Turtle Dove / Maske;OT;ConcR139;C;"[abd,a1] 'a/ ,d '[,bd,a] ,d a1 | '[bdd{a}1] d/ b [abd,a2] | \
[,,dca/] ,a ,b ,d a c [d,,,,d] a |"
20;;131;An allmaine;Robert Johnson;;OT;ConcR127;C;"a1 | '[a,dca3/2] ,d/ ,b ,a ,,d1 | [,adc1] ',,c/ ,,a [,,d,d1] ,,,,c/ ,,,,a | \
[a,d,d1] ',,,,,b/ ,,,,,a [,,d,,b] ,a [,b,,,a1] |"
21;;130;[The Nightingale];Gauthier;;OT;Conc_285;C;",c1 | X[,c,,a3/2] ,a/4 ,c ,,d1 a/ ,d | X[,cdca2] {,,,a}1 ,,d/ ,a | \
[,c,,a1] ,,d/ ,a [,ca,,c1] ,e | [aac,,a1] ,,,,c ,,,c ,c/ ,d |"
22;;129;sans titre;Mesangeau?;;OT;;C;"a1 | [acdca2] {,,,a}/ a c e | X[f,,,a2] {,,,a}/ f e c | \
a/ ,,,,a ,,,,,e a ,,,,,c a ,e1 |"
23;;129;sans titre;;;OT;Conc_1040;C;"[a,,,,a/] a a a X[a,,,,a1] [,b,,a] | \
[,d{a}/] a ,d ,b X[,a,,,a1] [,,dca] || \
[,,d{,,,a}/] ,a ,b ,,d [,d{a}] ,b [,a,,,a1] |"
24;;128;sans titre;;;OT;;3;"[,c,,a3/2] ,d/ a1 | '[a,,,a3/2] c/ a1 | '[a,,,a3/2] ,d/ ,c1 | \
'[,a,,,a2] ,,d1 | ,,,,a3/2 ,a/ ,c1 | '[,c,,,a3/2] ,a/ ,c1 | \
,,,,a3/2 ,a/ ,c1 |"
