PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Queene Maries Dumpe;;Fragment, incipit completed/added from other sources;OT;ConcR35;2;"[aa,c/] ,,,,,a [aa,c] c | \
[,a,,c/] d [ca,,c] a | [,dda/] a [c,,a] d | \
[cvdda/] d [ddda] c | [aa,c/] ,,,,,a [aa,c] c |"
2;;2v;Mr Pagonto(n) his Galyarde;;Fragment - Packington's Galliard, first part of duet, incipit completed/addedfrom other sources;OT;ConcR36;3;"[aXbd,a3/4] ,d/4 ,b/ a X[bdca1] | \
[,aXcc,a3/2] ,,d/ [,acc,a1] | \
[b,d,a3/4] a/4 ,d/ ,b X,d1 | \
[,bbcdd3/2] ,d/ X[,bbcd1] |"
3;;3v;olde Medlye;John Johnson;Fragment, incipit completed/added from other sources;OT;ConcR37;C;"[aXbd,a2] [abd,a1] [abd,a] | \
[abd,a3/4] ,,d/4 X,,c/ ,,a [aac,,a1] [abd,a] | \
[b,da/] a [abb,d1] [,dg,,d/] ,,f ,,d ,,g ,,f |"
4;;5r;[The Earl o]f Oxfordes G[alliard];;Fragment, incipit completed/added from other sources;OT;ConcR38;3;"[,bdd3/2] ,d/ [,bdd1] | [,abc1] [,dda] [,dda] | \
[abb,d3/2] ,d/ ,b ,d | [abb,d3/2] b/ [db,,d1] | \
[fg,d3/2] g/ [fg,d1] | [df,,d1] [dab,,d] d |"
5;;5v;Dowlandes Lacrimae;John Dowland;Fragment - Lachrimae Pavan, incipit completed/added from other sources;OT;Conc_4415;2;"[ccd,,c1] ,,,e/ [,fc/4] ,d | [,cd,,c/] ,,f [fc1] | \
[,daa/] h/4 f e/ c | [bcc,e2] | [ccd,,c1] ,c/ ,,,,,c | \
,,,,a/ [,cd] a ,,,,a |"
6;;6r;[Mrs White's Choice / Thing;John Dowland;Fragment, incipit completed/added from other sources;OT;ConcR40;C;"[aac,,a1] ,,,,,a/ [aac] [aac,,a1] ,,,,,a/ [aac] | \
[c,,,c/] e f h [ea,,,a1] c/ a | [,ea,c/] a e c [aacc,a2] ||"
7;;6v;Capit[ain] Candishe his Galy[arde];John Dowland;bottom: Fragment of rythm signs only for one stave of tablature;OT;ConcR31;3;"[aabc1] X[da] [ca] | [aa,c,a3/4] c/4 d/ f h ,,,,g | \
,,,,h/ a X[hfg1] f | [haa,,h1] f/ d c1 |"
8;;7r;[Galliard];;Fragment, incipit completed/added from other sources;OT;ConcR34;3;"[aabc3/4] c/4 [da/] ,,,c [da,b] c | \
[aa,c3/4] ,,a/4 [aab/] ,,,c ,,,e [,ed] | \
[da,c3/4] ,c/4 [cd,a/] ,a [a,,,e] ,,e |"
9;;7r;[Toy];Francis Cutting;;OT;ConcR39;3;"[,c,,a3/4] ,a/4 ,,d/ | [a,d,a1] ,c/ [c,da1] a/ | \
[,cdca1] f/ [ea,,,a1] a/ | [ha,,,a3/4] f/4 e/ [acdca1] ||"
10;;7v;[The Earl of Oxford's March];;Fragment, incipit completed/added from other sources;OT;ConcR14;C;"[,,dca1] [,,dca/] ,,d X[,,dca1] [,aXc,,a] | \
X[,cd,a1] ,,,c/ ,d X[,cd,a1] ,,d | \
[aXcd,a1] [aXcd,a/] a [aXcd,a1] [,daa/] ,,c | \
X[,cd,a1] ,,,c ,d [,cd,a/] ,,,c |"
