PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;[Gailliard];;;cittern;;3;"[daa3/2] c/ d f | [gaa1] f d | [fdf3/2] g/ f d | [fdf1] ,d2 | \
[dad3/2] ,,c/ ,,a1 | [,aad1] ,,,b/ ,,d ,,c ,,a |";french4tab
2;;1r;[Gailliard];;;cittern;;3;"[cacd3/2] d/ [cacd1] | ,,,d1 ,,,b/ ,,d ,,c ,,a | [cacd3/2] d/ [cacd1] | \
,d/ ,b ,,,d ,,,b ,,d1 | [dad/] ,b d b [dbab1] |";french4tab
3;;1r;[Gailliard];;;cittern;;3;"d/ f [gaa] ,d ,f g | [ffh1] [feh2] | [gfa/] i l ,h ,i l | \
[iil1] [ihl2] | [lil1] m/ l [ifi1] |";french4tab
4;;1v;Marigold Galliard;;;cittern;ConcR765;3;"[cac3/2] [dad/] ,,a1 | [cac3/2] ,,,b/ [dad1] | [fdf1] ,d/ g [daa1] | \
[cac2] ,,,d1 | [fdh1] [lil] [ihl] | [gfa1] ,,b [feh] |";french4tab
5;;1v;Mr. Birds Galliarde;;;cittern;ConR174;3;"[daa1] [gaa] [feh] | [dad1] ,,a [cac] | [dad1] [ieh] [gfa] | \
[fdh3/2] ,,f/ [lfdd1] | [icc1] [fe] [gfa] | \
[fdhd1] ,a/ g [fhf] d |";french4tab
6;;2r;Sprignals pauen;;;cittern;;C;"[dbab/] ,,,b [dbab] ,a [dbab] ,,,b d f | [gea/] ,,c [bad] d [ed] ,,f [db] ,,f | \
d/ ,,d ,a d";french4tab
7;;2r;Walter Erles pauen;;End on f. 3r bottom;cittern;ConcR3535;C;"[daaa3/2] f/ [haaa1] [ifff] | [feg/] ,a/4 h f ,f ,e ,c [feh/] ,a [hf] [ih] | \
[lka3/4] n/4 [lk/] [ih]";french4tab
8;;2v;Passmeas[ures] A. Holb.;;;cittern;ConcR3095;C;"d/ f | [gaa3/4] ,f/4 ,e/ ,c [feg/] ,f f ,e | \
[daa/] f/8 d c d f/ ,e [fga] [ih] [li] [nl] |";french4tab
9;;3v;A Fancy Dedicate to the Lo. Borough. A: Holb.;;;cittern;ConcR3157;C;",a2 ,c/ ,e ,f ,c | ,e1 ,a ,c ,e | ,f2 ,,a/ ,e/4 ,c ,a/ c | \
[,ec/] ,,e [,cf] ,,c [,ae]";french4tab
10;;4r;Mr Heysis Galliard;;;cittern;;3;"[daaa3/2] ,a/ ,b ,d | ,f1 ,,a/ ,a ,b ,d | z1 ,,d/ ,,b ,b ,d | \
,b/ ,,,d ,,,b ,,,d [dbbb] ,d |";french4tab
11;;4r;Robinsons Fancy;;See f. 23v (1, var);cittern;;C;"l1 l/ l l1 o/ n | [la1] ,a/ [ia/4] g [fd1] [fd/] ,c | \
[ga1] [da/] ,,f/4 ,,d [cac1] [fac] |";french4tab
