PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;JD. B of Musick;John Dowland;Pavan;OT;ConcR324;C;"[hf,f,a1] ,,,,h/ f [da,c,a1] c/ ,,d | \
[,abc,a/4] c a ,e a ,,b ,,a ,,,c ,,,,c [,f,e] ,e ,c X,e/ ,,,,a |"
2;;2v;[Pavan];;;OT;;C;"[hf,f,a3/2] f/ [df,,,a1] [c,,,c/] ,d | \
[db,c/] ,a ,a [c,,a] [a,,,d] ,,d/4 ,,b ,,d ,a ,,,c ,,d | \
[,df,c/] ,f c [hh]"
3;;3v;D. B.;Daniel Bacheler;Galliard;OT;ConcR325;3;"[ha,,,a3/2] f/ d3/4 f/4 | h3/4 k/4 [l,,a1] f | \
[if,h1] i/ [h,,f] ,i h | \
[f,aa3/4] d/4 c/ [da,c] [a,b,d] ,,d |"
4;;4r;D. B.;Daniel Bacheler;To Plead My Faith Galliard;OT;ConcR74;3;"[ffgha1] [dbbcd] [bdda] | \
[a,dca3/2] a/ [da,a,d1] | \
[if,ha3/2] [ff,d/] ,d f | \
[ef,c1] ,,,,,a2 | [afg1] d3/4 ,,f/4 ,,g/ [ffd] |"
5;;4v;Mr Birde Lullaby set by fr. Cutting.;William Byrd arr. Francis Cutting;;OT;ConcR679;C;"[,,b,ca3/2] ,,,c/ [,,b,ca1] [,,a{d}/] {c} | \
[,da,c{a}1] ,,,,c/ ,a [,da1] [,ca,ac] | \
[,,aa{a}/] ,a [,a{a}] ,,,,c [,a,a,c1] [,,e,e] | \
[,abc{a}2] [,ab,ca3/2] ,,,c/ |"
6;;5r;Only ioye;;;OT;;C;"[ha,,,a/] h k1 [ha,,,a/] h e1 | \
[ea,,,a/] h [fc,,a] [ea,,,a] [ca,bc] ,,,,,c [aa,c,a1] | \
[ha,,,a/] h k1 [ha,,,a/] h e1 |"
7;;5v;My Lady Russells paven;John Dowland;;OT;ConcR152;C;"[ha{a}3/2] f/ [ea,,,a1] [ca{e}/] ,,d | \
[,,c,,a/] ,a [a,dc{c}1] [,f,ec{a}/] ,e/4 ,c ,e/ ,,,,a | \
[aa,c,e/] ,f/4 a [ccd,,c] e [fc/]"
8;;6v;A fancy Jo Dow;John Dowland;Fantasia;OT;ConcR330;C;",a/ ,,,,c ,,,,e ,,,b [,a,c] ,,,a/4 ,,,,d \
,,,,c ,,,,a ,,,,d ,,,,,c | \
[,a,,,a/] ,,,,,d {d} ,,,,,a [,,d,,c] [,a,,,d] [,cd,,c] [,ea] |"
9;;8r;A Galliarde fr: pilkington;Francis Pilkington;;OT;;3;",a1 | [,df3/2] ,a/ [,df] a | \
[c,d1] [cab] a | [ccee3/2] ,,f/ ,,e ,,c | \
[,cee1] ,,,,,c [c,da] | [da,c3/2] [c,,e/] [aab] ,c |"
10;;8v;An Allmaine.;Francis Cutting;;OT;ConcR85;C;"[,,da{a}3/4] ,a/4 [,cdca/] [,dda] [abb,d3/4] ,d/4 ,b/ [,d,,c] | \
[abd,a/] [cdda] [da,,,d] [ac,,a] [cdda] ,d [,dda] a/4 c |"
