PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;[Earl of Derby's Galliard];John Dowland;Initial bars incomplete;OT;ConcR308;3;"a/ e f | [ha,,,a3/2] a/ e f | [ha,,,a3/2] h/ e a | \
[h,,,,a1] [fc,,a] [e,,,,a] | [cabc1] ,,,,,,a2 | \
[caa,c2] [cce,c1] | [eef,c3/2] f/ [ea,,,a1] | \
[f,,,a3/4] ,,,,c/4 ,,,,e/ ,,,b [ea,c] ,,,,,a |"
2;;1v;[Galliard];James Harding;;OT;ConcR283;3;"[dab,,d3/2] ,,,,a/ [ca,,c1] | [aab,,d1] [da,,c] [ca,,,,a] | \
[aab,,a3/2] ,,,,,c/ ,,,,,d ,,b | \
[,ab,,a/] ,,,c [,aba,d1] [,c,c] | \
[,daa,d3/2] ,d/ [,bbc,a] ,a | ,a/ ,,,,,,d"
3;;2r;The Erle of Darbies Galliard by Mr Jo Dowland;;;OT;ConcR308;3;"a/ e f | [ha,,,a3/2] a/ e f | [ha,,,a3/2] h/ e a | \
[ha,,,a1] [ffh,a] [ea,,,a] | \
[cef,c1] ,,,,,,a/ ,,c/4 ,,d ,a ,c ,e a |"
4;;2v;Pauana. DB;Daniel Bacheler;End at bottom of f. 3r;OT;ConcR383;3;"[,dda3] a1 [b,ea] ,,d [a,d,d2] | \
[,db,b2] [,,a,a1] ,b [,,ea,d2] ,,,a1 ,,d/ ,,b | \
[f,d,,,a1] ,,,,,a ,,,,,b [da,,,d/] b [acdca1] ,d [if,ha2] |"
5;;3r;wooddicock;cf. Valerius1626 / 198;Woodcock;OT;;3;"[aa,c1] a/ [da,c3/4] c/4 a/ | \
[,ea,c/] ,a ,a [,ea,c3/4] a/4 c/ | \
[aa,,,a1] a/ [da,,,a3/4] c/4 a/ | \
[,ea,c/] ,a ,a [,aa,c] |"
6;;3r;Singers Jigge;Jo Singer;;OT;ConcR97;C;"[aa,c/] d d d [da,,,a] [d,,c] [c,,a] [a,,c] | \
[f,,,a1] a [f,,,a] a | \
[aa,c/] d [c,,a] [a,,,d] [,d,,c] [,b,,a] [,ac,,a1] |"
7;;3r;The Boores Dawnce;The Boar's Dance;;OT;ConcR316;none;"[f,,a,,a2] [c,,a1] ,d/ | [da,,,d1] [acd,a/] [cdda1] ,,,,,,a/ | \
[f,,,,,a2] [c,,a1] ,d | [da,,,d1] [acd,a/] [,dda,,a2] || \
[acd,a3/4] c/4 d/ [c,,a1] ,d/ | \
[da,,,d1] [acd,a/] [cdda1] [,dd/] |"
8;;3r;llantiero;The Boar's Dance;;OT;ConcR316;none;"[a,,,a2] [,c,,a1] ,,d/ | [,daa,,a1] [,ac,,a/] [,c,,a1] ,,d/ | \
[a,,,a2] [,c,,a1] ,,d/ | [,daa1] [,acc/] [,,dca2] | \
[,a,,,a3/4] ,c/4 ,d/ [,c,,a1] ,,d/ |"
9;;3r;Canaries;;;OT;ConcR481;3;"[h,,,,a2] [ea,,,a3/4] f/4 h/ | \
[f,,,a1] [ea,,,a/] [ca,,c1] [aa,,,a/] | \
[ha,,,a2] [ea,,,a3/4] f/4 h/ | \
[f,,,a1] [ea,,,a/] [ca,,c1] [aa,,,a/] | \
[ea,,,a3/4] c/4 e/ [aa,,,a3/4] c/4 e/ |"
10;;3v;[Galliard];;;OT;;3;"[dda3/2] d/ f2 [fdda] | [fdd,,,a3] d1 c3/2 a/ | \
[c,,a3/2] ,,,,d/ [d,,,c2] [f,,,a] | \
[hd,f,d2] ,,,f1 [f,,,a/] d [c,,,c1] d | \
[fc,e,c2] ,,,e1 [d,,,,d/] c [a,,,a1] c |"
