PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;3r;The Bears Daunce;;maybe from 'The Masque of augurs (Ben Jonson), 1622;;;;
2;;3v;sans titre;;Jig;;;;
3;;4r;Almayne;;;;;;
4;C dur;4v;Almayne;;PAN 3.060;kb;Conc_1061;;
5;d moll;5v;Almayne;;Original for lute - PAN 3.098;kb;Conc_854;;
6;d moll;6r;Almayne;;PAN 3.093;kb;Conc_842;;
7;;7r;"Ane Air; Orlando";Gibbons;;;Conc_2865;;
8;;8r;Saraband, Orlando;Gibbons or R. Portman;;Staff;Conc_2866;;
9;g moll;10v;sans titre;Gautier;Allemande - PAN 3.034;6g; Conc_832;C;"[caaa{a}3/2] e/ f ,,,a [ea,,e] ,,c | \
[caa/] {a} ,,,,a ,,,a [caa1] a3/4 ,b/4 | \
[,'a/] ,,a [,,c,ba3/4] ,a/4 [,,a,a/] ,,,,,b [,,,cb3/4] ,,,a/4 | "
10;B dur;11v;sans titre;;Allemande - PAN 3.041;6g;;C;"[aaaddb3] ,,,,d/ ,,,d | \
[aaa/] c/4 e [faa/] f [e,c] c [a,e] ,b/4 a | \
[cbaa/] c [adcc3/4] ,b/4 [,'a,d/] ,,c/4 ,a ,,a/ ,a/4 ,b | "
11;B dur;12v;sans titre;;Allemande - PAN 3.042;6g;;C;"[,,addb1] ,,,,d/ ,,,d [,,ad/] ,,c/4 ,,a/8 \
,,c ,a/ ,b/4 ,a/8 ,b | \
a/ ,a [caaa3/4] c/4 [adcc/] ,b [,a,d/] ,,c/4 ,,a | "
12;g moll;13v;sans titre;Gautier;Allemande - PAN 3.043;6g;Conc_1066;C;",,,a/ ,,,a | \
[,,,abb{a}1] ,,,,,b/ ,,,,a ,,,a/ ,,,c/4 ,,,a/8 \
,,,c ,,a/ ,,c/4 ,,a/8 ,,c [,a,,e3/4] ,,c/4 | \
[,,a{a}/] ,,,a ,,f/ ,,e/4 ,,f ,,e/ {,a} \
[,faa{,,a}3/4] ,h/4 | "
13;g moll;14v;sans titre;;Allemande - PAN 3.044;6a;;C;"[caaa3/2] a/4 ,b ,a/ ,,,a [,'b3/4] ,,,c/4 | \
[,aad1] ,,,a/ ,,c/4 ,,a ,,,c/ ,,,,a [,,aaf3/4] ,,c/4 | \
[,,,c{,,,a}3/4] ,,,,f/4 [,,,,'e/] ,,,,,d \
,,,,,c/4 ,,,,a ,,,,c ,,,,d ,,,a3/4 ,,,,d/4 | "
14;g moll;15v;sans titre;;Courante - PAN 4.135;6g;;3/4;"c/ e | \
[faaa3/2] h/ [ea,,a1] | \
[c,a,b1] ,,,,a ['e,f{,,,a}/] ,f | \
[,ee{,,,a}1] ,f [eee,a] | \
[caa{a}1] ,,,,a ,,,a | \
[caa2] k/ k | \
[kik2] h/ ,i | "
15;g moll;16v;sans titre;;Courante - PAN 4.136;6g;;3/4;"f/ f | \
[faaa3] | \
[f,,,a/] f e3/2 c/ | \
[c,a,b3] | \
[aaaddb1] [aaadd] [aaa] | \
[,bca,d1] [,bca3/2] a/ | \
[,aaa{a}3/2] {,a}/ [,,ca{,,a}] ,a | "
16;c moll;17v;sans titre;;Allemande - PAN 3.045;6g;;C;"[,bca{4}1] ,b/ ,d [,a,,,c/] ,,,a c/4 a ,b a | \
,b/ {4} ,,,,,d ,a [,,cb{,a}/] a a/ ,b/4 a | \
[,a{a}/] ,,,a1 ,,,,d/4 ,,,a [,,,,b{a}/] ,,c [,a,,a] ,,,,,c | "
17;c moll;18r;sans titre;;Courante - PAN 4.137;6g;;3/4;"h1 | \
[hfff3] | \
[ff{a}1] ['d,e{,a}3/2] ,f/ | \
[,f,f{,,a}3/2] ,,,,b/ ,,,a ,,,b | \
[a,,d3/2] ,,,b/ [c,,a] ,d | \
[,b,b1] ,,c ,d | \
[,d,,d1] [,'b,a3/2] ,a/4 ,b | "
18;g moll;18v;sans titre;;Prélude - PAN 1.049;6g;;none;"[,aaaa{a}] ,,,,,d ,,,,,b [,aaa] [,,,,,'a] {a} {,a} \
,,c ,a ,,a ,,,c ,,a ,,,a ,,,,e (,,,a ,,,c) ,,,a {a} \
([,aaa] ,f) {a} [,faa]"
19;g moll;18v;sans titre;;Allemande - PAN 3.046;6g;;C;"[,faa{a}1] ,,,a/ ,,,a [,faa/] ,f ,d3/4 ,,f/4 | \
,a/ ,,,a [,,c,e3/4] ,,,c/4 ,,a/ {a} ,,,,a ,,,a | \
[,,aa/] ,,c ,,e ,,c/4 ,,a [,,,c{a}/] ,,a ,,c ,,a/4 ,,,c | "
20;g moll;19v;sans titre;;Prélude - PAN 1.050;6a;;none;"[caaa{a}] e f [faaa{a}] e c ,e c [caaa{a}] ,,e \
,,f ,,c ,a {a} ,,,d ,,c ,,,c ,,,a ,,,,e ,,,a"
21;g moll;20r;sans titre;;Prélude - PAN 1.051;6g;;none;"{a}1 [,aaa] ,,,,a ,,,a ,,a [,aaa] ,a {a}/ ,,c ,a ,,a \
,,a ,,,c ,,a ,,,a ,,,a ,,,,e ,,,a (,,,,a ,,,,c ,,,,e) ,,,a {a}"
22;Es dur;20v;sans titre;;Allemande - PAN 3.047;6g;;C;"[fff{,,a}3/2] f/ [hk] h [ff] [hk] | \
[dd3/4] ,,f/4 ,,e/ f [eb/] ,,a a3/4 ,b/4 | \
[,bc/] ,,,a ,a3/4 ,,c/4 [,,cb/] ,,,,b [,,aa] ,,a | "
23;d moll;21r, 22r;sans titre;N. Confais;Allemande;;Conc_1067;C;"[eaaaa1] c/ ,d/4 c ,d/ {,,,a}1 e/ | \
f/ {a} e c e ,,,,,c [e,,,,c] [e,,,,e] | \
[a{5}/] ,c ,,d ,,,f ,,a {,a} [,aaa,b] ,c | "
24;d moll;21v;sans titre;;Allemande;;;C;"[eaaaa1] {,,,a}/ ,,,,a [ea] ,d c ,c | \
[aac/] ,,c [c,e] ,d [aa/] c/4 a ,c/ ,,a | \
[,c,c/] [,,,dc] [,a,a] ,,,,a [,,d,,a3/2] ,,d/ | "
25;B dur;22v;sans titre;J. Gautier;Courante - PAN 4.138;6g;Conc_1068;3/4;"a/ a | \
[aaaddb{5}3] c/ c | \
[cba{,,a}3/2] f/ [e{,a}1] | \
[fde{5}1] {d} ,,,d | \
[fde3] k/ k | \
[h,h,,a3/2] f/ [f{a}] ,c | \
[ed{,a}1] [cce{4}2] | "
26;d moll;23v;sans titre;;Prélude (crossed out);;;none;"[,aaaa] {,,,a} [,aaaa] ,c a c e {,,,a} [eaa] c a \
,c a ,a ,,e ,a {,,,a} [,aaaa] ,,,,,d ,,,,,b"
27;d moll;23v;sans titre;;Prélude;;;none;"{,,,a}1 ,,,,a/ ,,,a ,,a ,a ,,a ,,,a ,a {,,,a} ,c a c e \
{,,,a} ,,,,a ,,,a ,,a ,a e e ,a ,,a"
28;d moll;24v;sans titre;F. Dufaut;Ch. De Blancrocher, Allemande l'Offrande;;Conc_1069;C;"[,,aea1] {,,,a}/ ,,,c ,,a ,,,,c ,,,a3/4 ,,,c/4 | \
,,a/ ,,,,a {,,,a}/ ,,c/4 ,,e ,a/ ,c [aa] [cc] | \
[ed/] {,,,a} [cc] [aa] [c,e,,a1] [aaf] | "
29;C dur;25v;sans titre;;Allemande - PAN 3.048;3c;;C;"[,cba{4}1] [,'c/] ,,d/4 ,c ,,d/ {a} [,ada/] ,,b/4 ,a | \
,,b/ ,,,,,d ,,,,a ,,,,c [,,,cd] ,,a [,,b,c] [,a,,a] | \
[,c,,,,d/] {4}/4 ,d c/ ,,a [cb] ,,a [ca,c] b | "
30;C dur;26v;sans titre;Mesangeau;Allemande - PAN 3.033;3c;Conc_113;C;"[,faa{a}3/2] ,,,f/ [,f,e] ,,d ,f3/4 ,d/4 | \
[,cb/] ,,,,d [,,a,a3/4] ,,b/8 ,a ,,b/ ,,,c ,d [,c,a] | \
[a{,a}3/4] c/4 e/ ,,,a ,,,c ,,a [,,b,,a] [,a,,,c] | "
31;F dur;27v;sans titre;;Allemande - PAN 3.049;6h;;C;"[adccd1] {,a}/ ,,,,d [adc/] ,,e/4 ,c a/ [,'a] | \
,,c/ ,,,,d ,,,,c ,,,,a [,,cac/] ,,a/4 ,,,c [,,a,a/] ,,,a | \
[,,,dc{4}/] ,,c [,,,cd{,a}/] ,,a/4 ,,,c [,,,a,d/] {4}1 \
(,,,,,b/ ,,,,,a) | "
32;f moll;28v;sans titre;;Allemande - PAN 3.050;6g;;C;"[adcbd3/2] ,,,a/ ,,,b ,d [,'b,d3/4] ,,d/4 | \
[,,'c/] ,,,b ,a1 [,c,a/] [a,,,d] [cd,,,d] ,c | \
[d{,a}/] ,,,,d c ,,,,,d ,,,,,e/4 a ,,a/ ,,,b ,,a | "
33;B dur;29v;sans titre;Gautier;Allemande - PAN 3.051;6g;Conc_1070;C;"[,,addb1] ,,,,d/ ,,,d [,,ad] ,,c [,,,'c] ,,,a | \
,,,,d/ {,,,a} ,,,,,b/ [,,,,b/4] ,,,,d ,,,a/ {,,a} \
,,,,b/ [,,,'c/4] ,,,d | \
,,c/ {,a} ,,,d/ [,,'a/4] ,,c [,,e,,b/] ,,,a [,,'c,,a] ,,,,d | "
34;a moll;30r;sans titre;;Allemande - PAN 3.052;3c;;C;"[,cbc,a1] [,'a3/4] ,,b/8 ,a ,c/ ,,,c [,,ab] [,,bc] | \
[,a,,a3/4] ,,b/4 [,,'a/] {,,a} [,,,c{,a}] ,,a \
[,,,'b{,,a}] ,,,,c | \
[,,aa{a}/] [,,'b/4] (,,a/8 ,,b) ,a/ {,a} [,,,ac{,,a}] \
,,,a [,,,c{,,,a}] ,,a | "
35;a moll;30v;sans titre;;Courante - PAN 4.139;3c;;3/4;"(c/ a) | \
[,c,,,a1] a c | \
[,,b{,a}/] ,a [,'a3/4] ,,b/4 ,a | \
[,c{,,a}3/2] ,,,c/ ,,a ,,,b | \
[,,b,,a3/2] c/ [a,,,,c1] | \
[,c,,,d1] [,'a{a}3/2] ,,b/4 ,a | "
36;a moll;31r;sans titre;;Sarabande - PAN 5.113;3c;;3/4;"[,cbc,a3/2] [,cb/] [,cb1] | \
[e{,,,a}3/2] e/ ['d{,,a}1] | \
[e{,a}1] ['g{a}3/2] h/ | \
[h{4}3] | \
[caa{a}3/2] [caa/] [caa1] | \
['a{,,,a}3/2] ,c/4 a ,a1 | "
37;a moll;31v;sans titre;;Courante - PAN 4.140;3c;;3/4;",,b1 | \
[,,'bcca3/2] ,a/ ,,b ,a | \
[,,'a{a}1] ,,b [,a{,a}] | \
,c1 ,,,,c {,,a} | \
[,caa3/2] ,c/ a c | \
[e,,,,a1] ,c [,'a] | \
[,,bc{,a}3] | "
