PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;PART 1;;;;;;;
1;;3;Male Simme;;;Mandora;;none;"[,a,a4] [,d,a] [,ca{a}2] ,,e [,,a{a}] a | \
[,f,c2] [,d,a] [,cd] [,a{c}] [,,e{a}3] ,,c1 [,,a{a}2] ,a1 ,c | \
[,d,a2] ,c1 ,a [,c{a}2] ,,a |";french4tab
2;;5;Doun in yon banke;;;Mandora;;none;"[,e,a2] ,c ,a [,,a{a}4] ,,c1 | \
[,a,a2] ,c ,e1 ,c ,a ,c2 ,a | \
[,ef2] a c [d,a] d [c,,a] a1 c [a,a{a}2] |";french4tab
3;;6;O sillie soul alace;;;Mandora;;none;",a2 [,d,a] [,c{a}] ,c1 [a,,d] | \
[,f{d}1] [a,a] [,d,a2] ,c1 ,a [,ce{a}2] | \
[,cd2] [,cd1] [,d,d] [,fd2] [,fd1] [a,,d] | \
[,d,a2] [,f,f] [,ca1] ,c [,aaa2] |";french4tab
4;;8;Long er onie old man;;;Mandora;;none;"[,f,f1] a ,f ,c [,d,a] ,f a ,e | \
[,f,f1] a ,f ,a ,,c3 [,a,a1] |:| \
,c1 ,a ,,c ,a [,d,d2] ,,a1 |";french4tab
5;;9;The Spanishe Ladie;;;Mandora;;none;"[,a,a2] [,c{a}] [,,e{a}1] ,a ,c ,e ,c ,,e | \
[,a,a2] [,c{a}] ,,a ,a [,a,e] [,,e{a}] [,a,a] || \
[,a,a2] ,c1 ,e ,f a |";french4tab
6;;10;My dearest sueate is fardest fra me;;;Mandora;;none;",a/ ,,e ,,c ,,a ,,,e1 ,,,a | \
,a/ ,c ,e ,a [,c{a}1] ,,e | \
,a/ ,,e ,,c ,,a ,,,e1 ,,,a | \
[,a,a1] ,c [,e,a] a |";french4tab
7;;12;I longe for your virginitie;;;Mandora;;none;"[,,d{d}1] ,a ,c a | ,f/ ,c ,a ,,d [,,a{a}2] | \
,,d1 ,a ,c a | [,f,f1] ,c ,f/ ,c ,a ,,d |:|";french4tab
8;;13;Hutchesonn's Galjard;;;Mandora;;none;"[a,a2] [,,d{a}] [,a,a] [,c{a}] ,,a1 ,d [,c{a}2] | \
[d,,d2] [,d,d] [,f{d}] [ad,a] b1 [ad,d2] [f,,a2] [,d,a] [,f,f] \
[a,a2] {a}1 k";french4tab
9;;15;Pitt man inche and moir of it;;;Mandora;;none;",c/ ,e [,f,f3/2] a/ ,c1 | [,e,a3/2] ,f/ a1 ,e | \
[,f,f1] ,,,f ,,c/ ,,a ,,c ,,d | ,a1 ,,,f |:| \
,c/ ,e ,f ,e ,f";french4tab
10;;17;A french Volt;;;Mandora;;none;"[a,,a1] ,e ,a | [a,,a2] ,f/ ,e | ,f/ ,e ,c ,a ,c1 | \
,a1 ,,,a ,,a | [,a,a2] ,a1 | ,,a1 ,,,e ,,,a |";french4tab
