PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;17v;The day daus in the morning;;The Day Dawns in the Morning;OT;Conc_4338;3;"[,a,a,d1] ,,,,,d/ ,a ,c d1 | \
,,,,,c2 | \
,,,,,a1 a/ c1 | \
[da,,,a1] c | \
[a,,,,a1] ,d/ a1 | \
[b,,,,d1] ,,d/ ,a ,,d ,a ,c1 | \
,d2 ,,,,,c1 |"
2;F dur;18v;2. tom of badlamad;;Gray's Inn Maske / Mad Tom of Bedlam;OT;Conc_4339;3;"[,d,a1] [,d,a/] [a,,,e] [c,,a1] [,d,a] a c d [f,,,a] ,,d1 [,,d,a] | \
[,,d,a/] [,,d,a1] [,a,,,d1] [,c,,a/] [,,d,a1] ,a ,c ,d ,,,a [,,,a{a}] |"
3;g moll;19r;3. Ane Currant;;Courant;OT;;3;"a2 ,,,,,a1 ,a | \
[a,,c/] ,d [,c,,a1] ,d a/ ,c | \
[,da,c1] ,c/ ,d ,a1 | \
[,,dd{a}1] ,a [,,b,,a1] | \
[,,d,a2] [,,a,c1] ,,,c/ ,,a | \
,,,c1 ,,,,,a |"
4;F dur;19v;4. The giuens coraant;;Brett's Courant;OT;Conc_3469;3;",,d1 | \
[,,da{a}2] ,a/ ,,d | \
[,a,,,d2] [,c,,a1] | \
[,dda2] {a}1 [,dda] | \
a/ ,d | \
[,cd,a2] [a,,,,d1] | \
[,,d,,c2] [,,b,,a1] | \
[,,aa{a}1] ,,,c/ ,,,a |"
5;g moll;20r;5. bauckingamegost;;Buckingham's Ghost;OT;;3;"[,,,c,a2] a1 | \
[,db1] ,,,,,d | \
[,db1] ,,,,a | \
[,acc,a1] ,,d/ [,,dca1] | \
[,,b,,d2] ,,d1 ,a | \
[,,da{a}2] [,,ba,a1] | \
,,a1 {,,a}/ ,,,c ,,,b1 |"
6;c moll;20r;6. though your Strangness;;Though your Strangeness;OT;;3;"[,,d,a2] ,a/ ,b ,,d1 | \
[,,cc,a1] ,,d/ [,a,a,a1] | \
[d,,c1] c/ a1 | \
[,d,,,d2] [,bd,a1] [,acc,a1] | \
,a/ ,b1 | \
[,d,,,d1] [,aba/] | \
[,bd,a1] [,d,,,d/] |"
7;c moll;20v;7. Ane mask;;Masque;OT;Conc_1040;3;"[,,d,a2] a1 | \
[a,,,a2] ,d1 | \
[a,,,a2] [,b,,a1] | \
{a}/ ,d [,dda{a}1] ,b2 | \
[,a,,,a2] [,,dca1] | \
[,,d,a1] ,a/ ,b ,,d2 | \
[,dda{a}1] ,b [,acc,a1] | \
[,,d,a1] ,a/ ,b ,,d2 |"
8;c moll;20v;8. ballatt;;Ballet;OT;;3;",,d/ ,a1 | \
[,b,,a1] [,acc,a1] [,,d,d/] [,,c,,a1] | \
[,,d,a1] {,,,a}/ [,,d,a1] | \
,,d/ ,a1 | \
[,b,,a1] [,a,,,d/] [,b,,a1] | \
[,d,,c1] [a,,,d1] {,a}/ a1 | \
a/ b1 |"
9;c moll;21r;9. Shiphard sau you not;;Shepherd Saw Thou Not;OT;Conc_4341;C;"[,,d,a1] ,a/ ,b1 ,d1 | \
[,acc,a1] | \
[,,d,a2] ,a/ ,b1 ,,d ,a/ ,b1 ,,d1 ,a/ | \
[,,cc1] ,,,,,a/ | \
[,,d,a1] ,,c/ ,,d1 ,a/ | \
,b1 ,a ,b/ ,d [a{,a}1] |"
10;F dur;21v;10. Ane curant;;Courant;OT;;3;"[,dd{a}1] ,,d/ | \
[,dd{a}1] ,,d/ | \
[,,a{a}1] ,,,a/ [,,,a{a}1] ,,,a/ | \
[,,b,,d1] ,,d/ ,a1 | \
[,a,,c1] ,a | \
[,,b,,a] [,b,c] [,,,c,a] ,,,c | \
[,,a{a}] ,b ,d |"
11;F dur;22r;11. corantt;;Courant;OT;;3;",d1 | \
{a}1 ,d/ ,,d1 | \
[,,a{a}1] ,,,a/ ,,d1 | \
[,,dc{,,,a}1] ,,b/ ,,a ,,,c1 | \
[,,av1] ,,,a/ ,d1 | \
[,a,,c1] ,c ,d/ a ,c1 | \
[,a,,,a1] ,,d/ ,a1 |"
12;C dur;22r;12. curantt;;Courant;OT;;3;",,d1 | \
[,c,,a1] ,d/ a1 | \
a1 [c,,a/] f1 | \
a1 ,,,,,a/ ,,,,c [aac1] | \
a/ [,dd{a}1] a/ c1 | \
[,c,,a1] ,d/ a1 ,,d/ | \
[,c,,a1] ,a/ ,c1 |"
13;F dur;22v;13. Sinkpays;;Sinkapace Galliard;OT;ConcR13;C;"[c,dda1] {a}/ d1 | \
[cdda1] [acd,a1] [,d,,c/] [,ab,,d1] | \
[,cd,a1] ,,d1 [,a,,,d/] ,c ,d1 ,,,,,c | \
[,a,,,a1] ,c/ [,dda1] {a} | \
a/ [c,,a1] d/ f1 |"
14;d moll;23r;14. Saraband;;;OT;;3;"[,d,,c1] ,d ,d1 | \
[,d,,c1] a/ c1 | \
[a,,,a] c/ ,d1 | \
[,c,,,c1] ,a | \
[,fd,,d1] ,a/ ,a | \
[,,d,,c1] ,,b/ ,,a | \
[,,,c,a1] ,,,a/ {a}1 |"
15;f moll;23r;15. The spanish pauin;;Spanish Pavan;OT;Conc_4343;C;",,d1 [,dda{a}1] b a/ ,d1 | \
[,c,,a1] ,,d/ [,,d,a1] | \
[,a,,,d1] [,c,,a/] [,d,,,c1] | \
[a,,,,d1] [,c,,a] | \
[,d{a}1] a/ b a1 ,d ,a | \
[,b,,a1] [,d,,c] | \
[a,,,d] ,b {,a}1 |"
16;f moll;24r;16. Left my tru lau;;I Left my True Love;OT;;C;",,,a1 ,,,c/ ,,a1 | \
[,d{a}1] | \
[,,d{a}1] ,,a/ ,,,c1 ,,,a | \
[,,,c,a1] ,,,a/ ,,,,c ,,,,a ,,,,c ,,,a1 | \
[,b{,a}2] ,,,c | \
,,,a1 ,,,c/ ,,a [d{a}1] | \
[,,d{a}/] ,a ,,d1 ,,a ,,,c/ ,,,a |"
17;d moll;24v;17. Port Robart;;;OT;;3;"{a}1 ,,,a/ ,,,,,c1 ,,a/ ,,,,a1 ,,d/ | \
,,,,c1 ,a/ [,d,a1] a/ [c,,a1] c | \
[a,,,,a/] a1 [,d,a] ,d/ | \
[,a,,c1] ,a | \
[,,d,a] ,,d | \
[,d,a1] {a} |"
18;F dur;24v;18. hulie and farie …;;Holy and Fairly;OT;;C;"[,d{,,a}1] ,a/ ,a | \
[,a{,,a}1] ,d | \
[,,a{a}1] ,d/ ,c | \
[,d{a}1] ,,d | \
[,d{,,a}1] ,a ,a/ | \
[,a{,,a}1] ,,d ,,a | \
[,,,c,a1] a a | \
[a,,,,a1] ,a |"
19;F dur;25r;19. You miner beautis of the night;;You Minor Beauties of the Night;OT;Conc_4229;3;"[,dda{a}1] ,,d/ ,,b1 | \
[,,a{a}1] ,,,c/ ,,,a1 | \
[,dda{a}1] [cdd{a}/] [acd,a1] | \
,d1 [,c,,a/] ,a1 ,,d | \
[,dda{a}1] ,,a1 | \
[,,b,,d1] ,,d/ ,a1 | \
,,d/ [,,d,a2] |"
20;g moll;25r;20. I newer kew I loued the;;I Never Knew I Loved Thee;OT;Conc_4344;C;"a1 | \
[,abd,,d1] ,,d ,,b/ a ,d1 ,a ,d ,a [,,d,a1] ,,,,,a [,aba,,d3/2] ,,d/4 ,,b ,,,,,d3/2 [,bab,,d/] ,d1 ,,,,,d |"
21;F dur;25v;21. The quins Mask;;The Queen's Maske;OT;;3;"[,,,a{a}1] ,,,a/ ,,,a1 | \
[,,,a{a}1] [,,,c,a] | \
[,,a{a}1] [,,b,,a/] [,,d,,c1] | \
,,d1 [,ab,,d/] [,c,,a1] [,dd{a}1] | \
,,d/ ,,d [,,d,,c1] ,,d | \
[,a,,,d] ,,d1 ,,b ,,a |"
22;G dur;25v;22. gautirs corant;Gaultier or Jean Heart;Courant;2a;Conc_1662;3;"b2 | \
[baa{a}1] d b/ | \
a1 ,,,,a ,c/ ,a ,,b1 | \
,,a1 {a} ,,,a/ [,,aa1] | \
,,a1 ,,b/ ,,d1 | \
,c1 ,,,,,d/ ,,,,,c1 | \
,,,,,a d1 b/ d1 | \
a1 ,,,,a/ {,,,a} |"
