PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;My lade bekluch her book;;;;;;
1;;1;Wolt;William Byrd arr.;La Volta Courant;OT;ConcR100;3;"[cdda1] a ,d | [cdda2] {a}1 | [cdda1] a ,d | [fd,a2] {a}1 | \
[cdda1] a ,d | [fdda1] a c |"
2;;1;sans titre;;;OT;;3;"a1 | [cdda1] d c | [acd,a1] ,d ,c | [,dda2] {a}1 | [,dda1] a c | \
[a,,,d1] c d | [d,,,d2] [c,,a1] |"
3;;2;Spynelet / fnes codsumbedr;;;OT;;3;"[cdda1] c/ [a,,,e1] [,da,c/] | [,cd,a1] [,d,,c/] [aa,,,d] ,,,,a [,da,c] | \
[f,,a/] d c [a,,,,d] ,d [,cd,a] | [,dda1] {a}/ [,dd1] :||:"
4;;3;Curent;;Brett's Courant;OT;Conc_3469;3;",,d1 | [,,da{a}3/2] ,a/ ,,d1 | [,a,,,d1] [,cdca2] | \
[,dda2] {a}1 | [,dda1] a ,d | [,cdca2] [,aba,d1] | \
[,,da,c2] [,,bc,a1] | [,,aa{a}1] ,,,c ,,,a |"
5;;4;Gabot;;Gavotte;OT;;C;",c1 ,d | [a,,,,a1] [,cd] [c,,a] [,da] | [aacc1] ,,,,,a/ ,d [,cdca1] ,a/ ,,d | \
[,,c,,a1] [,,d,,c] [,a,,,e/] ,c ,d a |"
6;;5;sans titre;;;OT;;3;",,d/ ,,b | [,,a{a}1] ,,,a ,,a | ,,,a1 ,,,,a ,,,a | [,,a{a}1] ,,,a ,,a | \
[,,d,a2] ,d1 | [,dda3/2] a/ ,d1 | [,cdca1] ,d ,c |"
7;;6;Curente;William Byrd arr.;La Volta Courant;OT;ConcR100;3;"[c{a}1] [a,,,,a] [,d,,a] | [c{a}1] ,,,,a ,,,a | [c{a}1] [a,,,,a] [,d,a] | \
[f{a}1] ,,,,a ,,,a | [d{a}/] c [a,,,a1] [,d,a] | \
[c{a}1] [d,,,a/] c [a,,a] ,d |"
8;;8;Swit Sant nikcola;;Sweet Saint Nicholas;OT;Conc_4434;C;"[,dd{a}1] [,dda] [,dd,c] [acd,a] | X[cdda{a}1] ,,,,a ,,,a [d,,c] | \
[f,,e1] ,d [da,c] ,c | X[cdda1] {a} ,,,a ,a/ ,c | \
[,d,,c/] a c ,d"
9;;9;sans titre;;Jendure un facheux ennuy;OT;ConcR948;C;"[cdda1] [cdd] [dab,,d/] ,,,,a ,,,,c ,,,,e | \
[cdda1] a/ c [acd,a1] [acd] | [cdda/] d f1 [f,,,a] d | \
[cdda2] [acd,a] :||:"
