PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Die meiste Konkordanzen sind durch John Robinson zu Verfügung gestellt;Most Concordances supplied by John Robinson;;;;
1;;1;Fantasia;;;OT;;C;",,,,,c/ ,a [,b,,a] [,a,,c] | \
[,,d,d/] ,,b/4 ,,,,c [,,a,a/] [,,,c,d] | \
[,,,b,d/] [,,,c,a] ,,,,,c ,,,b | \
,,,,,a/ ,a ,b ,a | ,,,f/ h [i,,h] [h,f] |";italian7tab
2;;1;Fantasia;;;OT;ConcR1254;C;",d3/2 a/ c d f1 | ,,d1 d/ [ca] | [ac/] ,d [df1] | \
c/ ,d [ad] ,d | [a,d/] ,c/4 ,d ,c ,a ,c ,,,a |";italian7tab
3;;3;Pauana;;;OT;ConcR1547;C;"z1 [,ab,,d/] ,b | [,db,,d1] [,dc,,d/] ,a [,b,,,d] ,d | \
[abb,d3/2] ,d/ | [,bdd1] [,ab,,d] | \
,,,a/ [,,dd] [,,bc] [,,b,d] | ,,,a/ [,,bc] ,,,a [,,dd] |";italian7tab
4;;4;Fantasia;;;OT;;C;"a2 a1 | [he] | [hf1] [g,h] | [ha1] [ef] | \
c1 [,ef] | [ac1] ,,e/ c | [ea/] g [he1] | \
[,,he/] g e/4 h g1 |";italian7tab
5;;6;Galiarda;;;OT;;C;"[cdda1] [,aba,d] [,cdca] | [cdda3/2] d/ [cdda1] | \
a/ ,d [,cdca1] [,aabc] | [ccee,c3/2] [cce/] ,,,e1 | \
[ccee,c/] e/4 f [e,c1] | [c,,e3/4] e/4 f/ ,,,,e ,,,,f3/4 e/4 |";italian7tab
6;;7;Nasce La pena mia;;;OT;ConcR989;C;",a1 ,,,,c/ ,a [,aa] ,,,,c [,d,,c] | \
[,,aa/] [a,,,c] ca ,,,c [,,aac] e [f,deec] ,,c | \
[,cdca/] ,,,,,c [f,d,,c] ,,,,c [fcdcef] ,,,,f [,c,c] ,,,,c |";italian7tab
7;;9;[end of piece];;;OT;;3;"z z z | [de/] ,,,e | [acd1] a/ [acd1] a/ | \
[acd3/2] d/ c a | ,d/ ,,,,,d [ac,,a] ,d [ad,,,a] ,c | \
[cdda3/2] [cd/] ,,a1 |";italian7tab
8;;9;sans titre;;;OT;;C;",,,,c2 ,,a1 ,,,a | ,,d/ ,,,,e ,,,a [,,cc] [,,de] ,a ,c ,,,c | \
[,,aa1] [,,d,e] [,a,a] [,,bc] | \
[,da,c1] ,,,,c/ ,c [,da] a [c,,a1] |";italian7tab
9;;10;Viva la speranza [rimembrando] di Crema(?) a 4;;;OT;ConcR3611;C;"[aacc2] [aacc1] [abd,a] | [aabc1] [abb,d] ,,d [,dff,d] | \
[,bdca/] ,a/4 ,b ,d ,b ,a ,,d [,abc,a1] [d,,,,a] | \
[,a,c1] [c,ab] [aab,,a] ,a |";italian7tab
10;;10;Passemezo del perpo(?);;;OT;;C;"[,dda/] a | [cdda1] ,d/ a | [cdda1] [aab,,d/] ,d | \
[,cdca1] ,,d/ ,a | [,cd,a1] f/ [cd,a] | [ea,c1] [f,d,e] | \
[,a,a1] [e,,c] | [fcd,a1] ,,d/ ,a |";italian7tab
11;;12;Recercha;;;OT;ConcR1349;C;"z2 h | i2 h | ,a1 h [,ig] f | [ca1] d ,,,,c [ca] | \
[,,b,d1] [a,d] [,,a,c] ,e/ ,c | \
,e1 [,a,,c] [,,d,d/] ,,b ,,a ,,,c |";italian7tab
12;;13;Ricercata;;;OT;ConcR1322;C;"f3/2 d/ c a ,d1 | d1 c [a,d] f/ ,,b | \
,,a/ [d,,c] [c,,a] a [,db1] ,,a | \
[d,,c1] [c,d] a/ ,,b [f,a] ,,,c |";italian7tab
13;;14;Nasce La pena mia;;;OT;ConcR989;C;",a1 ,,,,c/ ,a [,aa] ,,,,c [,d,,c] ,,a | \
[,,aa/] [a,,,c] [ca] ,,,c [,,aac] e [f,deec] ,,c | \
[,cdca/] ,,,,,c [f,d,,c] ,,,,c [,cdcef] ,,,,f [,c,c] ,,,,c |";italian7tab
14;;16;sans titre;;unfinished;OT;ConcR238;C;",,,c/ [,ab] ,,d1 | [,df/] ,,b/4 a [c,d/] [ca] | \
[d,,c/4] ,,d ,,b ,,a [,,bc/] d/4 ,d | \
[ca/] [a,b] ,,a/4 ,e/8 ,c [,ef,c/] |";italian7tab
15;;17;sans titre;;;OT;ConcR1356;C;"f2 | f1 h | [dc1] c | [cd1] [fd] | [,df/] a c d | \
[fc1] ,d/ d/4 c | [a,d/] c [a] c/4 a |";italian7tab
16;;18;sans titre;;;OT;ConcR170;C;"h2 | i1 h | a/4 c d f h1 | f1 d | [ca1] d | [ab1] [da] | \
,,,c/4 ,,a ,,b ,,d [ca1] | ,,d1 [,ab] |";italian7tab
17;;20;sans titre;;;OT;;C;"a2 a | [a,,c/] ,,,b ,,,c ,,a | [a,,c/] ,d a c | \
[da,c/] c d f | [da,c/] ,,,a ,,,c ,,,e | \
[,dff/] ,,d ,,,f ,,,e |";italian7tab
18;;21;Ala dolce obra di S.;;;OT;;C;"[,cdca2] | [,ddef1] [,hff,d] | [,cdca3/2] ,,b/ | \
[,aabc/] ,,,c [,aabc1] | [effc1] [effc] | \
[ffhh1] [fhi,f] | [dffc3/2] ,d/ | [ccde/] ,a [ccee1] | \
[,aaac/] [,aa] ,,,a [,cde,c] |";italian7tab
19;;22;Vestua e Cholli;;;OT;ConcR861;C;",a2 ,a/ ,a a ,,,c ,,,c [a,,c] | \
[,df/] ,a ,d [ac] [cd,,c] ,a [,d,,c] [,d,,c] | \
[ac,c1] [da/] ,,,c [cd,a] ,,,,c ,,,a [ac,c/4] [,df] |";italian7tab
20;;23;Fantasia di mr Andrea feliciani;;;OT;ConcR1359;C;"a1 c/ d f c [d,,c] c/4 a | \
[,da/] [,bb] [,cd] ,,a [,ab] ,,a/4 ,,,c ,,,a/ ,,d | \
[,abc/] ,c [,daac] ,,a [,ab,,a] ,,a/4 ,,,c |";italian7tab
21;;25;sans titre;;;OT;;3;",,d1 | [,,da3/2] ,,b/ ,,d1 | [,aba,d3/2] ,,d/ ,,b1 | \
[,,aa,,a2] [,,aa1] | [fdaa3/2] d/ c1 | [acd,a2] [,ba,c1] | \
[a,,,,d3/2] ,d/ [,cd,a1] | [,daa,,a2] ,,,,a1 |";italian7tab
22;;25;sans titre;;;OT;ConcR2401;3;"[cdda2] [cdd1] d [cdda2] | [a,,,d2] [,db,c] [,d,,a1] ,b | \
[,aba,d2] [,aba1] ,,d ,a ,,b | \
[,,d,,c1] ,a/ ,,d [,,b,,a3/2] ,,d/ ,,b1 |";italian7tab
23;;26;piece for 5c guitar;;;;;;;
