PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;prludume;;Prelude;OT;;none;",,,,,a/4 ,,,,,c ,,,,,e ,,,,a ,,,,c ,,,,e ,,,,a ,,,,c ,,,,e \
,,,a ,,,c ,,a ,,c ,,d ,a ,,c ,,d ,a ,c ,e a ,c"
2;;1r;Mmy lord wilobie;John Dowland;My Lord Willoughby's Welcome Home / Roland;OT;Conc_4430;C;"[ca,,c1] h [fc,e,c3/2] d/4 c/ [d,,,a/4] f | \
[h,,,,d/] ,a ,d a [ccee,c2] | \
[,aa,c/] c X[ha] [g,a] X[ha] [g,a] X[ha] c |"
3;;1r;John Dowlands Galliarde;John Dowland;Captain Candish's Galliard;OT;ConcR31;3;"[aXf3/4] c/4 Xd/ a Xc ,e | \
[aa,c3/4] c/4 d/ f h ,,,,g | \
,,,,h/ ,a [hfg1] Xf | \
[haa,,h1] f/ d Xc1 |"
4;;1v;Quadren pauian;John Johnson;;OT;ConcR68;2;",,d/ ,a | \
[,cd,a1] X,,,c/ c | \
[a,,,a/] ,d ,c ,a | \
,,,,a/ [,cd] ,,,c ,d | \
[,d,ca/] ,c/4 ,a [,d,,a/] X[,c,a] |"
5;;2r;the harte opreste;;The Heart Opressed, duet treble;OT;ConcR424;none;",a1 ,a/4 ,b ,d ,b ,a ,,d ,,b ,,a ,,,c ,,,b ,,,c \
,,a ,,b ,,a ,,b ,,d ,a ,,e ,a ,c"
6;;2v;passingmesures pauian;;P.A. Pavan, duet treble;OT;ConcR4;C;"d2 d1 Xc | \
a1 c/ d f d f/4 d c a | \
Xc1 ,d/ ,c ,d a Xc1 | \
,a/ ,c ,e a Xc1 ,e |"
7;;3r;greeneslueus;Henry VIII;Greensleeves, duet treble;OT;Conc_4503;2;"h3/4 i/4 Xh/ Xh | \
f/ c X,d1 | \
d3/4 c/4 a/ Xc/ a | \
c/ ,e Xa1 | \
Xh3/2 i/4 Xh/ Xh |"
8;;3v;The heare trebble of Rogeroe;John Johnson;Ruggiero, duet treble;OT;Conc_3638;C;"a/ c | \
e1 c/ a f1 e/ c | \
e3/2 f/ e1 h | \
f1 e c/ e a c | \
,e/ c c/4 a ,e ,c"
9;;4r;the galliard to the quadorn pauion;?John Johnson;;OT;ConcR58;3;"a/ c | \
[eff,,a3/2] f/ [eff,,a1] | \
a/ c [e,,,,a] f h e | \
[ffh,a1] d3/4 c/4 a ,d ,c ,a | \
[,,d,a/] ,a ,c ,e a c |"
10;;4v;the flate pauiane;John Johnson;Flat Pavan;OT;Conc_4389;C;"[abd,a1] ,d [,bd,a] [,acc,a] | \
[,,dca/] ,a ,b ,d [aa,c,e1] [aac,,a] | \
[abd,a1] [bdda] [aa,c/] ,,,a [aa,c] ,d | \
[,cdca/] ,,a/4 ,,c ,,d ,a"
