PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Saltarello;;;Guitar;;none;"[cdca] [cdca] c [cdca] | [daaa] [daaa] | [accc] a [accc] | \
[cdca] :||";italian4tab
2;;1v;Galiarda archetto;;;Guitar;;none;"[caaa1] | [abac] [abac] | [cdca] [cdca] c/ [cdca1] | \
[daaa] | [abac] | [cdca] | [daaa] [daa] d/ [daaa1] :||";italian4tab
3;;1v;Ruggier;;;Guitar;;none;"[daaa] [daaa] [daaa] | [abac] | [cdca] | [daaa] [daaa] d/ \
[daaa1] [daaa] [daaa] [daaa] | [abac] [abac] |";italian4tab
4;;2v;La zoppa;;;Guitar;;none;",d/ a | [cdca1] | [daaa] | [cdca] | f/ d [c,,a1] | \
[accc] | [cdca] :||";italian4tab
5;;2v;La contadina;;;Guitar;;none;"[cdca] [cdca] | [daaa] | [cdca] | a/ ,d | [accc1] ,d/ [accc1] | \
[cdca] [cdca] || ,,,a/ a c d f |";italian4tab
6;;3r;Spagnioleta, in chave grande;;;Guitar;;none;",d a | [bdca1] a/ [bdca1] | [abac] | ,,,a/ ,,,c | \
[bbcd1] [bbcd] [bbcd] | ,,a/ ,,c | [bdda1] [bdda] | \
[abac] |";italian4tab
7;;4r;Mattacini;;;Guitar;;none;"[accc1] | [cdca] [cdca] | [daaa] [daaa] | [accc] [accc] || \
[accc] | [cdca] a/ [cdca1] | [daaa] | c/ d | [accc1] [accc] :||";italian4tab
8;;4r;Romanesca;;;Guitar;;none;"[bbcd] [bbcd] b/ [bbcd1] [bbcd] | [daaa] [daaa] | \
[abac] [abac] a/ [abac1] [abac] [abac] [abac] | [bdca] [bdca] |";italian4tab
9;;5r;Ritornello della romanesca;;;Guitar;;none;"[daaa1] | [abac] | [cdca] | [daaa] [daaa] | c/ a ,d ,c ,a | \
[accc1] | d/ c a | [cdca1] [cdca] c/ [cdca1] |";italian4tab
10;;5v;Passamezzo in basso;;;Guitar;;none;",d/ a | [cdca1] [cdca] | f/ f d c a | [cdca1] | [daaa] | \
[abac] | [cdca] | [daaa] [daaa] d [daaa] ||";italian4tab
