PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;A dur;1;Allemande;S.L.Weiss;2nd page only;;Conc_3288;-;",,,,,a/,,e {a}/4 ,,e ,a ,e ,,,d ,,c (,c ,a) | ,,e/ ,,,,,a/4 \
,b [,c{a}] ,,,,c (,,,b ,,,d) [,,a{,a}] (,,,,c ,,,,b) ,,c {,,a} \
,,,d ,,,,c/ | "
2;A dur;3;Courante;S.L.Weiss;;;Conc_1329;3/4;"e/ ,c ,e | ,,e/ ,a ,c ,,a ,,c ,,,d | [,,,e,a/] ,,,,c ,,,,,e \
,,,,c ,,,,,a ,,e | [,,c{a}/] ,,,,c ,,,d ,,c ,c d | "
3;A dur;5;Bouree;J.S.Weiss?;;;Conc_1330;C;",c/ | [e,,,,a/] ,c ,,e [,'a] V[,c,,,a1] ,,a/ ,e | ([,e,,a/] \
,c) ([,c,,,e] ,a) [,a{d}] (,,e/4 ,,c) [,,e,,a/] ,e | \
([,e{a}/] ,c) ([,c{,a}] ,a)"
4;A dur;6;Menuet;S.L.Weiss;Smith 472;;Conc_3289;3/4;"[ece,,a1] ([ea,,,c/] d) ,e d | [ec{4}1] 'd/ ,e [,'c1] | \
{,,,a}/ ,e ([,c{,,a}] ,a) (,,e ,,c) | [,,e,,a1] ,,e/ ,a {a} ,c "
5;A dur;7;Fantasia;;;;;C;",,,,,a/4 ,c ,,e ,c ,e ,c ,a ,,e ,,,,,a ,a ,,c ,a (,c ,a) \
(,,e ,,c) | ,,,,,a/4 ,,e ,,,,c ,,e ,a (,,e ,,c ,,a)"
6;A dur;8;Tournée;;;;;2/4;",,,,c/ | [,,a,,a/] (,,c ,,e) ,a | V[,c,,,a/] ,,e ,,e (3,a/4 \
,c ,e) | [,c,,,a/] ,,e ,,e (3,a ,c ,e) | [,c,,,a/] ,,a ,,,,,e \
e | "
7;A dur;9;Menuet;;;;;3/4;"(,c/ ,e) | ([,c,,,a/] ,a) (,,e ,,c) ([,,a{,,a}] ,,e) | \
[,,'a{,a}1] {,,a}/ {,,,a} [,c{4}] ,,e | {,,,a}/ ,,a ,e1 \
([,,c{,,a}/] ,,a) | ,,,,,a/ ,,e c ,,a ([,,e,,a] ,,a) | "
8;A dur;9;Polonoise;;;;;3/4;"[,ce,,a/] ,e/4 d [ec{4}1] [ge{,,,a}] | ['d{,,a}/] (,e/4 ,c) \
,e/ (d e) ,,a | ,,,,,a1 {4}/ ,c [,'a{,,,a}] ,,e | [,,'c{,,a}/] \
,,e ,a (,,e/4 ,,c) [,,'e,,a1] | "
9;A dur;10;Gigue;;;;;6/8;",,e/ ,a ,c | ([,e,,,a/] ,a) ,,c ,,,d ,,a ,,c | ([,,c{a}/] \
,,a) ,,a ,,e ,a ,c | ([,e,,,a/] ,a) ,,c ,,,d ,,a ,,c | "
10;A dur;11;Allemande P. Pichler;Pichler;;;Conc_1331;C;"[e,,,,a/4] (,c ,e) ,,e ,a ,,c ,,e ,,,d ,,,,,a ,,,e ,,,d ,,,,e \
(,,,,c ,,,,a) (,,,,,e ,,,,,c) | ,,,,,a/4 ,,,e ,,e ,,,e \
{a} ,,,e ,,e ,,,e"
11;A dur;12;Paisane P. Pichler;Pichler;;;Conc_1332;2/4;"(e/4 d) | [e,,,,a/] ,c ,c (e/4 d) | [e,,,,a/] ,,e ,,e \
[,,ae{4}] | [,,ce{,,,a}/] [,,ae{4}] [,,ce{,,,a}] [,,,'d{,,a}] \
 | [,,aVe/] ,,,,,a z/ (,,a/4 ,,c) | "
