PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;72r;si ie souspire;;see p.4v (text);;;C;"[,,aa#d{,a}1] [,,dcc3/2] ,,b/ | \
[,,'a{,.a}3/2] ,,,a/ [,,#d,,a1] ,,d | \
[,'a{a}3/2] ,a/ [,'c{4}1] a | \
[aVd{,a}1] ['a,,,,a3/2] ,c/ | \
[,a{a}3/2] ,,d/ [,,'bc{,,a}3/2] ,,d/ | "
2;F dur;72v;sans titre;Pinel;"""La Belle"" or ""La Musicien Amoureux"" or ""La Philosophie""";;Conc_169;C;",,,a/ | \
[,,,add{,a}3/2] [,,,'c/] ,,a ,,,a ,,a/4 ,,b ,,d ,,,c | \
[,,de{,a}/] ,,,a/4 [,,,,'c] ,,,a/ ,,,,a ,a ,,d [,,'c{a}] ,,,a | \
[,,dcc1] {4}/4 ,a ,c ,d c/"
3;c moll;73v;Sarabande;;;;Conc_3716;3;"V[,,,,bd{4}3/2] (,,,a/ ,,,c1) | \
[,,,cb{,,a}3/2] ,,,c/ [,,a{,a}1] | \
[,,aa1] ,,c ,,,,b/ ,,d | \
[,,'d{a}3/2] ,,c/ V[,,d{4}1] | \
[,,dcbd1] [,,dcb] [,,b{,,,a}] | \
[,,bc{,,a}1] (,,b/ ,,d1) | "
4;c moll;74v;Courante;;;;Conc_3715;3;",,c1 ,,d/ ,a | \
{4}1 ,b/ ,,,,,d a c ,,,,,a1 ,,,,,b ,a1 {b}/ ,,d {,a}3/2 ,a/ | \
[,,'cc{a}1] ,,,,a/ ,,,c [,,'cca1] ,,d/ ,a [,,'a1] \
,,,a/ ,,a ,,c1 | "
5;d moll;88r;Cardinal;;Revenez Monsieur le Cardinal;;Conc_1794;C;"[,a{,,,a}3/2] #e/ [eaaaa1] ,f | \
[e{,a}3/2] f/ ['e{a}1] ,e/ a | \
[,c,,,a1] [a,,,a1] c/ [e,,,,d] | \
[,a,,,b3/2] ,c/ V[,d{a}1] [,'c,,,a3/2] ,a/ [,aaaa2] ::"
6;c moll;88v;Almande;;;;Conc_4678;C;",,a/ ,,c ,,d | \
,b/ a c ,,d [,ab] ,,,c [,bdd] ,,,a [,acc] ,,d [,,'cc{a}] \
{,a} {,,a} ,,,c ,,d ,,,,,d ,,,,a ,,d ,a"
7;c moll;89v;Courante;;;;;3;",d/ [,'b] a | \
c3/2 ,,d/ [cb1] | \
,,c/ ,a c a [,bd1] | \
,,,c/ ,,a ,,b ,,,c [,,dd1] | \
,a1 [,bda] ,,,c | "
8;c moll;90v;Sarabande;;;;;3;",,d/ | \
[,,dcb{4}1] [,,dcb3/2] ,a/ | \
[,,cc3/2] ,,,,d/ [,,dcb1] | \
[,a,,,c3/2] a/ V[b,,,,d1] | \
{,,,a}1 [,da,a] [,'b/] ,a | \
[,a,,,b1] [,aba] ,,c/ b | "
9;f moll;91r;Voyez vous aymer syluie;;;;;C;"[,,#dd{,a}/] ,,d [,,'b{a}] ,,,c [,,,'d{,a}] ,,b V,,d ,,,a | \
['a,a/] a [,'b{a}] ,,d ['a{,a}] c V[d{4}1] | \
[,,#d/] ,a [,'b{,,a}] (,d ,b) [,'a{a}] ,,c [,,dc{4}] ::"
10;B dur;91v;Gigue (ton merceur);J.Mercure;;;Conc_1232;3;",a1 | \
[,abaaa2] ,b1 | \
[,'d3/2] ,b/ ,a1 | \
[,,'d2] ,,,f1 | \
[,,,'d3/2] a/ ,,,,a1 | \
[,,#f3/2] ,,f/ ,,,f1 | \
[,,#d,a2] ,,b1 | "
11;a moll;92v;Almande (ton Arume);J.Mercure;<Arume> = Enrhumé;;Conc_1795;C;",,a/ ,,a | \
[,,a,ca/] ,,c/4 ,,d [,,'c/] ,,d ,a ,,d ,,a/4 ,c e ,,c | \
,,d/4 ,c e ,a ,c e 'd e {,,a} g (g h) h 'g ,h g | "
12;a moll;93v;Courante;;;;;3;",c/4 ,c | \
[,,,#e/] ,,a {a} ,,a ,,c ,,,d | \
,,,e/ ,,d ,,,,,a ,,,e [,,,'c] {,,a} | \
{,a}/ ,,a ,a {,,,a} {,,a} ,,d | "
13;a moll;94v;Partage mille fois;;See also p. 8v (text);;Conc_1797;3;",c1 | \
[,cde1] ,,,,,a [,,cc{,,a}/] [,,'d] | \
[,,aa{,a}1] ,,c/ ,,d {,,a} ,,d | \
[,'a{a}/] a ,c1 {4}/ ,,a | \
[,,cc{,,a}1] V,,d [,,'da{a}/] ,,c | \
V[,,da{,,,a}2] ::"
14;F dur;94v;Chaconne;;;;;3;"[,,aad{,a}3/2] ,,,a/ {4}1 | \
[,,,,'c3/2] ,,a/ {,,,a}1 | \
[,,'ba3/2] {,,a}/ {,a}1 | \
[,,,'ca{4}3/2] (,,,a/4 ,,,,c) ,,,a1 :: \
[,,aad{,a}3/2] (,,c/ ,,d1) | \
,,,c3/2 ,,a/ ,,b1 | \
{,,,a}3/2 {,,a}/ {,a}1 | "
15;F dur;95r;sans titre;Gaultier;Gigue d'Angleterre;;Conc_1740;3;",a/ ,c [,aVda{,a}1] c/ a | \
[,'c{4}3/2] ,a/ ,c1 | \
[aVda,,a1] [,abaab1] [,,#d,,a1] ,,,a/ ,a | \
[,,'b{a}1] [,,,,c{,,a}/] ,,d [,,'a{,a}1] ,,,c/ ,,a ,,,a2 ::"
16;d moll;95v;Sarabande;F.Dufault;;;Conc_1469;3;"[,,aa{,,,a}1] [,,aa/] [,,aa] ,,f1 | \
[,,'d{,,a}3/2] ,,d/ [,,d{,a}1] | \
[,,ba{a}1] [,,'b{4}3/2] ,,a/ | \
[,,aad{,a}3/2] ,,a/ [,,,c{4}1] | \
[,,,ccd3/2] ,,a/ [,,b{a}1] | \
[,,aa{,,,a}3/2] ,,b/ [,,d,,a1] | "
17;F dur;95v;Sarab [de Madame Françoise];;PAN 5.004;NAO;Conc_284;3;"{,a}1 [,,#da1] [,,da{c}1] | \
{d}/ [,,#ba] ,,d1 [,,a{,a}1] | \
[,,,ca{4}3/2] ,,,a/4 ,,,,c ,,,a1 :: \
{,a}1 [,,'aa1] [,,,'ca{,,a}1] | "
18;d moll;96r;Gigue;Losy;;;Conc_1379;C;"e1 | \
[ed3/4] ,c/4 [eVd3/4] ,a/4 ['cc3/4] ,a/4 [e,e3/4] c/4 | \
a3/4 ,a/4 [,cd3/4] [a,a/4] [,ab3/4] ,,,c/4 ,c3/4 ,a/4 | "
19;g moll;96v;Sarabande;;;;;3;"[,,ba,a3/2] ,,d/ ,a1 | \
[,,,c{a}3/2] ,,a/ [,,#b{,,a}1] | \
[,,a{,,,a}/] ,,,c ,,a ,,,c {a}1 | \
[,a,,,a3/2] ,c/ a1 | \
[,,#b{,,a}1] ,,a/ ,,b ,a1 | \
[,,d{,a}3/2] ,,b/ [,,ba,a1] ::"
20;d moll;96v;Gauotte;;Gigue;;;3;"['a,,,a3/2] c/ a1 | \
[,c,,,a1] [,cee2] | \
[,'a,,a3/2] ,c/ a1 | \
[ccd{4}1] [ccd2] | \
['a{,a}3/2] c/ Ve1 | \
[f{a}2] e1 | "
21;F dur;97r;La moutarde;;;;Conc_900;C;"[,,'d,,a1] [a{,a}] | \
[,a,,,b1] ,c/ a [c{4}1] c/ e | \
[c,,,,d1] c [,,d,,a] c/ a/4 ,c | \
[,a,,,b/] ,c a c ['c{4}3/2] a/ | \
[add{,a}2] ::"
22;d moll;97v;Aeir;Pinel or Ch.Mouton;La Gavotte Royale or Frondeuse;;Conc_92;C;"[,a{,,,a}/] ,c a c V[e,,,a1] [,c,,,e] | \
['aaaaa3/2] ,c/4 a ,c1 ,,,,,a | \
[,,a{,,,a}1] ,,c/ ,,d ,a1 [,c{,,a}1] | \
[,'a{,,,a}3/2] ,,d/ [,,'c{,,a}1] ,,,e/4 ,,c ,,,e/ | \
,,,,,a2 ::"
23;B dur;97v;Sarab.;;2nd part on bottom p. 98r;;;3;"[,aba,a1] [,aba] [,ab] | \
[,,'da{,a}1] ,a [,,ba{a}] | \
a/ ,b [,aaaa] (,d ,b ,a) | \
[,,'da{,a}1] ,,b [,,ba{a}] | \
[add{,a}1] [add/] (d c) [,b{4}]"
24;d moll;98r;Amarillis [je renonce à vos charmes];Ballard;;;Conc_1798;3;"[aa{,,,a}3/2] c/ [eaaa1] | \
[,,aad{,a}1] ,,c/ V,,d1 | \
[,,'c{a}1] [,,'e,,a3/2] ,a/ | \
[,a,e3/2] ,,e/ [,aaa{,,,a}1] | \
[,aa,a1] [#fa{a}] e | \
['c{4}3/2] a/ [,c,,,e1] | "
25;d moll;98v;Sarabande;J.Mercure;;;Conc_1768;3;"['eaaaa1] [eaa/] e ,,,,a e | \
,,,,,e/ e ,c c ,,,,a a | \
['aaaa1] [aaa/] a [,c,,,a] ,,d | \
,,,,c/ ,,d ,,,,d ,a ,,,,,b ,,b | "
26;F dur;99r;Cordon bleu [or La nouvelle Moutarde];Du Fresneau;;;Conc_1466;C;"[aVda{,a}1] a [,'c{4}3/2] a/ | \
[c{a}/] a ,c ,a [,,d,,a1] ,,d | \
[,,'bc{a}1] ,,b [,,'aa{,a}3/2] ,,b/ | \
[,,d{,,a}/] ,,b [,,'a] ,,,c [,,,a{,a}1] ,,,a ::"
27;d moll;99v;(?) Lintrade;;Allemande - PAN 3.075;10c;;C;"f/ | \
[fff1{,a}] #d/ ,f [cd{,a}] a f d | \
[cba{,,a}/] ,b [a,,,,a] [,'b] [,'a{5}] ,,c/4 ,a ,,a/ ,,,,,a | \
{a}/ ,b [,'a{,a}2] "
28;d moll;100r;Le grand scandal;D.Gaultier;Ballet Royal 1674 (La grande Bourrée, or Quelle heure est-il);;Conc_37;3;"[,'c/1] [acaaa] [c,,,,b] | \
[e,,,,a3/2] f/ 'e c | \
[a,,,,b1] ,,,,,a ['cc{a}] | \
[eda{,a}2] {,,a}1 | \
[c,'e1] [aaaa{,,,a}] ['cc{4}] | \
[eda{,a}3/2] f/ 'e c | "
29;B dur;100v;La chasse;;;;;none;"[aVdd{,a}] c [,#b,,,c] a (,d ,b ,a) ,,d ,a ,,d [,,'bc{a}] \
(,,b [,,d{,,a}]) ,,b [,,'a] ,,,c [,,,'a{,a}] ,,b [,,'b{,,,a}] \
,,a V[,,b{a}] ::"
30;F dur;101r;Je vous offre mes veux;;see p. 29v (text);;;6/8;"[aVda{,a}1] ,,d/ ,,d1 ,a/ | \
[,,'d{,,a}1] ,,b/ [,,'a{,a}1] a/ | \
[c{a}1] f/ ['e,,,a1] ,f/ | \
{a}/ c ['a{,a}2] c/ [,c{4}2] | "
