PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;All taken from Pietro Prosser's thesis (1996);Alles Pietro Prossers Thesis entnommen;;;;;;
1;;134r;Adagio | Praeludium;;;Mandora;;C;"[,,a,,a/] ,a ,,,,a ,b V[,d,,c1] [,,a,,a] | \
[ab,,d/] a (,d ,b) [,,d,c1] ,,a |";french5tab
2;;134r;Menuet;;;Mandora;;3/4;"[,da,,a1] ,d ,b | [,aa,,a1] ,,c/ ,a ,,a1 | [ab,,d1] a [cb,a] | \
y y y";french5tab
3;;134r;Fanthasia;;;Mandora;;C;",a1 | [,aa,,a1] [,aa,,a] [,aa,,a] [,aa,,a] | \
[,bc,,a1] [,bc,,a] [,bc,,a] [,bc,,a] | y y y";french5tab
4;;134v;Menuet;;;Mandora;;3;"[,,a,,a1] ,a [,b,,a] | ,,,,c/ ,d a (c d1) | \
[,aa,,a/] d c a ,d ,b | y y y";french5tab
5;;134v;Angles;;;Mandora;;C;"d/ | [c,,a/] ,d [a,,,d] ,,c [,d,,c1] [,,a,,a] | \
[,,ce/] [,aa] [,bc] [,aa] [,,ca/4] ,,a ,,c ,a ,,c/ d |";french5tab
6;;135r;Allemande | Adagio;;;Mandora;;C;"a/ | '[,c,,a/] ,a ,,c/4 ,c ,a ,,c ,,,c ,,b ,,,e ,,c ,,b ,a ,c ,d | \
[,c,,a/4] c a ,,c ([,c,c/] ,a) ,,c ,,c ,,,c ,,,,a |";french5tab
7;;135r;Scherzo fresco;;;Mandora;;3;"a1 | [,c,,a1] ,c [c,,a] | '[a,,,e2] ,,c1 | \
[,abc/] ,c [,db,c1] y | y y";french5tab
8;;135r;Poure;;;Mandora;;C;,c/ | [,d,,c1] ,d [,ab/] a [,c,,a1] | y y y;french5tab
9;;135v;Menuet;;;Mandora;;3;"[f,,,a1] a a | [,c,,a1] (,c/ ,a) ,,c1 | ,,,a1 c [a,,,e] | \
,,,,c1 ,d [,c,,a] | y y y";french5tab
10;;135v;Gigue;;;Mandora;;12/8;"f/ | [a,,,a] c a [a,,,a] f [a,,,a] c a a [c,,a] | \
[a,,,a/] c ,d [,c,,a] ,a ,,c [,abc1] ,a ,a/ f |";french5tab
