PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;4r;the pauecheo for ii lutes Johnsone;John Johnson;Lavecchia Pavan, first part of duet;OT;Conc_4386;C;"d/4 c/8 a ,d a c d f d f d f d c a d c d c d c a c | \
d/4 c/8 d f d c a b a ,d ,b ,d ,b ,a ,,d [,aba,d1] [,aba,d/] [,aba,d] |"
2;;4r;Lauecheo gallyerde for ii lutes by Johnsone;John Johnson;Lavecchia Galliard, second part of duet;OT;Conc_4387;3/4;"y1 y1 [,acc,a1] | \
[,acc,a3/2] ,c/ [,acc,a1] | \
[,acc,a1] ,,d [,acc,a] | \
[,cdca1] ,,,c/ ,d ,c ,a |
[,cd,a1] ,,,c [,dda] | \
[,dda3/2] a/ ,d ,c |"
3;;4v;Lauecheo gallyerde for ii lutes by Johnsone;John Johnson;Lavecchia Galliard, first part of duet;OT;Conc_4388;3/4;"a/ c | \
e3/2 f/ e1 | \
a1 c e | \
f3/2 d/4 c a ,d ,c ,a | \
,,d2 c1 | \
c3/2 d/ c a |"
4;;4v;the flatt pauion for ii luttes by Johnsone;John Johnson;Flat Pavan, first part of duet;OT;Conc_4389;C;"f3/2 d/ b1 a | \
,d/ a b d f1 f | \
f/ d/4 f g d f g f/ d/4 c a c d a | \
c/4 ,a/8 ,c ,d a c d f/4 d/8 c a c d a |"
5;;5r;the flatt pauion for ii luttes by Johnsone;John Johnson;Flat Pavan, second part of duet;OT;Conc_4390;C;"[,dda3/4] ,d/4 ,,d/ ,,,a [,dda/] ,c/4 ,a [,cd,a1] | \
[,dda3/4] ,a/4 ,c/ ,d [a,d,e3/4] ,d/4 [,cd,a1] | \
[b,da/] a/4 b [a,,,,d/] ,d [,d,ca] ,,,a [,d,ca] ,c |"
6;;5v;the galyerd to the flatt pavion for ii luttes by Johnson;John Johnson;Flat Galliard, first part of duet;OT;Conc_4391;3/4;"f3/2 d/ b1 | \
a3/2 ,d/ ,c1 | \
,d/ a b d f1 | \
f2 f1 | \
d3/2 b/ a ,d | \
,d/ ,c/4 ,d ,f ,d ,c ,a ,c ,d ,f ,c |"
7;;5v;the galyerd to the flatt pavion for ii luttes by Johnson;John Johnson;Flat Galliard, second part of duet;OT;Conc_4392;3/4;"[,dda3/2] a/ [,dda1] | \
[acd,a3/2] b/ [acd,a1] | \
[b,da3/2] b/ [a,d,e1] | \
[acd,a2] [,dda1] | \
[,dba,d3/2] ,d/ [ab,,d1] | \
[,dba,d1] [,d,ca] ,c/ d | \
[cdda3/2] a/ ,d ,c |"
8;;6r;Drewries accordes;;Drewry's Accords, second part of duet;OT;Conc_4393;2/4;"[aacc/] ,,a ,,c ,,d | \
[aacc/] ,,,b [aac,,a] ,,,,,c | \
,,,,,e/ ,,,,,a ,,,,,e ,,,,a | \
[,aa,c1] ,,,b | \
a/ ,e a c | \
e/ c e f |"
9;;6v;drewries accordes;;Drewry's Accords, first part of duet;OT;Conc_4394;2/4;"a/ ,e a c | \
e/ c e f | \
h/ h h f/4 e | \
c2 | \
[aacc2] | \
[aacc1] ,,,,,a/ ,,,,,c | \
,,,,,e ,,,,,a ,,,,,e ,,,,a |"
10;;6v;delatrumba for ii luttes;;De la Tromba, second part of duet;OT;Conc_4395;2/4;"[,aba,d3/2] ,b/ | \
[,dba,d1] [,aba,d] | \
[abd,a1] [,db,c/] ,,a | \
[ab,,d1] [abd,a/] c | \
[dab,,d1] [ab,,d/] ,a | \
[,dda/] [,abc] [,dda3/4] ,b/4 | \
[,aba,d1] [,aba,d/] [,aba] |"
11;;7v;delatrumba for ii luttes;;De la Tromba, first part of duet;OT;Conc_4396;2/4;"d3/4 f/ | \
h1 d/ f/4 h | \
i/ h/4 i h/ f | \
d/ c/4 d f c d f | \
h/ f/4 h i h f d |"
12;;8r;Larosignall for ii luttes;;La Rossignol, first part of duet;OT;Conc_4397;2/4;"[aab/] ,,,c ,,,,,a c | \
d/ ,,,c f ,,,e | \
h/ ,,,f [f,,,a] d | \
[cd,,c1] [da,,,d] | \
[c,,,a/] a [aa,,,d] ,b | \
,,,,c/ [aaa] ,e ,,d |"
13;;8r;the ground to the quadro galyerd to the treble;;Quadran Galliard, duet ground;OT;Conc_4399;3/4;",,c/ ,,d | \
[aac,,a2] [aac,,a1] | \
[,cd,a1] [,dda] [,acc,a] | \
[,cd,a1] ,,,c/ ,d ,c ,a | \
[acd,a1] [acd/] ,,,,c ,,,,e ,,,,b | \
[aacc1] ,,,,,a/ ,,d [aacc1] |"
14;;8v;Larosignoll;;La Rossignol, second part of duet;OT;Conc_4398;2/4;"d/4 c a c d c d f | \
h/ f/4 d c a ,d ,c | \
,a/4 ,c ,d/ ,b/4 ,d a/ | \
,d/4 a c ,d ,a ,b ,d ,a |"
15;;8v;A Treble;John Johnson;The Queen's Dump, duet treble;OT;Conc_4401;2/4;"f3/4 d/4 ,c/ ,a | \
,d/ ,b ,a ,,d | \
,a3/4 ,,d/4 ,,b/ ,,a | \
,,b/ ,,d ,a/4 ,c ,d/ | \
,c3/4 ,d/4 ,c/ ,a |"
16;;9r;the grounde to the treble before;John Johnson;The Queen's Dump / Johnson's Second Dump, duet ground;OT;Conc_4402;2/4;"[,ddef1] [,dde/] ,,,,f | \
[,ddef/] ,,,,f [,dde] ,,,,f | \
[,dff,d1] [,dff/] ,,,,,d | \
[,dff/] ,,,,,d [,dff] ,,,,,d | \
[,cdca1] [,cdc/] ,,,,a | \
[,cdc/] ,,,,a [,cdc] ,,,,a |"
17;;9v;the quadro paving;;Quadran Pavan, duet treble;OT;Conc_4403;2/4;"h/ f | \
e/4 c/8 e f e f e f e c a c a c e | \
f/4 e f h f/ e | \
f/8 e f e f e f e f e c a c a ,e ,c |"
18;;10r;the gronud to the quadro paving treble;;Quadran Pavan, duet ground;OT;Conc_4404;2/4;",,c/ ,,d | \
,,,,,a/ [aac,,a] ,,,c ,,,,,a | \
[aac,,a1] ,c/ ,e | \
[aacc1] [a,d,e] | \
[,d,a/] [,,de] [,adc] ,,c | \
,,,,a/ [,cd] ,,,c ,,,,a | \
[,cd,a1] ,,d/ ,a |"
19;;10v;the treble to the spanish Pauinge by Alfonces;;Alfonso Ferrabosco;OT;Conc_4405;2/4;",,d/ ,b ,a ,,d | \
,,c3/2 ,,d/ | \
,a/4 ,,,c ,,a ,,c ,,d ,,c ,,d/8 ,,c ,,a ,,c | \
,,d/ ,,b/4 ,,a ,,,c ,,,a ,,,c ,,a | \
,,c/4 ,,d ,a ,,c ,,d ,a ,b ,,d |"
20;;11r;the ground to the treble;;Alfonso Ferrabosco;OT;Conc_4343;2/4;"[,,dca/] a ,d ,b | \
[aac,,a3/2] ,b/ | \
[,a,,,a/] ,,d ,,,c ,,c | \
,,,,a/ ,,d ,,,c ,,,,a | \
[,cc,a/] ,d [,bdca1] | \
[,ab,,d3/4] [,ab/4] ,,,a/ ,,,,,d |"
