PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;[Pavan];;end only on f. 2r (?John Johnson);OT;Conc_4426;;
2;;2r;[Galliard];;William Byrd arr.;OT;ConcR274;3;",d/ a [bdda1] [acd,a] | [,dda/] ,,,c [,dddf1] [,c,ca] | \
[,dda/] a/4 b [d,bc/] ,c [bdda1] | [acd3/2] ,,b/ [bd,d1] |"
3;;2v;[In Nomine Pavan, first part of duet];;Nicholas Strogers;OT;ConcR196;C;"[acdca3/2] ,d/ | [acd,a1] [aa,c,e] | [acd,a1] [acd/] ,,,,,e | \
[ccdeec/] ,,,,,a [,d,,,c] ,,,,,e | [cdd,a/] a/4 c a/ ,d | \
[,cd,a/] ,e [aa,c,e1] |"
4;;3r;[In Nomine Galliard, first part of duet];;Nicholas Strogers;OT;Conc_4416;3;"[,,d,a/] ,a [,cd1] ,,,,a | [,cd,a/] ,d [ac1] ,,,,a | \
[acd,a/] c/4 e f/ ,c ,,,,a ,e | [ef,,,a1] ,,f ,,,,,a |"
5;;3r;[Lady Laiton's Pavan / Dream;;?John Dowland;OT;ConcR248;C;"[,efec1] ,f [,,,ec/] ,e/4 ,c ,e1 | c1 [,dda/] d [f,aa] h [dabc1] | \
[da,cc/] c/4 a [c,,b/] ,,d [a,bc,a] ,a [,abc/4] ,,d ,a ,c |"
6;;3v;[Pavan];;Richard Allison;OT;ConcR63;C;"[,,dca3/2] ,a/ | [,bdda/] ,,d [,adc,a] ,,c | \
[,,dca/] ,,d/4 ,a [,bd/] [,a,c,d] | \
[,bdd,b/] ,,d [,abc,a] ,b | [,dddf3/4] ,f/4 ,g/ [abbc,a] |"
7;;4r;[Galliard];;;OT;;3;"[aa,c,a3/4] c/4 Xd1 [ca,,c] | [ab,,d3/2] b/ [ab,,d1] | \
X[,db,,d1] [,bd,a] [,a,a/] ,,d | ,,,,,a/ [,ac] ,,,c ,,d [,acc,a1] | \
[aa,c3/4] c/4 Xd1 [ca,,c] |"
8;;4v;[Sharp Pavan];;Richard Allison;OT;Conc_4406;C;"[aa,c,a3/4] ,e/4 a/ c | X[ea,c,a/] c/4 a [ca,b/] ,,d | \
[aacc/] [c,d] [ea] [a,c] | [,ea,c3/4] a/4 c a c e |"
9;;5r;[Hasselwood's Galliard];;Anthony Holborne arr. JD;OT;ConcR333;3;"[caa,c1] [abb,,a] [,da,c] | [,ca,bc3/2] ,c/ [,da,c] a | \
[cdda1] [acd,a] [,da,c] | [,cee,c3/2] ,,f/ ,,c1 | \
[fdaa1] [ddf,,d] [cdda] | [acd,a1] ,,,,c/ [,da] [,cbc,a] [,a,a] |"
10;;5v;[Pavan];;Ambrose Lupo / John Ambrose;OT;ConcR412;C;"[,efec1] ,a/ ,c | [,efec1] [aac,,a] | [ca,b/] a [aac,,a1] | \
,,,,c/ [,aac] ,,,b ,,d | [,acc,a2] | [hffg,a1] [af/] c/4 e |"
11;;6r;[Galliard];;;OT;;3;",e/ a | [ca,bc2] [aa,c,a1] | #[,e,,c1] ,,f f/ e | \
[fc,,a1] ,,d3/4 ,a/4 ,c/ ,d | [fc,,a3/4] ,a/4 ,c/ ,d #[ef,,,a1] |"
12;;6v;[Fantasia];;Marchant -. duet part;OT;;C;"z2 z2 | z2 a2 | ,d1 ,d a ,b | [,abc1] [,,b,,a] [,a,a] [,,ab] | \
[,,bc/] ,,d [,a,c] ,,b [,,d,a1] f/ d |"
13;;6v;[Galliard];;Francis Cutting;OT;ConcR301;3;"[,dda/] a [bd1] [acd] | [bdda3/2] [df/] [fgg1] | \
[ffg1] [dde3/4] b/4 a/ ,d | [acd,d3/2] [d,,c/] [bd,d] ,,b | \
[acd3/2] [h,,h/] [gd,f] ,f |"
14;;7r;[Galliard];;John Dowland;OT;ConcR244;3;"[,abcca1] [aab] [caabc] | [da,c,a3/2] [c,,,,c/] [aab,,d] ,,,,a | \
[,da,c1] [,cbc,a/] [,a,a] [,,f,ec] ,,c | \
[,aba,d3/2] [,,d,,c/] [,,bc,a] ,,a |"
15;;7v;[Clark's Galliard / Quadran Galliard / Jest];;Anthony Holborne;OT;ConcR8;3;"[,aba,d/] ,b ,d1 [,dda] | [,dba,d3/2] ,a/ ,b ,d | \
[a,b,d/] ,,d [aa,,c] ,,,,a [,ea,c] ,,d | \
[aac,,a1] ,,,c/ ,,d [aac,,a1] | [,ab3/4] ,b/4 ,d/ ,,a [aabc1] |"
16;;7v;[Last Will and Testament Pavan];;Anthony Holborne;OT;ConcR232;C;"[aabc3/2] ,,,a/ | [a,dcd/] ,,b [,db,c1] | \
[,bb,a/] ,,a/4 ,,,c ,,a ,,b ,b ,,a | \
[,aba,d3/4] ,,d/4 [,,b,,a] ,,a [,,bc/] | \
[,,aa/] ,a [,aa,c1] |"
17;;8v;[Fantasia];;Alfonso Ferrabosco;OT;ConcR225;C;"[d,,f3/2] ,,d/ | [d,e/] ,,,f ,,g1 | [d,e1] ,,g | \
[g,,f1] ,e | [fd1] ,,e | #[f,g1] ,d | b/ ,b ,,e ,,d | \
[d,e1] ,,g/ f |"
18;;9r;a galiarde Richard Aleson;;Richard Allison;OT;;3;"[acd1] ,a [aac] | [,cd1] c/ ,,a ,,c a | [acd1] [fc,e] ,e | \
[ea,c1] ,c ,,,c/ ,a | [ca,b1] ,,,,e/ a [,ce1] |"
19;;9v;[Pavan];;Francis Cutting;OT;ConcR79;C;"[aaccca3/2] [c,d/] [ea,c,a1] [acdca] | \
[fc,e,c1] [ccd/] ,,,,,e [acdca1] [ea,c/] ,,,,,a | \
[d,f,ec1] [,,ee] ,f [,efec3/4] ,f/4 c/ ,,,,a |"
