PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;a moll;3v;Präludium JAK;JAK;;;Conc_426;C;",c ,,d ,,,e ,,c ,,,d ,,a ,,,,c ,,,,,c V[,,,,,d] {b} ,,c \
,,,,,a V[,,d] [,,ce{,,a}] ,,,d ,,,,,a ,,c ,,d ,a ,c {a} ,c"
2;a moll;4r;Allemand du Foy;F.Dufault;;;Conc_1187;C;",,a1 | [,,aVeca1] (,,d/4 ,,c ,,a) ,,c ,,d/ (,,,,,a/4 ,,,,,c \
,,,,,d) ,,,,a ,,d/ ,,c/4 ,,a | [,,,dc/] {,,a}/4 ,c V[,d/] \
(,c/4 ,a) ,,d/ {,,,a}/4 ,,d [,,c{,,a}/] (,,a/4 ,,,d) | "
3;a moll;4v;Gigue;;;;Conc_1835;C;"e ,c ,,d ,,,e ,,c ,,,d | [,,aVe] ,,,,,a ,,d ,a ,c {a} ,c \
[,a{,a}] ,,d ,a | V[,c] {,,a} ,e c {4} ,c Ve a {,,,a} | "
4;a moll;5r;Curante;V.Strobel;;;Conc_1437;3;",c1 | [,cde1] ,,,,,a/ ,d ,a ,c | ,,d1 {b}/ ,,c ,,,,c ,a | \
[,,d,,a1] [,,c{,,a}3/2] (,,a/4 ,,,d) | ,,a1 ,,,,,a/ e \
[c,,,,c] a | "
5;a moll;5v;Saraban:;;;;;3;"[ecd,,a1] [ecd] [ecd] | {,,a}/ e c1 ,d/4 c ,c/ | ,d1 {,a}/ \
c ,c a | [,a{a}3/2] ,,d/4 ,a ,,d1 | ,c1 {4}/ c a ,c | "
6;a moll;5v;Duble;;;;;3;",,,,,a/ e ,c ,,d e g | {,,a}/ e c ,d/4 c ,c1 | [,d{,a}/] \
c e ,,d ,a c | "
7;a moll;6r;Präludium JAK;JAK;;;Conc_426;C;",c/ ,,,e ,,d ,c ,,,,,a ,,,e ,,d ,c ,,,,,a ,,,e ,,d [,c,,,a] \
,,,e ,,d ,c {a} ,c {,a} ,,,e"
8;a moll;6v;Allemande JAK;JAK;Ending at the bottom of f. 7r;;;C;",c1 | [,cde1] ,,,,,a/ ,,,,,c ,,,,,d ,,,,,e ,,,,a/4 ,a \
V[,,d/] | ,,,,c/ ,,a [,,a{,,a}1]> ,,,d ,,a/ ,,,,,a | ,c/> \
,,d ,,,e/ ,c ,c/> ,e c/ ,,,c | "
9;a moll;7r;Ballet;Hudson;[Na tym nic nic zalecze: useless?];;Conc_1836;C;",,a1 | [,,aeca1]> [,,c{b}] [,,d,,a] [,a,,,c/4] ,c ,d c | \
V[,c,,,d1] ,,,,a/ ,,a [,,,dc] {,,a} ,,a ,,c | [,,d,,a1] \
,,d/ [,a,,,c] V[,c,,,d] ,,d ([,a{,a}/4] ,c ,d ,c) | "
10;a moll;7v;Saraband;;[nic dobrego: no good];;;3;",,,,c1 [,,aVe] ,,c | [,,d,,a1]> [,a,,,c] V[,c,,,d3] \
V[,,d,a1] | [,,c{,,a}1]> ,,a ,,,,,a1 | V[,,d1] [,,c{a}1]> \
[,,a{,a}] | [,,,c{,,a}1] c ,,c | ,,d1 ,c1> ,d | [,a{a}1] \
,,d {4} | | "
11;a moll;7v;Wer ist es der mein Hertz betrübet;;"[nic dobrego: no good]; at the end: [we sczrodku: inside]???";;Conc_1837;C;",c1 | [,,aVe,a1] [,,c{b}] [,,d,,a/] {a} [,,d{,a}1] | \
[,a{,,,a}/4] ,c ,d ,c ,a/ ,,d [,,c{,,a}/]> ,,a ,,,,,a1 | \
[,cd,,d1] [cc{4}/] [cc] [ac,,a1] [,c,,c/] ,,,,d | "
12;a moll;8r;Aria JAK;JAK;;;;C;"[,,aeca1]> ,,c ,,d1 ,,,,,a | [,ad{a}1]> ,,c [,cd1] {4} | \
[,,aae1] ,,a [,a{,,,a}/] V[,c] ,,d ,a [,,c{,,a}3/2] (,,a/4 \
,,,d) ,,a1 ,,,,,a | "
13;a moll;8v;Wer ist es [der mein Hertz betrübet];;;;Conc_1837;C;",c1 | [,,aVe,a1] [,,c{b}] [,,d,,a/] {a} [,,d{,a}1] | \
([,a{,,,a}/4] ,c ,d ,c) ,a/ ,,d [,,c{,,a}/]> ,,a ,,,,,a1 | \
[,cd,d1] [cc{4}/] [cc] [ac,,a1] [,c,,c/] ,,,,d | "
14;a moll;8v;Courante JAK;Gallot / Lully;"""Sommes nous pas trop heureux""";;Conc_90;3;",,a/ ,,c | [,,d,,a1] ,,a ,c/ ,,,,,c | [,c,,,d] {4} e/ {,,,a} \
 | [d{,,a}1] ,c e/ g | Vh1 ,,,,,a c/ ,,,,,c | [,c,,,d1] {4} \
{,,,a}/ ,d | "
15;a moll;9r;[Prelude];;;;;C;"e ,,,,,a e [d{,,a}] ,c e ,,d {,,a} ,,c e d ,a [ece] b ,,,,a \
[,c{a}] ,e [c,,,] ,,e ,a {,,,a} ,,,c ,,c {,,,a} ,,,c ,,a"
16;A dur;9v;Courante JAK;JAK;[Dobra: good];;;3;"e/4 ,c ,,e ,a ,c ,e | ,,,d/4 ,c ,,c ,,e ,a ,c ,,,e/4 ,,e \
[,,,,(c] ,,,e ,,c ,,,d | ,,,,,a/4 ,,a [,,,d)]"
17;A dur;10r;Sarabd J.;;;;;3;"[ece,,a1] [ece1]> e | [dcc{,,a}1] [dcc1]> e | [,efe{,,,a}1] \
[,efe] V[,g] | [,cee,a1] [,cee1]> ,e | [,ae,,c1] [,ae1]> \
,a | ,,,,,e/ ,,e ,a ,c ,,,,a ,,a | "
