PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1v;ffantaci de narboyes;Luys de Narvaez;Fantasia;OT;ConcR489;none;",,d2 ,,d/ ,a ,b ,d [a,d] ,b b1 ,,d/ a [a,b1] ,,,d ,d \
[,b,c] ,a ,,,c a ,,d/ ,a ,b ,d";
2;;2v;ffantacy;;;OT;;none;[a,d/] ,d a b [a,d] ,b ,d a [b,d] d b a [aa,c] ,d/4 a b a ,d ,b;
3;;3v;ye treble donn down;John Johnson;Goodnight, duet treble;OT;ConcR5;3;",d1 ,a/ ,b/4 ,a ,b ,d | a/ ,d/4 a ,b/ a ,d/4 a b a | \
b/4 a ,d ,b";
4;;5v;The grounde;John Johnson;Goodnight, duet ground - f. 6r empty;OT;ConcR5;none;"[,,ba,d1] ,,,,a [,,bac] [,bcd] ,,,,d/ [,,bc] [,,bac1] [,,dca] ,,,c [,ac] \
,,,,a/ ,,d ,,,c ,,,,a [,,dca1] [,b,ca] [,a,ac] [,,dcd] [,aaa]";
5;;6v;ff;Francesco da Milano;Fantasia;OT;ConcR463;C|;"[aa,c1] ,,a | [a,c1] ,,d | a1 ,,c/ ,,a | [a,c1] ,,,c | \
[ca1] ,d | c1 ,c/ ,a | [c,d1] ,a | c1 ,,d/ ,,c |";
6;;8r;ff;Francesco da Milano;Fantasia;OT;ConcR447;C;"[aa,c3/2] ,,a/ [a,c1] ,,d | a1 ,,c [c,a3/2] ,,c/ | \
[c,d1] ,a c/ ,,d ,,c ,,a | [ea,c1] [c,a] ,,c [a,d] |";
7;;9r;por voz aymes / ye latter ind tyse;Philip van Wilder;Pour Vous Aimer;OT;ConcR233;C;",,a2 ,a1 ,a | [c,ee1] [c,e] [cdf] ,,b/ [ac] | \
[,df/] ,,d [,ac] ,,a [a,cc1] [,cd/] a | \
[,d,,c/] ,c/4 ,d [,ca/] ,a";
8;;10v;a pauyn Bruzter owt of grenes Booke pag 7;Brewster;Pavan;OT;ConcR234;C;"[fb,d,b1] [fb,d,b/] d [bdedb1] [bdedb/] ,,,,a | \
[ddef,d3/4] ,,,,a/4 [,,,ab/] [,,,cd] [fdda1] [ddef,d] | \
[d,da/] b [bdeeda] ,,d [,ggfd] ,f/4 ,d [,ggfd/] ,f |";
9;;11v;Pauyon phillips;Philip van Wilder;Pavan;OT;;C;"[aa,c,a3/4] ,d/4 a/ c | [dabc1] ,,,c/ ,,a ,,b ,,d ,a ,c | \
[c,da3/2] a/ [,d,a/] ,c | [,aba,d3/4] [,cd/4] [,bb] a |";
10;;12r;[Galliard];;;OT;;3;"[aacc,a1] [ca,bc3/2] a/ [ca,bc1] [ca,b] [aabc/] ,,,,,a | \
[cef,c1] ,,,e/ ,f ,e ,c [cef,c1] [aa,c,a] [ce,,c] ,f ,c ,a";
11;;12v;T A Quadro pauyn;T.A.;;OT;;none;"[acd,a1] ,,,c/ ,,,,a [acd] ,,,c ,,,,a ,d ,,,,a [acd] ,,,c ,d \
[a,,,a] d c a ,,,,,c [,dd] ,,,a ,,,,,d";
12;;14v;Anthony Pauyn;?Anthony Holborne / Anthony de Countie;;OT;;none;"[,dda1] [,dda3/2] ,,,,d/ [,d,,b] ,,,,a [,d,db1] [,dbb] ,b \
[,dda] ,,,a/ ,c ,d a [bdda2] [bdd1] [,db,d] [,ed] \
[,dedb] ,,,d/ [,b,,a]";
13;;15r;A new Almaine;;;OT;;C;"[,dda3/2] a/ [cdda1] [acd,a] | [,dda3/2] ,,,c/ [,d,e1] [,dda] | \
[acd,a1] [cdda] [da,c] [dc] | [cdda3/2] d/ [cdda1] [dfg,d] | \
[dfg,d3/2] f/ [dfg,df1] [cdda] |";
14;;17v;Alman;;;OT;;none;"[,,dca2] [,aba,d1] [ab,cd3/2] ,d/ [ab,ad1] [db,ad] [bd,a] [ab,c] [,b,d] \
[,ab] [,bbad3/2] ,,,d/ ,,,c ,,,a [,bbad1] [,,d,a/] ,a [b,,a1]";
15;;18v;grenes allman;Richard Greene;;OT;ConcR207;C;"[,,dca1] ,,,c/ ,a [,bd,a1] [,da,c] [ab,,d] [,dda/] ,b [,acc1] \
[aa,c,a] [,d,a,c] [,a,c,e] [,bdca] [,a,bc/] ,,d [,acc,a] \
,,,c/ ,,d [,ac] ,,,c ,,,,,a1 |";
16;;19r;[Galliard];;;OT;ConcR188;3;"[aa,c/] c [ea,c1] [cef,c] | [aa,c3/2] a/ [,a,c1] | \
[cef,c/] e [fc,ca1] [effc] | [cef,c3/2] ,e/ [,a,,c1] | \
[a,d,a/] c [eef,,e] ,,,,,g [cef,c1] |";
17;;20v;[E Lume Alta Galliard];;;OT;ConcR15;none;"[c,da1] [acd,a] ,c [c,da] [acd,a3/2] ,c/ [acd,a] c a ,d ,c ,a \
[,ce,,c1] ,,,f/ ,,f [ce,,c1] [,aa,c] [,cf,,c] ,,e";
18;;21r;gallyard;;;OT;ConcR449;none;"[a,d1] [,bd] [bdda] [abd3/2] ,d/ [abd1] [,dff] [,,dd/] ,a ,b ,,,d [,abc] \
,,,c/4 ,,a [,ac] [,bed] [,dff] a";
19;G dur;21v;Quadro pavyan;;;OT;;C;"[aacc3/2] ,,d/ [aacc1] [aac,,a] | [aacc1] [a,d,e] [,dda] [aacc3/4] ,d/4 | \
,,,,a/ [acd] ,,,c ,,,,a [acd] ,,d/4 ,,c ,,d ,a ,c ,d |";
20;;22v;Galiard Labandala shotta;;;OT;ConcR182;3;"[,dda1] [acd,a] | [cdda2] [da,a,d1] | [acd,a1] ,,,c/ ,d [acd,a1] | \
[,dda3/2] ,d/ ,,d1 || [,a,a/] ,c [,dda1] [a,d,e] | \
[cdda/] a d c [da,a,d1] |";
21;C dur;23v;[Pavan];;;OT;;C;"[,,dca/4] ,,c ,,d ,a [,cdca1] ,d/4 ,c ,a ,c [,d,,c] ,a ,c ,d | \
[a,,,e/] ,,d/4 ,a [,c,,a] ,d a ,c";
22;c moll;25v;A paven to delight / Mr Johnson;John Johnson;Delight Pavan;OT;ConcR12;C;"[,,dca3/4] ,,c/4 ,,d/ ,a [,bd,a1] [,abc] | \
[,bdd/] ,,d/4 ,a ,b ,a ,b ,d [,bdd/] ,,d ,b ,d |";
