PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;1r;Ecce dominus;Ludo: Victoria;;OT;;C;",,d4 | ,,d4 | [,,aa4] | [,dda4] | [,df,c4] | [,dfec4] | [,,ff4] | \
[dffc3] ,d/ ,c | [aacc2] a | [,cd,a2] [ac1] ,,,,a | \
[a,,,a1] ,c [,cd2] |";italiantab
1b;;1v;Secunda pars;;;OT;;C;",,,b4 | ,d2 ,d | [,,ff2] ,a | [a,,c2] a | [acd2] ,c | \
[cd,a3] [cd1] | [cd2] [,df] | [ab2] ,d | ,,d2 [,cd] | \
[,d,a2] ,,a |";italiantab
2a;;2v;Alma Redemptoris;Ludo: Victoria;;OT;;C;",d4 | ,a3 ,c1 | [,d,a1] a [cd2] | ,,,e1 d [fc2] | \
[dab1] ,c ,d [ca] | [acd1] ,d [ac2] | [,df1] ,d ,d2 |";italiantab
2b;;3v;Secunda pars;;;OT;;C;",,,b4 | ,d4 | ,d2 ,c | ,a2 ,,d | ,a1 ,c ,d2 | [,dd2] ,c | \
[,dda2] ,,b | [,,aa2] [,,,ce] | [,,a,c1] ,,b [,,d,a] ,,a |";italiantab
3a;;4v;Nigra sum;Criquillon;;OT;;C;",d4 | ,d4 | ,,f4 | ,,d4 | ,d4 | ,d2 ,d | d4 | c3 a1 | \
,d2 ,c | ,a2 c | ,,d2 a1 ,d | [a,d4] | [,,de4] | [,a,c4] |";italiantab
3b;;5v;Secunda pars;;;OT;;C;"Z | Z | ,d4 | ,d2 ,,,f | ,,f2 ,,f | ,,d2 ,d | ,,d2 ,c1 ,a | \
[,cd2] [,d,a] | ,,,e1 ,c [,,de2] | [,a,c2] ,c |";italiantab
4a;;6v;Domine quis habitabit;Mr. Tho: Tallis;;OT;;C;",,,a4 | ,,,a2 ,,,c | ,,a2 ,,d | ,,b2 ,,a | ,,d4 | \
,,,a2 ,,d | ,a2 ,d | ,d2 ,c | ,d2 ,,d | ,a4 | ,,d2 ,,a |";italiantab
4b;;7v;Secunda pars;;;OT;;C;"Z | ,,b2 ,,d | ,d3 ,d1 | ,c2 ,a | ,,d2 [,,de] | [,d,f2] ,,d1 ,c | \
,a2 [,,de] | [,d,f2] a | [c,,e2] ,,d | [ac2] ,d |";italiantab
5a;;8v;Quis te victorem;Criquillon;;OT;;C;"Z3 | ,b4 | ,b2 ,,d | ,a2 ,b | ,d4 | ,b2 b | ,b2 a1 ,d | \
[ab2] [b,d] | ,a2 [ab] |";italiantab
5b;;9v;2da pars;;;OT;;C;",b4 | ,b2 ,b | [d,,f4] | [,f,fd2] ,,,f | [fg,d2] [,d,,d1] ,,g | \
[,d,f,d2] ,,f1 ,,d | [,dff,d2] ,,,,,d | [ab,cd1] ,,,,d ,,,a2 |";italiantab
6a;;10v;Accendit deus;Cle: non: papa;;OT;;C;"Z4 | ,,,d4 | ,,,d2 ,,b | ,,d2 ,a | ,b2 ,b | b2 [a,,,d] | \
[a,,,d2] [,d,a] | ,,,c2 [,b,d] | ,,,f2 [,,ff] | [,bd,,b3] ,a1 |";italiantab
6n;;11v;Secunda pars;;;OT;;C;",,,d4 | ,,,d2 ,,b | [,,dd4] | [,ab2] [,bd] | [,df2] [,fg] | \
[bd2] [df] | ,,,,d1 ,d [ab] ,a | [b,da2] [ab,c] | \
[,d,d1] ,a [df,f2] |";italiantab
7a;;12v;Laetentur caelj;Mr: Birde;;OT;;C;"Z3 | ,,,f4 | ,b3 ,a1 | ,b1 ,,d ,a ,b | [,d,a2] ,,d | \
[,ab3] [,,dd/] ,a | [,bb,d1] ,,,c ,,,d ,,b |";italiantab
7b;;13r;Secunda pars;;;OT;;C;",,,f3 ,,d1 | ,a1 ,b ,d2 | a2 c | d2 a | ,b2 a | ,d3 ,d1 | \
[a,,,d2] ,b1 ,,,a | [,a,c1] ,,,d [a,b2] |";italiantab
