PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1;Sarabande (Marion pleure);;;;Conc_1050;3;"{,a}1 | \
[,,aa1] [,,aa] {,a} | \
[,,'a2] {a}1 | \
[,,bc1] [,,bc] {,a} | \
[,,'aa2] {,,a}1 | \
[,,,ca1] [,,,ca] {4} | \
[,,,'ca2] {4}1 | \
{,,,a}1 {,,a} {,a} | "
2;d moll;2;Prelude;;;;Conc_3990;none;",a {,,,a} ,,,,a ,,,a ,,a ,a [,'c] a ,a #e ,,,,a ,,,,,e \
,c ,,a c ,,,,a a ,,a ,a a ,a ,c ,,,c"
3;d moll;3;Follies Despagne;;theme + 4 variations;;Conc_525;3;"[,a{,,,a}1] [,'aaaa3/2] ,a/ | \
[,,e,,a1] [,,eec2] | \
[,a{,,,a}1] [,'aaaa3/2] ,a/ | \
[,c{4}1] [,cdc2] | \
[a{,a}1] [add3/2] a/ | \
[,'c{4}1] [,cdc3/2] a/ | \
[,a{,,,a}1] [,'aaaa3/2] ,c/ | "
4;d moll;9;Sarabande;J.H.Olivet;;;Conc_1987;3;"[aaa{,,,a}1] [ada,a3/2] c/ | \
[,'c,,,a3/2] ,a/ ,,d1 | \
[,a{a}1] [,,'b] [,,a{,a}] | \
[,,,'c{4}3/2] ,,,a/ [,,,a{,a}1] | \
[,,#d1] {,,a} [,,'e] | \
[,a{,,,a}3/2] ,c/ [a,,,a1] | \
,,,a1 [,,,'c{d}3/2] ,,a/4 ,,,c | "
5;d moll;10;Apollon de psiché gavotte;Ch.Mouton;Lully: Psichée;;Conc_1907;C;"e1 | \
['a{,,,a}3/2] ,a/ ['f{a}3/4] h/4 | \
['e{,a}3/2] c/ [a,a1] [e,,a] | \
['c,,,,d3/2] c/ [c{d}1] [e,,,,a/] ,c | \
[aa{,,,a}1] ,,,,a [aa] [,,aa] | \
[,aa1] ,,,c/ ,c [,'c{a}3/2] ,a/ | "
6;d moll;11;Menuet;;;;Conc_1908;3;"[aa,,a3/2] [,c,,,e/] [a,,,a1] | \
[,a,,,b1] [,c{a}] [,,'e,,a] | \
[,a,,a2] [,,a{,,,a}1] | \
[a,,,a3/2] [,c,,,e/] [a,,,a1] | \
[,a,,,b/] [,c{a}] [,,'e,,a3/2] ,a/4 ,,e | \
,a1 ::"
7;d moll;12;Canaries;V.Gaultier;;;Conc_546;3;",a1 | \
[,'c,,,a3/2] ,,e/ a1 | \
,,f3/2 c/ ,c1 | \
e3/2 ,,e/ ,a1 | \
,,,e3/2 ,,e/ ,,,c1 | \
[,,,'a3/2] ,a/ [,,e,c1] | \
[,a,,a3/2] ,c/ a1 | "
8;d moll;14;Le Canon Courante de gautier;V.Gaultier or D.Gaultier;Le Canon;;Conc_15;3;"#e1 ,a ,,e/ ,c | \
,a/ a ,,a c 'a ,,,,a | \
,,,,c/ ,c ,,,a ,,a ,a ,,,c | \
[,,,'a/] ,a ,,,,,a ,,,,c ,a ,,e | "
9;g moll;15;Lairi bollairy bolli nola;Lully;Marche du Prince d'Orange;;Conc_1988;3;"[,,,'c{a}3/2] ,,a/ ,,,c1 | \
[,,'c{a}3/2] ,,d/ ,,c1 | \
[,,'a{,,,a}3/2] ,,,c/ ,,a1 | \
[,,d,,a3] | \
[,,c{a}3/2] ,a/ ,,,c1 | \
[,,d{4}2] ,,c1 | \
[,,'a{,,,a}3/2] ,,,c/ (,,,b1 | \
[,,,c{a}1]) ::"
10;d moll;16;L'Immortelle Courante de gautier;V.Gaultier;;;Conc_95;3;",,a/ [,,,'c] ,,a | \
[,,,aa3/2] [,,,aa/] [,,,cc1] | \
[,,aad1] [,,aa] ,a/ ,,,c | \
[,,ee1] ,,,,,a/ ,,,c [,,,'a] ,,,,c | \
[,a{,,,a}1] [,'c3/4] a/4 ,c/ a | "
11;F dur;18;Gigue angloise;Gaultier;;;Conc_1740;3;"a/ | \
[ad{,a}1] c/ a [,'c,,,d3/2] a/ ,c1 [,ad{,a}] | \
[,ab,,b3] | \
[,,d,,a1] ,,,a ,a | \
[,,b{a}3/2] ,,,c/ ,,d1 | \
[,,'a{,a}3/2] ,,,c/ ,,a1 | \
,,,a2 ::"
12;d moll;19;Espagnolette;;;;;3;",a1 ,c/ ['a,,,a3/2] | \
,c1 a/ ['c{4}3/2] | \
a/ c1 [ed{,a}3/2] | \
,,,a1 [ed] c/ e | \
[f,,,,a1] c/ e ['c{a}3/2] a/4 ,c [ad{,a}1] ,,,a | \
[ad2] ::"
13;C dur;20;Marche des berger d'isis;Lully;Isis, 1677;;Conc_1989;C;"[,,d,,d1] | \
[,a,,,c1] [,c,,,d] ['a{4}3/2] ,c/4 a | \
[c{4}1] a/ ,c [e{,a}1] 'c/ a | \
[c,,,,d1] 'a/ ,c [a,,,a1] [,'c,,,c/] ,a | "
14;a moll;22;L'homicide Courante de gautier;V.Gaultier or D.Gaultier / Ch.Mouton;La Belle Homicide;;Conc_8;3;"e/ ,c ,d | \
[,'c,,,a1] ,,a3/2 ,e/ | \
[c,,c1] [e,aa3/2] e/ | \
['d,,,c1] {,,a}3/2 e/ | \
[e,,,,a1] ,,,e/ ,,d ,c ,e | \
[c{,,a}1] ,,d [,a{,a}] | "
15;a moll;24;Courante de du buct;Du But le Fils;;;Conc_157;3;",c1 | \
[,ca,,a1] (,c/ ,e) c1 | \
e1 ,,,c/ [,,,'a] e1 | \
['d,,,c1] ,c [ec,,,d] | \
,,,,a1 [e,c,c3/2] d/ | \
[e,,,,a1] ,,a/ g h1 | \
['g{a}3/2] h/ {,a} e | "
16;a moll;26;Sarabande de du buct;Jacques Gallot;Les Castagnettes;;Conc_150;3;",,,,,a1 | \
[,cde1] (,,,,,c ,,,,,d) | \
[,cde2] {a}1 | \
[,acc1] ,c ,,,,,a | \
[,dec2] {,a}1 | \
[,,'ccc3/2] ,,d/ {,a}1 | \
[,,aad1] ,a {,,,a} | "
17;a moll;28;Sarabande de gautier;H. de Launay;;;Conc_1990;3;"[,,a,,a1] [,,c{b}] [,,d,,a] | \
[,,'cc{a}3/2] ,,d/ [,,aa{,a}1] | \
[,c{,,a}1] ,,,,c [,aa,d] | \
[,'a{a}3/2] ,,d/4 ,a ,,d1 | \
[,,d,,a1] [,a,,,c] [,c,,,d] | \
[ac,,a1] ,a [cc,,c] | "
18;a moll;30;Menuet;;;;;3;"[,c,,,d1] [,'c] ,,d | \
[c{a}/] a c e c1 | \
[,d,,a1] c/ a ,c ,a | \
[,c,,,d/] ,a ,c ,d ,c1 | \
[,'c,,,d1] [,'c] ,,d | "
19;C dur;31;Gaillarde (Quel plaisir d'aimer sans contrainte);Lully;Thésée, 1675;;Conc_1991;C;"[,cd,,d/] ,d [,'c] ,a [,,d,,a] ,a ,,d ,,c | \
[,,'aa{,a}1] [,,aa] [a,,,,d/] c 'a ,c | \
[,a,,,b/] ,c [,,d{4}] ,a [,,'cc{a}1] [,,dc] ::"
20;C dur;32;Sarabande de du buct;Du But;;;;3;",,d1 | \
[,,dcc{4}1] [,,dcc3/2] ,,c/ | \
[,,'a{,a}1] [,,aad3/2] ,,a/ | \
[,,,c{,,a}/] ,,a [,,,'a{,,,a}3/2] ,,,,c/4 ,,,a | \
,,,,c1 {,,a} ,,a/ [,,,'d] | \
[,,aa{,a}3/2] ,a/4 ,,d ,a3/4 ,,d/4 | "
21;C dur;34;Suivons suivons Lamour;Lully;Phaeton, 1683;;Conc_1992;3;"[cc{4}1] [ed] [cc{4}] | \
['c,,,,c1] {a}/ ,d [,'c,,,a1] | \
[cc{,,a}1] e/ c ['a{,a}] ,c | \
[,'a{a}3/2] ,,d/ [,,dcc{4}1] :: \
[ccd,,d1] {4}/ c [ccd1] | "
22;C dur;35;trompette de proserpine;Lully;Proserpine, 1680;;Conc_1993;C;"[,,dc{4}3/2] ,a/ [,c,,,d] a [c,,,,c] e | \
[c,,,c1] 'a/ ,c a1 [c{a}] | \
[,'c,,,d3/2] ,a/ [,,d{4}] ,a ,c a | \
[c,,,c1] [c,,,,c/] a [,c,,,d] a [c,,,c1] | "
