PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;Vr;All[emande];;;Guitar;;C;;french5tab
2;;Vr;Gig;;;Guitar;;3;;french5tab
3;;Vv;Echo;;;Guitar;;3;;french5tab
4;;Vv;Cour[ante];;;Guitar;;3;;french5tab
5;;Vv;Pascail;;;Guitar;;3;;french5tab
6;;Vv;Air de Trompette;;;Guitar;;C;;french5tab
7;;Vir;[Menuet];;;Guitar;;3;;french5tab
8;;VIr;Menuet;;;Guitar;;3;;french5tab
9;;VIr;Espagnoletto;;;Guitar;;3;;french5tab
10;;VIr;All[emande];;;Guitar;;C;;french5tab
11;;Viv;Angloise;;;Guitar;;none;;french5tab
12;;VIv;La Marche;;;Guitar;;C;;french5tab
13;;VIv;Canaries;;;Guitar;;3;;french5tab
14;;VIIr;Air de Trompette;;;Guitar;;C;;french5tab
15;;VIIr;All[emande];;;Guitar;;C;;french5tab
16;;VIIr;Menuet de l'opera d'Isis;;;Guitar;;3;;french5tab
17;;VIIr;Menuet de l'opera;;;Guitar;;3;;french5tab
18;;VIIv;Menuet de l'opera;;;Guitar;;3;;french5tab
19;;VIIv;Menuet de G. d'Irlande;;;Guitar;;3;;french5tab
20;;VIIv;Sarrabande du mesme;;;Guitar;;3;;french5tab
21;;VIIv;Minuet de Phaeton mis par G. d'Irlande;;;Guitar;;3;;french5tab
22;;VIIv;Menuet de Phaeton;;;Guitar;;3;;french5tab
23;;VIIIr;Gigy;;;Guitar;;3;;french5tab
24;;VIIIr;Menuet de Gallot de'I[rlande];;;Guitar;;3;;french5tab
25;;VIIIr;Menuet de Gallot de'I[rlande];;du 3. Giu de 1684;Guitar;;3;;french5tab
26;;VIIIr;John come kiss me De Gallot d'Irlande 1689;;;Guitar;;C;;french5tab
27;;VIIIv;Menuet de Gallot de'I[rlande];;;Guitar;;3;;french5tab
28;;VIIIv;Menuet de G. d'I[rlande];;;Guitar;;3;;french5tab
29;;VIIIv;Menuet de Gallot de'I[rlande];;ff. IXr-Xv empty;Guitar;;3;;french5tab
;;;f. 1r Alphabet de la Guitarre La Methode françoise & Italienne 1660;;;;;;;
;;;f. 1v Plus accords differens;;;;;;;
;;;f. 2r Commun Accords de Guittarre;;;;;;;
30;;3r;Allemande;;;Guitar;;C;;french5tab
31;e moll;3r;Sarabande;Francesco Corbetta;;Guitar;;3;;french5tab
32;;3v;Courante;;;Guitar;;3;;french5tab
33;;3v;S[arabande];;;Guitar;;3;;french5tab
34;;3v;Allemande;;;Guitar;;C;;french5tab
35;;4r;Courante;;;Guitar;;3;;french5tab
36;;4v;Sarabande;;;Guitar;;3;;french5tab
37;;4v;Prelude de Gallot d'I[rlande];;;Guitar;;none;;french5tab
38;;4v;Air du mesme;;;Guitar;;none;;french5tab
39;;5r;Allemande de Gallot d'I[rlande];;;Guitar;;C;;french5tab
40;;5r;Gigue du mesme;;;Guitar;;3;;french5tab
41;;5r;Gavotte du mesme;;;Guitar;;C;;french5tab
42;;5v;Passacaille de Gallot d'I[rlande];;;Guitar;;3;;french5tab
43;;5v;Courante de G. d'I[rlande];;Cont'd on f.53;Guitar;;3;;french5tab
44;;6r;Prelude a.m.;;;Guitar;;none;;french5tab
45;;6r;Prelude;;followed by explanation of Alphabeto;Guitar;;none;;french5tab
46;d moll;6v;Prelude f;Francesco Corbetta;;Guitar;;none;;french5tab
47;d moll;6v;Autre f;Francesco Corbetta;;Guitar;;none;;french5tab
48;;6v;Carillon de G. d'I[rlande];;;Guitar;;C;;french5tab
49;;7r;Allemande;;;Guitar;;C;;french5tab
50;;7r;Courante;;;Guitar;;3;;french5tab
51;;7r;Sarabande;;;Guitar;;3;;french5tab
52;;7v;Allemande;;;Guitar;;C;;french5tab
53;;7v;Gigue a.m.;;;Guitar;;C;;french5tab
54;;7v;Ciacconna;;;Guitar;;3;;french5tab
55;;8r;Courante;;;Guitar;;3;;french5tab
56;;8v;Ballet Chabotte;;;Guitar;;C;;french5tab
57;;8v;Chaconne;;;Guitar;;3;;french5tab
58;;8v;Chaconne;;;Guitar;;3;;french5tab
59;;9r;Sarabande a.;;;Guitar;;3;;french5tab
60;;9v;Ciaconna;;;Guitar;;3;;french5tab
61;;10v;Allemande;;;Guitar;;C;;french5tab
62;G dur;10v;Allemande francisco;Francesco Corbetta;Cont'd on f. 21v;Guitar;;C;;french5tab
63;;10v;Sarabande;;;Guitar;;3;;french5tab
64;;11r;Allemande;;;Guitar;;C;;french5tab
65;;11r;Courante;;;Guitar;;3;;french5tab
66;;11r;La Reyne. Sarabande de Gallot d'I[rlande];;;Guitar;;3;;french5tab
67;;11v;Prelude;;;Guitar;;none;;french5tab
68;;11v;Courante;;;Guitar;;3;;french5tab
69;;11v;All[emande];;;Guitar;;C;;french5tab
70;;11v;Passacaille;;;Guitar;;3;;french5tab
71;;11v;Autre Pascaille;;;Guitar;;3;;french5tab
72;;12r;Prelude a.m.;;;Guitar;;none;;french5tab
73;;12r;P[relude];;;Guitar;;none;;french5tab
74;;12v;Prelude de Gallot V.;;;Guitar;;none;;french5tab
75;;12v;Prelude f;;;Guitar;;none;;french5tab
76;;13r;Allemande M.;;;Guitar;;C;;french5tab
77;;13r;Courante;;;Guitar;;3;;french5tab
78;;13r;Gigue;;;Guitar;;3;;french5tab
79;;13v;Sarabande;;;Guitar;;3;;french5tab
80;;13v;Gigue;;;Guitar;;C;;french5tab
81;;14r;Courante;;;Guitar;;3;;french5tab
82;;14v;Sarabande;;;Guitar;;3;;french5tab
83;;14v;Sarabande;;;Guitar;;3;;french5tab
84;;14v;Allemande;;;Guitar;;C;;french5tab
85;C dur;15r;Allemande x f.;Francesco Corbetta;;Guitar;;C;;french5tab
86;;15r;Chaconne;;;Guitar;;3;;french5tab
87;;15v;Courante de G. d'I[rlande];;;Guitar;;3;;french5tab
88;;15v;Allemande;;;Guitar;;C;;french5tab
89;;16r;Passacaille;;;Guitar;;3;;french5tab
90;;17v;Allemande;;;Guitar;;C;;french5tab
91;;17v;Sarabande;;;Guitar;;3;;french5tab
92;;17v;Passacaille f.;;;Guitar;;3;;french5tab
93;;18r;Chaconne;;;Guitar;;3;;french5tab
94;;18r;S[arabande];;;Guitar;;3;;french5tab
95;;18v;Chaconne f.;;;Guitar;;3;;french5tab
96;;19v;Allemande;;;Guitar;;C;;french5tab
