PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Mass. Lud. Vittoria;Lud. Vittoria;;OT;;;
2;;2v;Fuit homo missus;F. de Rivolo;;OT;;;
3;;4v;Ego sum panis.;F. de Rivolo;;OT;;;
4;;6v;Dum complerentur;G. P. da Palestrina;;OT;;;
5;;8v;Surrexit pastor;Clefe junior;;OT;;;
6;;9v;Ave salyutis janua;T. Criquillon;;OT;;;
7;;11v;Jubilate Deo;C. Merulus;;OT;;;
8;;12v;Cantate Domino;Gio. Gabrielli;;OT;;;
9;;13v;Cunctis diebus;William Byrd;;OT;;;
10;;14v;Infelix ego;William Byrd;;OT;;;
11;;17v;Virgo per incertus;A.Ferrabosco;;OT;;;
12;;18v;Aspice domine;H. Baccusi;;OT;;;
13;;19v;Salve Regina;Jacob Vaet;;OT;;;
14;;20v;Diligite justi;T. Massianus;;OT;;;
15;;21v; Anima mea;T. Massianus;;OT;;;
16;;22r;O bone Jesu;de Monte;;OT;;;
17;;23v;O quam suavis;Gio. Gabrielli;;OT;;;
18;;24v;Beata es virgo;C. Merulus;;OT;;;
19;;25v;Exaudi Domine;C. Merulus;;OT;;;
20;;26v;Dominus illuminatio;C. Merulus;;OT;;;
21;;27v;Jubilate Deo;Giuseppe Guaimi;;OT;;;
22;;28v;Exultate Deo;T. Massianus;;OT;;;
23;;29v;In convertendo;L. Lecnerus;;OT;;;
24;;30v;Paratum cor meum;L. Lecnerus;;OT;;;
25;;31v;Benedixisti Domine;Jac. Mailandus;;OT;;;
26;;32v;Ave Regina;Orlando di Lasso;;OT;;;
27;;33v;Ardens est cor;Lud. Vittoria;;OT;;;
28;;34v;Domine salva nos;W. Byrd;;OT;;;
29;;35v;Sic Deus dilexit;F. de Rivolo;;OT;;;
30;;37r;Inclina Domine;A.Ferrabosco;;OT;;;
31;;37v;Credo quod Redemptor;A.Ferrabosco;;OT;;;
32;;38v;De profundis;A.Ferrabosco;;OT;;;
33;;39v;Quare tristis es;;;OT;;;
34;;40v;Jesu nostra redemptio;O. di Lasso;;OT;;;
35;;41v;Cum natus esset Jesus;O. di Lasso;;OT;;;
36;;43v;Memento homo;William Byrd;;OT;;;
37;;44v;Domine da nobis;T. Criquillon;;OT;;;
38;;46v;Peccata mea sicut sagittae;N. Gumbert;;OT;;;
39;;48v;Veni Creato;;;OT;;;
40;;49v;Come haura vita;Philip de Monte;;OT;;;
41;;49v;Salva Regina;M. Ingegneri;;OT;;;
42;;50v;Tribue Domine;William Byrd;;OT;;;
43;;52v;Gloria patri;William Byrd;;OT;;;
