PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;3v;[No title];John Wilson;"ff.1v-2v accord sequences; f.3r empty";TH;;C;"[,cde,c3] ,,,,e1 | [cde1] ,,,d/ ,,,e [,ccd1] ,,,,e | \
[,cde1] ,,,,,c [,ccde] ,,,,c/ ,,,,e | [,cde1] ,,,,,c [,ccde] ,,,,c/ ,,,,e | \
,,,,a1 ,,,c [,fhh] ,,,g/ ,,,h |"
2;;3v;[No title];John Wilson;;TH;;C;"[,dff2] [,,b,,d1] [,,a,a/] ,,,c | [,dbac2] [,,dcd1] ,,b | \
[,baa1] [,ab] {a}/ [,,ff] [,,de1] | \
[,a,a,d1] [,,dc,c/] ,,a [,,b,,a] ,,,,c [,,d,e] ,,b |"
3;;4r;[1];John Wilson;;TH;;C;"[,cde3] [,,cd1] [,c,de] [,a,b] [,,cd/] ,,d ,a ,c | \
[,cde1] ,,,c/ ,,,a [,,cce3] [,,,bd1] [,,c,ce] [,,a,b] | \
[,,,bd/] ,,,c ,,a ,,c [,,cce1] ,,,,c/ ,,,,a [,,c,ee1] \
,,,,d [,c,,d{,a}] [,aa{b}] |"
4;;4r;[2];John Wilson;;TH;;C;"[,cee3] ,,,,e1 [,acd/] ,e ,c ,a/4 ,c [,cee1] ,,,d | \
[,cab3/4] ,c/4 ,b1 [,a,de/] ,,c [,,ee1] \
{,a} ,,,e/4 ,,c ,,,d/ {,,a} [,,a{,,,a}] ,,,,e ,,,c1 |"
5;;4v;[3];John Wilson;;TH;;C;"[,cde{5}2] [,a,c{4}1] ,,,a [,,d,e{,,,a}2] [,,aa{,,a}1] ,,c/ ,,a | \
[,c,d{,a}1] ,a [,de{a}] ,,f [,ccc{,a}2] ,e1 ,c | \
,,,,d/ ,,c/4 ,e ,,,e/ ,,c [,ccce1]"
6;;4v;[4];John Wilson;;TH;;C;"[,bbc{,a}2] [,a,d{a}1] ,,d [,bbc,a2] [,,d,,b1] ,d | \
[,aba,d2] {4}1 ,d/ ,b [,a,a,d1] ,,,c [,,d,d] ,,,a/ ,,,,d | \
[,,d,ca2] ,,c [,dd{5}1] ,b ,a ,,d |"
7;;5r;[5];John Wilson;;TH;;C;"[,bbcd2] [,,b,da1] [,,da,b] [,aba,d2] [,dba{,,a}1] [,,,c{,a}] | \
[,ddd{a}1] [,,b,,a] [,dd,,b] [,a,,,d] [,,d,d{,,,a}] [,,ca{,,a}] [,,dc{,a}] [,,a,d{a}] | \
[,,c,,a1] ,,,a [,,d,d] ,,,,c/ ,,,,a \
[,,d,ca1] ,,,,a [,,d,ca] ,,c |"
8;;5r;[6];John Wilson;;TH;;C;",,d2 ,b1 ,,d ,f ,,,c/ ,,a [,fc] ,d [,bd1] | \
[,adc1] ,,c [,ddd] ,,,,f [,fgh] ,,,,a/ ,,,,c [,fd,d1] [,dfa/] [,bd] | \
[,acc1] ,,,,,a [,a,c,e] ,,,,,a [,bdca] {,,,a}/ \
{,,a} [,,dc{,a}1] [,,a,d{a}] |"
9;;5r;[7];John Wilson;;TH;;C;"[,bdca3] ,,,,,a/ ,,,,,c [,a,c,e1] ,d [,b,ca] ,,,,,d | \
[,dd,,b1] ,b [,b,a,d] ,a [,b,c{,a}] ,a/ ,b [,a,d{a}1] ,,d/ ,a | \
[,ac,,a/] ,,a [,acc] ,,,a [,,a,d1]"
10;;5v;[8];John Wilson;;TH;;C;"[,cdca2] [,f{,,,a}1] [,d{,,a}] [,cdc{,a}] ,d/ ,c [,,fe{a}1] ,,d | \
[,adc,a2] ,,c1 {a} [,,,ca{,a}2] [,,da{,,a}1] ,,c/ ,,,a | \
[,,c,e{,,,a}1] ,,a [,a,e{,,,a}] ,,,d/ ,c [,dd{5}1]"
11;;5v;[9];John Wilson;;TH;;C;"[,daac2] {,,a}/ ,c a ,,e [,af1] ,,e/ ,a [,cee1] ,,,,,c | \
[,,ae/] ,,,c [,aaa] ,,,,e [,,aaf1] ,,,,e/ ,,,,c [,c,de] \
,a ,,d ,,c [,,de{,a}1] ,,c/ ,,,e |"
12;;6r;[10];John Wilson;;TH;;C;"[,af2] ,,,e1 ,,e/ ,a ,c2 [,ef1] [,ce] | \
[,ac1] ,,a [,ccd/] ,e ,c ,a [,,ee1] ,a/ ,c [,ea,c2] | \
,,,,,c1 [,ca,b/] ,,,,c [,ccce1]"
13;;6r;[11];John Wilson;;TH;;C;"[,abc,a2] [,,b,c{5}1] ,,a [,abc,a] {a} [,b,c{,a}] ,,d/ ,,b | \
[,ba{a}1] ,,b [,dba] ,,a [,cbc,a2] ,a1 ,c/ ,a | \
[c,f,,c1] ,,e [,af,,d] [,,d,,c]"
14;;6v;[12];John Wilson;;TH;;C;"[,af2] ,,c1 [,af] [,ccc] [,acb/] ,,a [a,d,e] ,,,b ,,,c/4 ,c ,a ,,d | \
[,,ccc2] [,,ab{,,a}1] ,,d ,,,,,a [,fcc] [,fd,e] [,adc/] ,,c |"
15;;7r;[13];John Wilson;;TH;;C;"[,ccc{,a}3/2] ,e/ [,f,,e] ,h [,ec,d1] [,ccce] [,,g,ge3/2] [,,h,,g/] [,e,,d] [,f,,e] | \
[,ea,a1] ,c [e,g,,e/] ,,h1 ,,g/ \
[,cc,a1] ,,a [,a,e,e] [,c,d/] ,a |"
16;;7r;[14];John Wilson;;TH;;C;",c2 ,,a1 ,,e [,,,de3/2] ,,a/ ,,c ,,,,e [,ec,d1] | \
[,cb,b1] ,,c [,cc{,,,a}] ,,b [,,g,,g{4}/] ,,h1 ,,g/ [,,gg{a}1] [,,ef] | \
[,egg2] ,,,,g1 [,cee] [,ec,d3/2] ,,,,e/ [,e,gg1] ,,,f |"
17;;7v;[15];John Wilson;;TH;;C;"[bdda3] d1 [f,,,e] ,f d2 | [bf,a1] ,d [,d,ca] ,b/ ,,,,c [a,b,d1] ,,,,,d/ ,,,,a [,dd,b1] ,,b | \
[,d,ca1] ,b2 [,a,c,a/] ,,,,,c [,a,c,d1] \
[,,dd{a}/] ,,,,,a [,,dc,b1] ,,,a |"
18;;7v;[16];John Wilson;;TH;;C;"[cdda2] {a}1 [,,bc] [,,de{a}] ,,,,f [,,ff2] | \
[,dff{a}1] [,,de/] [,,ff] [,,,de1] [,,bc] [c,da] d [f,,,e] ,f | \
[dd,,c2] [dc,,a/] ,,d [cd1] {,,,a} [,da,a] [,c,c] ,,,,,a |"
19;;8r;[17];John Wilson;;TH;;C;"[,def,d2] {4}1 ,,d [,,effd] ,,g [,,daac2] | \
[,,ea,d1] [,,da,b] [,bd{b}] ,,b [,daa{a}2] ,,d1 [,,ea] | \
[,b,c1] [,d,e] [,,ef2] [,,dd{a}] ,d1 ,f |"
20;;8r;[18];John Wilson;;TH;;C;"[,dff2] [,,b,,d1] [,,a,a/] ,,,c [,dbac2] [,,dcd1] ,,b | \
[,baa1] [,ab] {a}/ [,,ff] [,,de1] \
[,a,a,d] [,,dc,c/] ,,,a [,,b,,a] ,,,,c [,,d,e] ,,b |"
21;;8v;[19];John Wilson;;TH;;C;"[,bdd2] ,,,,,b1 ,,,,,d [,b,da2] [,db,b1] ,,,d | \
[,bbcd2] [,,,c{,a}1] [,,,d{a}] [,bbc,a2] [,,d,db1] [,,b,da] | \
[,,,dd{a}1] ,,,,c/ ,,,,a [,,,dc{a}] ,,,,d1 \
,,,,c/ [,,,cd{,a}3/2] ,,,d/ ,,b ,,,c ,,d ,,b |"
22;;8v;[No title];John Wilson;;TH;;C;"[,bcddb3] ,,,,d1 ,,,d/ ,,b ,,c ,,,d [,,,cd] ,,,d ,,b ,,,,b | \
[,c,da1] ,b [,c,db] ,,,,a/ ,,,,b | \
{5}1 [,bcddb3/2] ,,,,,d/ ,,,,,c ,,,,,b |"
23;;9r;[20];John Wilson;;TH;;C;"[,efgge2] [,efg1] ,,,f/ ,,,g [,,,fg{a}] ,,,g ,,e {,a} [,ee{,,a}1] ,,c | \
[,cc{,,,a}2] ,,b1 ,e [,ff{4}/] ,e ,c ,a [,,e,ec] ,,f ,c1 |"
24;;9v;[21];John Wilson;;TH;;C;"[,egg2] ,,,,g1 ,,,d [,eef] ,,,g/ ,,,f [,dcd] ,e1 ,d/ | \
[,eefg2] ,,,,,g1 ,,,,e [,ec,d] ,,,,b/ ,,,,,e [,ee,,d1] ,,,,,e/ ,,,,,d |"
25;;10r;[No title];John Wilson;;TH;;C;"[,d,db2] [,de,,b1] [,bd] [,,ea{,,a}2] [,,db{,a}1] ,,b | \
[,,,db{a}2] y/ ,,e/ ,,c ,,e [,,b{b}2] y/ ,d/ ,b ,,e | \
[,,d,db1] ,,e ,b [,,b,d{b}/] ,,d [,,ed{a}2] [,,eb{,a}1] ,,d |"
26;;10v;[No title];John Wilson;;TH;;C;"[,c,db2] [,,e{,,a}1] ,b | [,c,db1] ,e [,g,,a] ,,g | \
[,g,,a/] ,e ,,h ,,g [,c,db1] ,b/ ,c | \
[,,d,db3/2] ,,e/ ,b1 [,,b,d{b}/] ,,d |"
27;;11r;[No title];John Wilson;;TH;;C;"[,d,db2] [,de,,b1] [,bd{5}] | [,,ea{,,a}2] [,,db{,a}1] ,,b/ ,,d | \
[,,ed{a}2] y/ ,,e/ ,,d ,,e | [,,b{b}2] y/ ,e/ ,b ,,e | \
[,,d,db1] ,,e ,b [,,b,d{b}/] ,,d |"
28;;11v;[No title];John Wilson;;TH;;C;"[,eeeg2] {a}1 ,,,,,b | [,e,,,c1] [,,e{5}] [,gf{4}] ,e | \
[,dc{,,,a}1] ,,a/ ,,,d [,ea1] ,,,d/ ,,,b | \
[,g,,g{,,,a}1] ,,,,f/ ,,,,d [,g,,e{,,,a}1] ,,,,,g |"
29;;12r;[No title];John Wilson;;TH;;C;"[,eefg2] [,,e{a}/] ,,g ,,e ,,,g | [,eef1] ,,,,g [,egg2] | \
,,,b/ ,,,d ,,,b ,,,,e [,ec,d1] ,,,,,e | \
[,ee,,d1] {a} [,,h,ge] ,,g |"
30;;12v;[No title];John Wilson;ff.13r-144v Songs by John Wilson (Staff);TH;;C;"[,bbbd3] ,,,,c/ ,,,,a | [,dbac2] [,bbbd1] ,d | \
,e1 ,,,,,d [,ed{,,a}] ,d | [,d,d{,,,a}1] ,b/ ,a [,b,b1] [,,d] | \
[,a,d{4}1] ,,,b/ ,,,a [,b,b2] |"
31;;145r;I am confirmd in my beleife;John Wilson;;TH;;C;"[,abacd6] | [,aba{4}6] | {a}2 [,dda] ,,,,d [,db,c] [,ba,a] [,aba,d] | \
[,,aaf{a}3] ,,,a1 [,,bc] [,,de] | [,dff4] ,,,e1 ,,,f | \
[,daa2] {a}3/2 ,,,,,a/ [,,da,c2] |"
32;;145v;Draw neere you Lovers;John Wilson;;TH;;C;"[,cde,c2] [,a,d,e] | [,ca,a2] [,d,,c1] ,f | [,acde2] [,,aaf] | \
[,,a,c1] ,,c [,,dca3/2] ,,,,,e | [,cde,c2] [,,c,,a1] [,,a{a}/] ,,c | \
[,,d,e{,,,a}2] [,acc,a] | \
[,,a,a1] [,,d,,c] [,,c,d{4}2] [,,c,de] [,c,,b] |"
33;;147r;Thou greate and good;John Wilson;;TH;;C;"[bdda2] [,ddd{a}3] ,,,,,a1 [,bdd,b2] | \
{5}2 [,bdd,b] | [,,b,,a1] ,,,c ,,d/ ,,b [,,,d{a}1] [,b,da] [a,,,d] [a,,,b] ,d | \
[,c,ca1] ,,,,,d [,bdd,b2] |"
34;;147v;Rebellious fools that scorne;John Wilson;;TH;;C;"{,,,a}2 [,cdca] | [,dda2] ,,,,e/ ,,,a [,a,c] ,c | \
[,d,e/] ,,,g [,f,h1] [,a,a] ,,d | \
[,,d,e1] [,,c,c] [,,d,e{,,,a}2] [,cdca] [,acc3/2] ,,,a/ |"
35;;148v;Henceforth Farwell to woemankind;John Wilson;;TH;;C;"[,cde,c2] {5} | [,cde,c2] ,,f1 ,,d/ ,,c | [,,d,ec2] {5} | \
[,,d,,c1] [,a,c,e] [,,dca2] | {,,,a}1 [,c,,a] [,a,,,e] [,,d,,c] | \
[,,c,,b1] [,,d,,c] [,adc,a] ,,c [,,d,e{,,,a}4] |"
36;;150r;Were thy Heart soft as thou art faire;John Wilson;"f.151r empty; ff.151v-156v Songs by John Wilson (Staff)";TH;;C;"[,cde,c2] {5} | [,,cde{,a}2] [,acde] | [,,aaf2] [a,,,e1] [,d,,c] | \
[,ca,c2] [,d,,c1] ,,a | [,ccde4] | [,c,,b1] [,e,,c] [,a,,,e] [,,d,a] | \
[,a,,,e1] [,,d,,c] [,cc,,b3/2] {b}/ |"
