PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;The Spanish Pauane;Francis Pilkinton;;OT;Conc_4343;C;"[,,dca/] ,b ,a ,,d X[,acc,a1] ,,,c/ ,a | \
[,acc,a/(] ,,d [,a,c] ,,c [,,dca] ,a ,b [,a,,c] | \
[,,d,d/] [,,aa] [,,bc] [,,dc]"
2;;1v;Pauane Mr Anthony Holborne;Anthony Holborne;;OT;ConcR56;C|;"[aabcc,a3/2] ,,a/ | [aabcc,a/] ,,d [,ab] ,c | \
[caa,c/] ,c/4 a [,da/] ,a | [abd,a/] c [da,c,a] a | \
[ca,bc/] ,,,c [,aacc] ,,,b |"
3;;2r;Fortune Mr Dowland;John Dowland;consort part;OT;ConcR28;C;"[,aa,c1] [,aa/] [,,ee,c] | [,a,,c/] ,,a1 [,ca,,c/] | \
[,da,c/] ,,,a [,cd,a] [,aa,c] | [,cee,c/] ,,,e ,,,,,c1 | \
[,a,,c/4] ,,e ,a ,c ,d a [,ca,,c/] |"
4;;2v;Pauane Lauecha;;Lavecchia Pavan;OT;Conc_4386;C|;"[acd,a/] [acd] | [acd,a3/4] ,d/4 [acd,a/] [acd] | \
[acd,a/] [,ab] [,,de] X[da,c] | [cdda/] ,d/4 a c a c/8 a c d |"
5;;2v;Pauane Mr Phillips;Peter Phillips;;OT;ConcR95;C|;"[,,dca3/2] X,,c/ | [,,dca/] ,a/4 ,b [,aba,d1] | \
[,a,a/] ,,,c ,,,e ,,d | [,adc/] ,,c/4 ,,a [aXac,,a1] | \
X[,cdca1] ,,,,a/ c/4 d |"
6;;3v;Pauane Delight Mr Johnson;John Johnson;;OT;ConcR12;C|;"[,,dca3/4] ,,c/4 ,,d/ ,a [,bdca] ,d/4 ,b [,acc,a/] a | \
[,bdd/] ,,d/4 ,d ,b ,a ,b ,d [,b,d/]"
7;;4r;The galiard to yt;John Johnson;Delight Galliard;OT;Conc_4441;3;",,d/ ,a | [aXbd3/2] ,d/ [aXbd1] | [aaXb1] X[,bdd] [,dd] | \
[aac3/2] ,d/ X[,bd1] | X[,dff3/2] ,f/ [,bd] d | \
[aaXc1] ,,,,,a/ ,d X[,bd,a1] |"
8;;4v;Pauane Lachrimae Mr Dowland;John Dowland;Lachrimae Pavan;OT;Conc_4415;C|;"[aaXb,,a1] ,,,c/ [,da/4] ,b | [,ab,,a/] ,,d [da1] | \
X[,bbcd/] f/4 d X[c,d/] a | [,efec1] z1 | \
[aaXbcc,a1] ,a/ ,,,,,a |"
9;;5r;Galliard Mr Dowland;John Dowland;Lady Rich's Galliard / Dowland's Bells;OT;Conc_4418;3;"[ha,,,a3/2] f/ [ea,,,a1] | X[caa,c3/2] ,,,,a/ [aa,c,e1] | \
[cc,,,c1] f [ea,,,a1] | [caa,c1] ,,,,c2 | [aa,c,a3/2] c/ [ea,,,a1] | \
X[caa,c3/2] h/ [fc,,,c1] |"
10;;5r;Sick Sick and Veary sick;;The Sick Tune;OT;ConcR313;C|;"[aa,c/] a [da,c1] | [,aa,c/] ,a [,da,c1] | \
[aa,c/] a [da,c,a] [f,,,a] | [ca,b/] ,,,,c [aaccca1] | \
[aa/] ,,,c/4 a d/ ,,,,,a/4 d |"
11;;5r;Almayne Dowland;John Dowland;Lady Laiton'ìs Almain;OT;ConcR44;C;",a3/2 [aa,c,a/] ,e/4 a X[caa,c/] [ea,c] [fc,,a] [e,,,c/4] c [a,,,e/] \
[ca,b] [ea,c] [ca,b] [aa,,e] ,,,e [cef,c] ,,,e ,,,,c1 ||"
12;;5v;The Battle Galliard;John Dowland;Battle Galliard / King of Denmark's Galliard / Mr Mildmay's Galliard;OT;Conc_4417;3;"[caa,c1] c c | [caa{a}1] a/ ,e ,c a | [,ea{a}1] ,c/ ,a [,ca,,c1] | \
[,aa,c1] {a}2 | [caa{a}1] h c |"
13;;6r;Browne Besse, Sweete Besse, com ouer to me;;Over the Broom Bessy;OT;ConcR266;3;"[,ab,,d1] a [,db] | [,ab,,d1] ,,,a ,,,,,d | [,aba,d/] ,b/4 ,d a1 [,db] | \
[,ab,,d1] ,,,a/ ,b [,db,,d1] | [,bdca3/2] ,a/ [,,dca1] |"
14;;6v;Almaine Mr Holborne;Anthony Holborne;Night Watch Almain;OT;ConcR1239;C;"a1 | c/ e f1 | [ea,,,a1] [cd] | [aXcd,a3/2] ,d/ | \
[,c,,a/] ,d a1 | [,df1] [,cd] | [,aXcc1] ,,,,,a | \
[,a,c,a1] ,c |"
15;;6v;Away I have forsworne her Company;;;OT;Conc_4438;C;",a/ | [aaccc,a/] a [,ffec] [aabc] | [ca,b/] ,,,,c/4 a ,e ,c [,acc/] | \
[,cdca/4] ,d [a,bc,d] ,,d [aaa,c] ,,,c [,ea] ,,d | \
[aaccc,a3/2] ||"
16;;6v;Galliard Antho: Holborne;Anthony Holborne;Galliard Heigh Ho Holiday;OT;ConcR107;3;"[abd,a1] f/ ,,,,c ,,,,d ,,,a | [db,c/] ,,,,d a ,,,a ,,,c ,,,e | \
[,dff/] ,a a ,,,c [ff,d] ,d | [ca,c1] a/ ,,,,,a ,,,c a |"
17;;6v;Mr Holbornes Playfellow;Anthony Holborne;Playfellow Jig;OT;ConcR240;3;"a1 | X[,cd3/2] ,d/ a1 | [,da3/2] ,,c/ X[,cd1] | [,acc3/2] ,,a/ [,acc1] | \
[,,d,e3/2] ,,,a/ [,,cc1] | [,,aa3/2] ,,c/ [a,d,e1] | \
[,da,c3/2] ,,c/ X[,cd,a1] |"
18;;7r;Pauane Alphonso Ferrabosco;Alfonso Ferrabosco;;OT;ConcR2664;C|;"X[ccde,c3/2] ,a/ | ,c/ ,,d [cdd,,c1] | [add,a/] ,c ,c1 | \
[,d,ec/] ,,f ,,f1 | [ccfe,c1] ,,e/ ,,c | [ccee,c1] [f,de/] ,a |"
19;;7r;Nowells Delighte;;Sir Edward Noel's Delight;OT;ConcR1006;C;",a/ | [a,,,,a/] ,a [aa,c] c | [ea,c,a1] X[caa,c] | \
[a,,,,a/] ,a [,a{a}/4] ,,d ,,c ,,a | X,,,c1 ,,,,,a || ,c/ | \
[cca/4] c c c c/ ,c |"
20;;7r;Galliard Dowlande;John Dowland;Earl of Derby's Galliard;OT;ConcR308;3;"a/ e f | X[ha,,,a3/2] a/ e f | X[ha,,,a3/2] h/ c a | \
X[ha,,,a1] [f,aa] [c,,,,a] | \
X[caa,c1] [cce,,c/] X[cdf,c3/4] f/4 [ca,,,a/] |"
21;;7v;Galliard. Daniell Bacheler;Daniel Bacheler;To Plead My Faith Galliard;OT;ConcR74;3;"X[ffg,a1] [dbb,d] X[bdd] | [a,dca3/2] a/ [da,a,d1] | \
[if,ha1] [ff,d] ,d/ f | [ef,c1] ,,,,,a2 | \
[afg1] d3/4 ,,f/4 ,,g/ [ffd] |"
22a;;7v;Pauane Mr Wm Birde;William Byrd arr.;N° 3;OT;;C;"[aXbb,d1] ,b/ ,,b [a,d,d] ,b [a,b,d] ,a | \
X[b,da/] ,d ,,d [a,,,d] [,d,,c] ,,c/4 ,,a X[,acc/] | \
[,bdca/] ,,d [ab] [,ab]"
22b;;7v;[Bass];;;Staff;;;
23;;8r;The Galiard Mr Birde;William Byrd arr.;;OT;ConcR274;3;",d/ a X[bdda1] X[acd,a] | [,dda/] ,,,c [,dddf1] X[,c,ca] | \
[,dda/] a/4 b [d,bc/] X,c X[bdda1] | X[acd3/2] ,,b/ [fd,d1] |"
24;;8r;Watkins ale;;;OT;ConcR65;none;"a/ | [fc,,a1] [ea,c/] | [fc,,a1] [a,d,e/] X[c,da1] | \
[a,d,e/] [c,de1] [,cde/] | [,d,,c1] [,cde/] | [,da,c1] [,,de/] | \
,,,a/ [,adc] X,,c | [,,dca2] ||"
25;;8v;The Medley Mr Johnson;John Johnson;The Old Medley;OT;ConcR37;C;"[abdca2] [aXbdca1] [aXbdca] | [aad,,a3/4] ,,d/4 ,,c/ ,,a [aaXc,,a1] [aXbd,a] | \
[b,da/] a [abb,d1] [,dg,,d/] ,,f/4 ,,d ,,g/ ,,f |"
26;;9r;The Maye Galliard Mr Collard;Edward Collard;;OT;ConcR306;3;"[aa,c1] [abd] X[cbd] | [dab3/4] ,,,d/4 ,,,c/ [b,,a] [ab,,d] ,d | \
X[,bdd1] X[bb,a] X,a | [aXbb,d3/2] ,a/ ,,d ,,b | \
[a,d,d1] [,dd,c] ,,c/ a |"
27;;9v;Paradizo Mr Antho: Holborne;Anthony Holborne;Countess of Pembroke's Paradise Pavan;OT;ConcR346;C|;"[fgc,ca1] ,f/ Xe | X[c,d,a/] ,d [ac] [,ac] | [,,dca/] ,d [,d,c] ,,,a | \
[,ddca/] ,c/4 ,a [ac/] ,,a | [aacc/] ,,d ,a ,,,a |"
28;;9v;Galiard Daniell Bacheler;Daniel Bacheler;;OT;ConcR283;3;"[abb,d3/4] [c,,a/4] [ea,c/] [f,dd] [,,fc] Xe | \
[fcd,a3/4] ,,,,c/4 ,,,,d/ ,,,,a [ab,,d] c | \
[dab,,d3/4] d/4 [b,,,a/] a [ff,d] ,d | X[eff,,a3] |"
29;;9v;As I went to Wallsingam Mr Collard;Edward Collard;Walsingham;OT;ConcR87;3;"b/ d [fg,d1] [dfg,d] | [bbdd1] X[,de] X[,bd] | \
[,gdd/] [d,e] [f,g] ,,d [,,,fd] X,f | \
[bbd,,b1] ,,,d/ ,,e X,b ,d |"
30;;10v;A Treble;;John Come Kiss me Now, duet treble;OT;Conc_1759;C;"[aa,,,a3/4] c/4 [ea,,,a/] [ea] | [fih,a1] [fih/] ,,,,a | \
[eff,,a3/4] f/4 [eff,,a/] a | X[caa,c3/4] a/4 [caa,c/] [caa] | \
[aa,,,a3/4] c/4 [ea,,,a/] [ea] |"
31;;11v;Trenchmore;John Johnson;duet ground and treble;OT;Conc_4454;3/2;"[,,dca1] ,,,c/ [,,dca1] ,,,c/ [,,dca1] ,,,c/ [,,dca1] ,,,c/ | \
X[,,cc,a1] ,,,c/ X[,,cc,a1] ,,,c/ X[,,cc,a1] ,,,c/ \
X[,,cc,a1] ,,,c/ ||"
32;;12v;Fantazia Alphonso Ferrabosco;;;OT;ConcR223;C|;"X,,d2 | ,,d1 X,,c/ ,,a | X,,c1 ,,d | [a,,c3/4] ,,a/4 X,,b/ ,,d | \
[a,b/] ,,d [,df] ,c | ,d/ ,,d [a,c] ,,a/4 ,,c |"
33;;13r;[The New Hunt's Up];John Johnson;duet treble;OT;ConcR279;3;"X,a1 | Xa3/2 ,e/ ,f/4 ,e ,c ,e | ,f2 ,a1 | Xa3/2 ,e/4 ,c ,e a c ,e | \
Xa3/2 c/ Xe1 |"
34;;14r;Galliard;Johnson;Lord Burgh's Galliard / Johnson's Jewel Galliard;OT;ConcR108;3;"X[ffg,a1] [f,f,,a] Xe | X[ffg,a3/2] d/ [b,da1] | \
[aabc3/2] [a,dd/] ,d1 | [aXac,,a1] [aac2] | [,acc1] [,bd,d] [,dc,c/] a | \
X[b,d,a3/2] a/ [,d,a] ,b |"
35;;14v;Semper dolens;John Dowland;Semper Dowland semper Dolens;OT;Conc_4439;C;"X[,cee2] X[,cee1] [,dXf] | ,,,e/ [,df] [,ce] [,ac] [,cd] ,,,e [,,cd] [,,aXb] | \
[,ccd1] [,,eeec/] ,d/4 ,f [,df,ec/] ,f [,df] X,,d |"
36;;14v;Mounsieurs Almane;Daniel Bacheler;Duet part;OT;ConcR48;C;"[aaXcc2] ,,,b1 ,,,,e | X[caabc2] X[caa1] ,,,,a | [aa,,,e1] ,,,c ,,,,,c/ ,,,c [,,aXb1] | \
[aaXc,,a1] ,,,c ,,,,,a2 | X[e,,,,a/] f h1 X[fh] X[ef] |"
37;;15v;Galliard sett forth by J: R;J. R.;;OT;;3;"[,aa,c3/4] ,c/4 ,d/ X[,c,,a] [,a,,,d] Xa | \
[cce,,c1] ,,,e/ ,,f [ccXe1] | \
[fdaa3/4] d/4 Xc/ [ddf,,d] [add,a] X,c [,daa1] {d}2 |"
38;;15v;My Lady Mildemays delighte;Robert Johnson;Galliard, My Lady Mildmay's Delight;OT;ConcR374;3;"[aabc3/4] Xc/4 d/ ,,,a [f,,,d1] | \
[haa{a}3/2] f/ [da,c,a1] | [ccd,,c3/4] e/4 f/ {e} [da,c,a1] | \
X[ca,,c1] {a}2 | X[ca,,c1] [da,c] X[f,,a] |"
39;;16v;Pauane;Mathias Mason;;OT;Conc_4411;3;"[hi,g,a1] X,e/ f X[ec] X,a X,,c [ce,,,c/4] X,c | \
[,a,c,e/] a [,accca3/4] ,c/4 [,ea,c3/4] a/4 Xc/ ,,,,a | \
[,a,c,e/] a [c,d,,c/4] e f/"
