PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Ahi bella liberta;Alessandro Romano;;OT;;none;"[,dff,d1] [,dff,d/] [,ddef] [,dfec/4] [,bbcd/] [,bdca/4] \
[,aabc/] [,abc,a] [,aaac/4] [,aba] [,bdca/] [,,fffd] \
[,dff] [,dff,d3/4] [,dff/4] [,dff/] [,dfec] [,,bcd3/4] \
,,,,d/4 [,,bcd/]";italian7tab
2;;2;Pur mi consola;Alessandro Romano;;OT;;none;",,,c/ ,,b [,abc] [a,bc] [daab] [ca] [aabc] ,,b [,cd] \
[,abc/4] ,c [,dde] ,c [aab] c/8 d f d c a [,ede/]";italian7tab
3;;3;Gl'occhi inuaghiro all'hor;Alessandro Romano;;OT;;none;"[,abc/] [,abc/4] [,aa,c] [,,def/] [,,bc/4] [,,abc/] [,ab,,d/4] \
[,ab,,d] [,,def] [,,bc,a] ,,,,,c ,,,,,d ,,,,a [,,abc/] \
[,,ff,d/4] ,d [,ddef] [,dffc] [,fdfd] [,ddef] [,aba,d]";italian7tab
4;;3;Ne mi lece ascoltar;Alessandro Romano;;OT;;none;"[,efec1] [,efec/] [aabc3/4] [a,bc/4] [acbc/] [cdda3/4] [cdd/4] \
[acd] [cd,a/8] a [,dff/4] [aa,c/8] ,d [,cfe/16] ,,e \
,,f ,,e ,,f ,,e ,,c ,,e";italian7tab
5;;5;Pur mi consola;Alessandro Romano;;OT;;none;",,,c/ ,,b [,abc] [a,bc] [daab] [ca] [aabc] ,,b [,cd] \
[,abc/4] ,c [,dde] ,c [aab] c/8 d f d c a [,ede/]";italian7tab
6;;6;Com'haura fin'Amore;Vincentio Ruffo;;OT;;none;"[ca,,c1] [ca,,c] [da,c] [cd,a3/4] a/4 [,dff/] a [a,de/4] \
,e/8 ,c ,e/ [aa,c1] z/ [h,i,kh/] [hf,fh] [hhaa] [hd,f] \
,f [f,de] ,e [df,c] ,,,,,a";italian7tab
7;;7;Ahi chi mi da consiglio;Alessandro Romano;;OT;;none;"[,,bc3/4] [,,dc/4] [ddff3/4] [fh/4] [hd,f,d3/4] f/8 d \
[cdda/] [fhia/4] h/8 f [dffc/] [cdf,c/4] [d,d/8] c \
[abb,d3/8] ,a/8 [,,be/4] [,,dc] [,efec/] [aabc] [aabc]";italian7tab
8a;;9;Baciami uita mia;Ferabosco;;OT;;3/2;"[ccee3/4] [ccee/4] [ccee/] [cdf,c3/4] [cdf,c/4] [cdf,c/] \
[cdda1] [acd,a/] [,dfec1] [,cee,c/] \
M:C
[,ddef1] [,cbc,a/] [,da,ac] [,a,,cd/4] ,,,a ,,,c/ \
[,,eeec1] z/ [,cee,c/] [,dfec] [aacc]";italian7tab
8b;;10;Basciami mille volt'e mille anchora;;;OT;;none;"z1 [,efec3/2] [,efec/] [,efec1] [aab,,a] [caa,c] [da,c,a/4] ,,,b \
,,,c ,,a ,,b ,,a ,,b ,,d [ca,ac1] [,df] [acd] [ccd,a] [cd,,c] \
[ac,,e] [c,aa]";italian7tab
9;;11;Mordimi questa lingua;Giovanni del Carcolaio;;OT;;none;"[cd,a3/8] [cd,a/8] [cd,a/4] [acd/] [cda/4] [dd,c/16] \
,c ,d ,c ,d ,c ,a ,c [cd,a/4] [,ddef3/8] [,ddef/8] [,ddef/4] \
[,dff,d] [,cdca] [,ddac/16] ,,c ,,d ,,c";italian7tab
