PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1a;;1;Toccata;M. Galilei;;OT;ConcR681;C;"[,aaac{9}4] | \
[,daac{9}2] [ac] | \
[cdaac4] | \
[cca,b2] [aca,b] | \
[,da,c1] ,,c [,cdce2] | \
[,cda2] [,ac1] ,,a | \
[,cdee2] [,,cd1] [,,ab] | \
[,ccde1] ,,,,c [cca,b2] | \
[cdc,c2] [ccd,e1] b |"
1b;;2;Seconda parte;M. Galilei;;OT;;C;"[,aaac{9}4] | \
[,daac{9}2] [haaaf{9}] | \
[caaac{9}2] ,c/ ,d/4 ,c ,d ,c ,a ,c | \
,d1 {9}/ a c/4 a c a c a ,d a |"
1c;;3;Terza Parte;M. Galilei;;OT;;C;"[,aaac2] {9}1 ,c | \
[,daac2] {9}1 a | \
[caaac3/2] a/ c1 e | \
[fac2] [ccde] | \
[ccde,c3] a/ ,d | \
,c1 ,a ,,d ,,c |"
2;;4;Gagliarda;M. Galilei;;OT;;3;",c1 ,a [,cd2] [,df] | \
[,cee2] ,,,,,c1 ,,f ,,e2 | \
[h,,a{9}2] [ff{8}3] e1 | \
[cda{a}3] c1 [da,,,a] ,c | \
[cd,,,c2] [cd,,,d] [ac,,a] | \
[,da{a}3] f1 [a,d] c |"
3;;5;Gagliarda;M. Galilei;;OT;;3;"c2 | \
[ca2] ,,c1 ,,e ,a2 | \
[c,a2] [a,c] [,ce] | \
[,df2] ,,,e1 ,d ,c ,,f | \
[,cee2] ,,,,,c ,,,e | \
[cce3] a1 ,d ,c |
"
4;;6;Corrente;M. Galilei;;OT;ConcR1162;3;",a1 | \
[,af3/2] ,,e/ ,,f1 | \
,c1 ,,e c | \
[,df1] ,,d [e,c] | \
[f,a3/2] ,,,c/ ,,,a ,,,,e | \
[,,aa1] h f | \
[e,,,e1] ,h [,g,g] |"
5;;7;Volte;M. Galilei;;OT;;3;",,a1 | \
[,aaa{9}3/2] ,c/ ,a1 | \
c3/2 e/ f c | \
[h,,f{9}1] ,,,e [fd] | \
[df{9}3/2] c/ d a | \
[c,,,e1] ,d [ac] | \
[,df{9}3/2] ,c/ ,d a |"
6;;7;Sarab 1;M. Galilei;;OT;;3;"[,abc2] ,,,,,a1 | \
[,abc2] ,,,,a1 | \
[,bdc1] ,a {a} | \
[,,da2] ,,,,,d1 | \
[,ab1] ,,,,a ,,,,c | \
,,,,d1 ,,b ,,,,c | \
,,,,a1 ,,d3/4 ,a/4 ,,b1 |"
7;;7;Sarab 2;M. Galilei;;OT;;3;"[aabc1] [aab] [,da] [,ab] | \
[,b,c1] ,,a/ ,d [,ab1] ,,,c/ ,b | \
[,d,,c1] [,a,,,a] [,b,,a] [,a,,,d] | \
[,,d{a}3/2] ,,a/4 ,,b ,,,,,d1 ||"
8;;8;Toccata;M. Galilei;;OT;;C;"[,,dca{10}2] [,ac] | \
[,cdca2] [,df] | \
[acd,a2] [cd1] d | \
[add,a2] ,c1 ,a | \
[,cdc{10}3/2] ,a/ ,c ,a ,c ,,d | \
[,ad,,a2] ,,c1 ,,a |"
