PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;5;La Barera;;;OT;ConcR1092;C;"[cd,a/4] c c c [d,a/] [f,,,a] | \
[cd,a1] ,d | [cd,a/4] c c c [cd,a/] [f,,,a] | \
[cd,a1] [cd,a/] [acd,a] | [cd,a/] a/4 ,d [,cd,a1] |";italian7tab
2;;6-1;Laura Gentile;;;OT;ConcR1890;C;"[bb,d1] [bb,d/] b | [bb,d1] ,,,d/ [f,,d] | \
[d,,c/] [b,,a] [a,,,d] [,d,,c] | \
[ab,,d1] ,,,,d/ ,d | [d,,,d3/4] b/4 a b d a |";italian7tab
3;;3;Brando Gentile;;;OT;ConcR1904;3;"f/4 c | [cd,a3/4] a/4 c/ | [c,,,c3/4] a/4 ,d/ \
M:C
[,cd,a1] ,,d/ ,a/4 ,c | \
M:3
[,dda3/4] a/4 c/ | [c,,,c3/4] a/4 ,d/ |";italian7tab
4;;4;Lauinia Gagliarda;;;OT;ConcR525;3;"[fd,a1] [fd,a] [da,c] | [cd,a2] ,d1 | [fd,a1] [fd,a] [da,c] | \
[cd,a2] ,d1 | [fd,a2] [d,,c1] | [cd,a3/2] a/ [,d,a1] | \
[acd,a3/2] [,da/] [,c,c1] | [,dda2] ,,,,,,a1 :||:";italian7tab
5;;1;La Cortesia;;;OT;ConcR1891;C;"[,da,c3/4] ,c/4 [,d,,c/] [acd,a] | \
[cd,a1] ,d/ f | [da,c/] c [acd,a/4] c d a | \
[cd,a1] [,dda,,a] :||:";italian7tab
6;;2;Il Spagnoletto;;;OT;Conc_4501;C;"[,aa,c/] | [,da,c/] ,c/4 ,d [acd,a/] ,d/4 a | \
[cd,a/] c ,d [c,,a] | [a,,,e/] [,d,,c] [ac,,a] ,c | \
[,dda,,a1] :||:";italian7tab
7;;2;Il Villanico;;;OT;ConcR1903;C;",d/4 a | [cd,a/] c [a,,,e] [,d,,c] | \
[,cd,a3/4] ,a/4 ,,d/ [,,d,,c] | [,a,,,d/] [,c,,a] [,d,,c] ,a | \
[,cd,a1] ,,d/ ,d/4 a |";italian7tab
8;;2;Il Cesarino;;;OT;ConcR1906;3;",a/4 ,c | [,da,c3/4] ,c/4 ,d/ | [a,,,e3/4] ,d/4 a/ | \
[cd,a/] ,,,,,,a f/4 d | [c,,a3/4] d/4 c/ | \
[a,,,e3/4] c/4 a/ | [,ea,c/] ,a :||:";italian7tab
9;;6-2;So ben mi chi ha ben tempo. Aria D'Horatio Vecchi, Da Modona;;;OT;ConcR956;C;",,d/ | [,,d,a/] [,a,,,e] [,b,,a] [,d,,,c] | \
[aac,,a1] ,,,c/ ,,d | [,,d,a/] [,a,,,e] [,b,,a] [,d,,,c] | \
[aac,,a1] ,,,c/ c | [d,,c1] [f,,a] |";italian7tab
10;;7;La Massareta In Tenori;;;OT;;C;"[aabc/] | [aabc,a/] [cabc] [dabc,a] [f,,,a] | \
[ca,bc1] ,,,b/ [caa/4] [h,,,,a] | [f,,,a/] [d,,,,a] [ca,bc] a | \
[aa,c,a1] ,,,c/ [aac] :||:";italian7tab
11;;7;La Massareta In Contralti;;;OT;;C;"[,c,a/] | [,daa,,a/] [a,,a] [bdd,,,a] [d,,a] | \
[acd,a/] ,,,c [acd] :||: [f,,,,,a] | \
[d,,,,a/] [b,,,,b] [a,,,,d/4] ,d [a,,,a] ,c | \
[,d,,,,a1] ,,,a/ c/4 a |";italian7tab
12;;9;Nizarda;;;OT;ConcR1912;3;"[,d,a/] a | [cd,c3/2] a/ c1 | [da,c3/2] f/ d1 | \
[cd,a1] ,,,,,,a [,dda/] a | [cd,a3/2] a/ c1 | \
[da,c3/2] f/ d1 | [cd,a1] ,,,,,,a :||:";italian7tab
13;;9;Galleria d'Amor;;;OT;ConcR1892;C;"[,,d,a3/4] ,a/4 ,c ,a ,c ,d | [aac,,a1] a/ f/4 d | \
[cd,a/] [aa,c] [aaa,c] ,e | [aac,,a1] ,,,c/ :||:";italian7tab
14;;10-1;Tedesca, Leggiadra Gioiosa;;;OT;ConcR1911;C;"f/ | [f,,a3/4] d/4 [c,,a1] a/4 ,d | [,cd,a3/4] ,a/4 ,,d/ f | \
[f,,a/] f [h,,f] [f,,e] | [da,c1] [a,,,d/4] c d a |";italian7tab
