PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;G dur;6;Prelude;D.Gaultier;;;Conc_1105;none;"(,,,c ,,a [,,'c] ,,,c) ,a ,,,,a ,,,,,d [,,,,,'c] ,a \
{a} c e g ,,,,f [h,a] ,,,,e [d,,,f] {a} ,,,g ,,e V,,f e"
2;G dur;8;"Pavanne ou
 tombeau de Mr Racquette";D.Gaultier;;;Conc_1106;C;"[,acc{a}2] [,aaee{,,,a}1] ,,,,e3/4 ,,d/4 | \
[,,'cc/] {a} ,,c3/4 [,,d,,a/4] [,a,,,(c/] ,,,,a \
,,,c3/4 [,a,,y)/4] | \
[,c,,,(d3/4] ,e/4 [c,,y)3/4] [,,,,,'c/4] \
[c,d,,a1] ,e3/4 [c{a}/4] | \
[e{,a}/] ,a g3/4 e/4 [g{,,a}/] ,f h ,e | "
3;G dur;12;Courante;D.Gaultier;;;Conc_196;3;",a1 | \
[,ac(c{a}3/2] ,c/ [,'a] ,,d | \
[,,'cc)3/2] (,,d/ ,a ,,a) | \
,,c/ ,a {a}1 ,,,c/ ,a | \
[,acc2] ,/ c/ | \
[c{,,a}1] [,c,,c] [e,,,,e3/4] c/4 | "
4;G dur;13;Double;D.Gaultier;;;Conc_197;3;",a1 | \
[,a(cc{a}3/2] ,c/ [,'a] [,,d)] | \
[,,'cc/] ,,d ,a ,,,,a ,,,,c ,,,,e | \
[,a,c(y/] ,,,e [,,,'c] ,a ,,c [,,d,y)] | \
,a/ {a} c e g ,,,,a | "
5;G dur;16;Courante;D.Gaultier;;;Conc_769;3;",a1 | \
[,a{a}/] ,a [,ac(c3/2] [,c,y)/] | \
[,c,e(e1] [,'a3/2] [,,dy)/] | \
[,,'cc1] {a}/ ,a [,c{,a}] ,e | \
[c{,,a}1] ,c [e,e/] c | \
[,ef{,,,a}1] ,,,,a3/2 ,,,,,d/ | "
6;G dur;17;Double;D.Gaultier;;;Conc_3720;3;",a1 | \
[,a{a}/] ,a [,ac(c3/2] [,cy)/] | \
[,c,e(e1] [,'a3/2] [,,d)/] | \
[,,'cc1] {a}/ ,a [,c{,a}] ,e | \
([c{,,a}/] e 'c ,c [e),(e3/4] [cy)/4] | "
7;G dur;20;Courante;D.Gaultier;;;Conc_203;3;",a/ ,,d ,a | \
[,,('c1] [,,,c)] ,,a/ ,,,b | \
(,,,c/ ,,c) [,,'a,a3/2] ,,,b/ | \
V[,,,c1] [,,,,(c/] ,,a [,,cy)] ,,,,a | \
[,,d,,d1] [,a,c,c3/2] ,a/ | "
8;G dur;22;Courante;D.Gaultier;;;Conc_201;3;",a/ ,c ,e | \
[c,,c1] ,,,,c [e,,,e] | \
[,a,c1] ,,a ,,c/ ,a | \
[,c(d3/2] [,c)/] [,'a{a}] ,,d | \
[,a,,,c1] ,,c [,,a,,e/] ,,,c | \
[,,,'ba1] {,,,a}/ ,,,c [,,,'b] ,,,,,d | "
9;G dur;23;Double;D.Gaultier;;;Conc_202;3;",a/ ,c ,e | \
[c,,c1] ,,,,c [e,,,e] | \
[,a,(c/] ,c [,'a] ,,a [,,c)] ,a | \
(,,d/ ,c) [,,'c] ,,a ,,,c ,,,a | \
(,,,,c/ ,,d [,,'c]) ,,,,a [,,a,,e] ,,,c | "
10;G dur;26;Courante;D.Gaultier;;;Conc_198;3;",a/ ,,d | \
[,,'c3/2] (,,,c/ ,,a ,,c) | \
[,,'a{,,,a}3/2] ,,,c/ [,,,'ba1] | \
[,,,(ca{a}3/2] ,,a/ ,,c [,,,c)] | \
,a3/2 ,,,,,a/ ,,,,,c ,a | \
[,c,,,(d1] [,,,cy)] (,,,e/ ,c) | "
11;G dur;27;Double;D.Gaultier;;;Conc_200;3;",a/ ,,d | \
[,,'c/] ,,a ,,c (,,,c ,,a ,,c) | \
[,,'a,a/] ,,,,,d ,,,,,c ,,,c ,,,,,a ,,,b | \
V,,,c/ {a} (,,,c ,,a ,,c ,,d) | \
,a/ ,,,,a ,a ,,,,,d [,,,,,'c] ,a | "
12;G dur;30;Gigue;D.Gaultier;;;Conc_770;C;",a1 | \
[,acc{a}3/2] (,,d/4 ,a ,c/) ,,,c [,a,,e3/4] ,,d/4 | \
[,,'cc/] {a}1 ,,,,e/ ([,,,,'c] ,,c ,,,c3/4 ,,d/4) | \
[,,dba1] [,,'cc{a}/] ,,,e/4 ,,c ,,,e/ {,,,a} e ,e | "
13;G dur;32;Sarabande;D.Gaultier;;;Conc_1107;3;"{a}3/2 ,,,,a/ c1 | \
[,'e{,,,a}3/2] c/ {,,a}1 | \
[,c,,c1] [,a,ee3/2] ,,d/ | \
[,,'cc3/2] ,a/ ,,,,,c1 | \
[,,d,,a1] ,,,,e [,,c{a}] | \
[,,'a{,,,a}1] ,,,,a [,,,'b] | \
[,,,cc1] ,,,,,d3/2 ,,,e/ | "
14;G dur;36;Prelude;D.Gaultier;;;Conc_1108;none;"{a} ,,,c ,,c ,a ,a ,,c ,a {,a} ,,,,e ,a V,,,e V,,d ,a \
{a} ,,c ,,,c ,a {,a} {,,a} ,c [,,'c] ,,,c ,,d"
