PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;M4r;Ich klag den tag;;;OT;ConcR806;C;"[d,b2] d1 ,,b | [c,,a2] [c,,a] | [d,b2] [d,b1] [c,,a] | \
[a,,c2] [a,,,d] | H[,d,a] | z2 [,d,a] | [,b,,a2] [,b,,d] | \
H[,a,,,d] | z2 [,ab] |";germantab
2;;M4r;Pacientia;;;OT;Conc_1052;C;"[,a,c2] [,a,c1] [,b,,a] | [,a,c2] [,b,,a] | [,a,c2] ,a1 ,,,c | \
[,d,a/] ,b ,d ,a [,b,,a2] | H[,a,c2] | z2 [a,,,d] | H[,db] |";germantab
3;;M4v;Nach willen dein;;;OT;ConcR2077;C;"[,,b,,d2] ,,b1 ,,,,,d | [,ab/] ,,a ,,b ,,d [,a,c1] ,b | \
[,df/] ,b ,d a [c,d1] [d,b] | [,df2] [a,d/4] ,d ,c ,a ,d/ ,c |";germantab
4;;N1r;Trostilicher lieb;;;OT;;C;",,,c |: [a,,c2] [a,,c/] ,d ,b ,a | [,b,,a/] ,a ,b ,d ,b1 ,,d | \
[,db/] ,,a ,,b/4 ,,a ,,b ,,d [,db2] |";germantab
5;;N2r;Der heilig herr S. Matheis schleust uns auff dy thür;;;OT;;C;"[a,,c,a2] |: [a,,c,a/] ,,a ,,b ,,d [a,b,,a] ,,,,,c ,,,,,d ,,,,a | \
[,da,c1] ,,b [,c,ca/] ,,,a ,,,c ,,a | \
[,ab,,d1] [a,,,,a] [c,a,c/] a [a,,,c] ,e |";germantab
6;;N2v;Willig und trew [ich mich ergib];;;OT;ConcR2594;C;",d2 ,d/ ,c ,d a | [,df2] [a,d/] ,,b ,,a ,,,c | \
[c,,a1] ,d/ a c d c1 | [,,,ac/] c a ,d";germantab
7;;N3r;Gesell wiß urlawb;;;OT;;C;"[a,d,a2] |: [a,d,a/] c d a [c,aa] d c [a,b] | \
[,cd,a1] [,d,ac] [,,,ca/4] ,d ,c ,a ,d/ ,c |";germantab
8;;N3v;Es sout ein meskin holen win;;;OT;;C;",,b2 ,,b/ ,,,d ,,,c ,,,a | [d,,c1] ,,,,d ,,b d | \
[a,b,d/] ,d a b d1 [d,,,d] | ,b1 [,,b,c] [,b,ca] ,,a |";germantab
9;;N4v;Ich habs gewagt;;;OT;;C;"[db,,d2] [db,,d/] b a ,d | [ab/] ,a ,,d/4 ,a ,b ,d [ab,,d/] ,,,a ,,,c ,,,d | \
[,db1] [d,,c] [,,da/4] d c a d/ c |";germantab
10;;O1r;Ich schwing mein horn;;;OT;ConcR2595;C;"[d,b,,d2] [dab1] [dab] | [c,da/] a ,d/4 a c d [c,aa1] [a,b,d/4] ,,a ,,b ,,d | \
[a,b,d/] [,daa] [,d,ac1]";germantab
11;;O1v;Jay le desyr content;;;OT;;C;"[,dda2] [,a,a,d1] [,d,ac] | [,b,ca/4] ,a ,,d ,,b ,,a ,,,c ,,b ,,a [,ab,,d/] ,,,,a ,,,,,d ,,,,,c | \
[,ab,,d/] ,b ,d ,a";germantab
12;;O2v;O felici;;;OT;;C;"[,d,a,d2] [,d,ac/] ,b ,d ,a | [,b,ca1] [,ab,,d] [,da/] ,b ,,d/4 ,,b ,,d ,,a | \
[,ab,,d1] [,,d,a/] ,b [,,aac1] [,,bc,d] |";germantab
13;;O3v;Le dur travil;;;OT;;C;"[da,,,d2] [da,,,d/] ,,,,a ,,,,c ,,,,d | [c,da1] [d,bc] ,a [c,aa] | \
[a,bc/4] ,d ,c ,a ,d/ ,c [,da,c1] ,a | \
[,,aa1] ,d [ab,,d] [c,,,a] |";germantab
14;;O4v;Ce nest a vous;;;OT;;C;"[,db,,d2] [,daa1] [,daa] | [a,b,d/] [,d,,c] [a,,,a] c [da,,,d] ,,d ,a ,b | \
,a1 [ddb] [,,de] [,d,a] | [d,bc/] ,,d ,a ,b";germantab
15;;P1v;Laß me fault;;;OT;;C;"[aa,c2] [aa,c1] [,,aa] | [a,b,d/] ,,,a ,,,,d ,,,,c [a,d,a/4] ,d ,c ,a ,d/ ,c | \
[,da,c/] ,,,,a ,,,,c ,,,,d ,,,a1 [,da] |";germantab
16;;P2r;Hors de Plaisir;;;OT;;C;"[,aa,c/] ,,,,a ,,,,c ,,,,d ,,,,c ,,,,a ,,,,,d ,,,,,c | \
[,db,,d/] ,,a ,,b/4 ,,a ,,,c ,,,a [a,,cd1] d | \
[,,,cd/] d [c,d] a |";germantab
17;;P2v;Ce me semblent;;;OT;;C;"[,daa2] [a,b,d1] [c,d,a] | [da,,,d/] ,,,,,c ,,,,,d ,,,,a ,,,,c1 [d,b,d] | \
[ab1] [ca,a] [d,,c] ,b/4 ,a ,,d ,,b | [c,da1] ,,a [,ab] [abd] |";germantab
18;;P3v;Une sans plus;;;OT;;C;",,d2 ,b1 ,b | [a,d1] ,b [da] ,b/4 ,a ,,d ,,b | \
[a,d1] [d,b] c [a,bc] | [,dff/] ,b ,a ,,d [,,bc1] [,daf] |";germantab
19;;P4r;Il est cellui;;;OT;;C;"[,daa2] [,daa/] a c ,d | [a,b,d/] ,,,a ,,,,d ,,,,c [a,d,a/4] ,d ,c ,a ,d/ ,c | \
[,da,c/] ,,,,a ,,,,c ,,,,d";germantab
20;;Q1r;Sans Ceser je lamente;;;OT;;C;",a2 [,a,,c/] ,,,,a ,,,,c ,,,,d | [,df,c/] ,c ,d a [ca,,c1] d/ ,,,,d | \
[ca,,c1] [d,,c] f/ d [c,a] a |";germantab
21;;Q2r;Celle qui fut;;;OT;;C;"[,bb,d/] ,a ,b ,d [a,b,d] [,d,,c] [a,,,d] [c,,a] | \
[da,c1] [f,g,a] [ea,c/] a c/4 a c e | \
[f,d,a/] d [c,da] a [c,da1] [c,da] |";germantab
22;;Q2v;Venons aux poinct;;;OT;;C;",,,c2 [,,,cd/] ,,,a [,,,ca] ,,a | [a,bc/] [,da] [a,b] [c,d] [da,c] [c,,a] [a,,c] [,da] | \
[a,b,d1] [a,d,a] [,da,c/] ,,,,a ,,,,c ,,,,d |";germantab
23;;Q3v;Plus nay espoir;;;OT;;C;"[,aa,c2] [,aa,c/] ,,,,d ,,,a ,,,c | [,da,c/] ,c ,d [a,b] [c,d,a1] a | \
[,,a,c/4] a ,e ,c a/ ,e [a,,c,a] ,,a ,,b/4 ,,a ,,b ,,d |";germantab
