PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Tastegiata;;;OT;;C;"[cdda1] {a}/ Xf [fdde] ,,,a {a} Xlk | \
[lla{14}1] ,,,a/ f [fd,e] ,,,a [ff,,e] ,,,,a | \
[fh,a2] {a}/ l k ,l |";italian7tab
2;;1;Tastegiata;;;OT;;C;"[cdda1] {a}/ ,,d ,a [,c,c] [,da] [a,b] | \
[c,d{a}/] [da] [c,d] [a,b] [,da{a}] ,,,,,,a [,dd,,c] {a} | \
[,df,,d1] ,a/ ,,,,,c [da,,,a] ,c [,cd,,c] ,,,,a |";italian7tab
3a;;2;Galliarda;;;OT;;3;"[ll{a}1] i [hi{11}2] [ff{10}1] d | \
[cd{14}2] [ac{13}1] ,a [,,d{12}] ,d | \
[,db{11}1] ,,a [,d,c{10}] ,,,a [,c,c2] | \
[,d,a{14}2] f1 ,h [df{13}] a |";italian7tab
3b;;2;La sua Spezata;;;OT;;3;"[l{a}/] i l i [h{11}1] i/ h [,l{10}] ,i ,l ,i | \
[,h{14}1] a/ ,d [,c{13}] ,a ,c ,a [,,d{12}1] ,d |";italian7tab
4a;;3;Corrente;;;OT;;3;"f/ d | [c{a}1] ,d [cb] | [da{11}1] c [ac{10}] | \
[cd{14}2] {13}1 | {12}1 l i | [h{11}1] [,il] [,hi] | \
[,fh{10}1] {11} [,hk{12}] |";italian7tab
4b;;3;La sua Spezata;;;OT;;3;"f/ d | [c{a}/] a ,d a c ,b | {11}/ ,a d c [a{10}] ,c | \
{14}/ ,d c ,,d {13} ,,b |";italian7tab
5a;;4;Corente;;;OT;;3;",,d1 | [,,a{a}1] X,,,,f ,d | [,a{11}1] X,,,f ,d | \
[,daa{14}1] Xf ,d | [,a{13}1] Xd ,a | [,,d{12}1] c ,,d | \
[,,b{11}1] a [,da] |";italian7tab
5b;;4;La sua Spesata;;;OT;;3;",,d/ ,,b | [,,a{a}/] ,,,c ,,a ,,,a ,d ,b | \
[,a{11}/] ,,d ,a ,,b ,d ,c | [,d{14}/] ,,a f ,d ,c ,d |";italian7tab
6a;;5;Corente;;;OT;;3;"f1 | [f{a}1] ,h h | [hi,,,a1] ,,,,h k | [lh,a1] {a} ,i | \
,h1 ,,i l | [ll{a}1] k [hi] | [fh,a1] ,,,,a [df] |";italian7tab
6b;;5;La sua Spezata;;;OT;;3;"f/ h | f/ {a} ,h f h | ,,,,,a/ ,i h ,,,,h h k | \
,,,a/ ,h l {a} ,h ,i |";italian7tab
7;;6;Baletto Primo;;;OT;;C;"[,,def1] [,,de] [,a,ac] [,c,ca] | [,daa1] {a}/ a c1 [a,b,,a] | \
[,da,,c1] [,da,,d] [,d,ca] ,c | \
[,daac1] ,,,,a/ ,,,,,d ,,,,,c1 [,cd] |";italian7tab
8;;6;Segondo;;;OT;;C;"[cd,a/] ,,,c ,,a ,,,a [cd,,c1] [fc,,a/] d | \
[cdd{a}1] {14} l/ ,l [,i{13}] k | \
[lh{12}1] {11}/ ,h [,,l{10}] ,,i [k,l1] |";italian7tab
9;;6;Terzo;;;OT;;C;"[,,de{a}1] [,,aa/] {8} {9} ,,,,f [,,,c{10}] ,,,,e | \
[,,,af{a}1] {14}/ ,,d ,,a ,,,e [,,b{13}] ,,,c | \
[,,a{12}/] ,,,,f {11} ,,,e [,,,c{10}] ,,,,e ,,d ,,,f |";italian7tab
10;;7;Quarto;;;OT;;C;",,,a/ ,,d ,,a ,,,a [,d,,c] ,,,a [,,,ca] ,c | \
[,daa{a}1] {14}/ f c ,d [d{13}] ,c | \
[,d{12}/] c {11} a {10} ,,h ,h ,f |";italian7tab
11;;7;Quinto;;;OT;;C;",,,a/4 ,,d ,a ,c ,d/ ,,,a ,,,,c ,d [a,,,a/4] c d f | \
[c{a}/] ,d {14} a c/4 d f/ [d{13}/4] f h/ |";italian7tab
12;;8;Bergamasca;;;OT;;C;"[cdd{a}2] [cdd] | [ddf{11}1] [ddf] [,fhh{10}] f | \
[fhi{a}1] {14} [fhi{a}] [fhi] | [hii{11}1] l/ ,h [l,l{10}1] [k,l] | \
[l,i{a}1] {14}/ i h ,l [,i{a}] ,h |";italian7tab
13a;;11;Corrente;;;OT;;3;"a1 | [aa,a1] c [ef] | [cf,,a1] ,e a | [af{a}1] ,,,,,a [,d,,,c] | \
[ac,,,d1] ,a [,,b,a] | [a,a,c1] ,,,,e [a,,a] | \
[ca,,e1] ,,,,a e |";italian7tab
13b;;11;La sua Spezzata;;;OT;;3;"a/ ,e | ,,,a/ ,a a c e ,f | ,,,,a/ ,f c ,e ,,,,a a | \
{a}/ ,f a ,,,,,a ,,,,,c ,d |";italian7tab
14a;;12;Corrente;;;OT;;3;"e1 | [ea,a1] {a} [h,,a] | [ha,,e1] ,,,,a f | [ea{a}1] a {8} | \
[ff{9}1] {11} e | [cf{10}1] ,e {11} | [ef{12}1] {14} ,e |";italian7tab
14b;;12;La sua Spezzata;;;OT;;3;"e/ c | ,,,a/ ,a e {a} h ,,,a | ,,,,e/ ,a h ,,,,a h f | \
{a}/ ,a e a {a} {8} |";italian7tab
15;;12;Tastegiata;;Cordatura ordenaria;OT;;C;"[,abacd/] ,,,,a [,db,c1] [a,b,d/] ,,,a [d,bc1] | \
[d,da/] c ,d ,b [dab] ,,a [da,c] [b,,a] | \
[aa,,d/] ,,d [a,b,d] [,d,,c] [,bb,a] a [,daa] ,b |";italian7tab
16a;;13;Galgiarda;;;OT;;3;"[,dff1] ,,,e [a,bc] ,,,a [a,b,d2] | [,db,c1] ,,,,a ,,,,,d ,,,,,c [,bb,,a] {a} | \
{8}1 ,a [,,df{a}2] ,,,e1 {8} | \
[,,ff{9}1] {10} {11} [,,de] [,ab] ,c |";italian7tab
16b;;13;La sua Spezzata;;;OT;;3;"[,db1] ,,a/ ,d [a,,c1] ,,,a ,,,,d/ ,d a1 | \
[,d,,c1] ,,,,a/ ,b [,d,,,d1] ,,,,,c/ ,d [,b,,,a1] {a} | \
{8}1 ,b/ ,a [,,d{a}1]";italian7tab
17a;;14;Corente;;;OT;;3;",d1 | [,dff1] ,a [,,de] | [,bbc1] ,,,a ,,,,d | [,db,c1] ,,,,a ,,,,,d | \
[,dd,,c1] {a} ,b | [,abacd2] ,,,,,c1 | \
[,,b,,a1] [,,a{a}] [,,,c{8}] |";italian7tab
17b;;14;La sua Spesata;;;OT;;3;",d/ ,f | ,,,f/ ,,f ,d ,a ,,d ,,,e | ,,,c/ ,,b ,b ,,,a ,,,,d ,b | \
,,,,c/ ,,b ,d ,,,,a ,,,,,d a |";italian7tab
