PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;3;Fantasia Prima di Misier Iacomo Gorzanis;;;OT;;C;",d2 ,d1 a | [c,,a1] [d,,c] [f,a] [d,b] | \
[c,d1] ,,a/ a ,d ,,a [,d,c] ,,,a | \
[,d,ca/] ,c/4 ,a [,c,ca/] ,d/4 ,c [,d,ac1] [a,d,e] |";italian7tab
2;;5;Fantasia Seconda del ditto;;;OT;;C;"[hf,g,a2] [hf,g,a1] [hf,g,a] | \
[if,ha2] [if,ha/] f/4 h i f h i | \
[hf,f,a2] [hf,f,a/] f ,i ,h/4 ,f | \
[hfa,,h/] ,,,f ,,a ,,,,h";italian7tab
3;;7;Fantasia Terza del ditto;;;OT;;C;"[da,a,d2] [da,a,d/] ,a/4 ,c ,d a c d | \
[fdaa1] [fdaa] [dabc] [ca,bc] | \
[aab,,a/] ,,,,,c [aab,,d] ,,,,a [,ea,c] a c ,,a |";italian7tab
4;;9;Fantasia Quarta del ditto;;;OT;;C;"[,aabc2] [,aabc/] ,,,,a ,,,,,d ,,,,,c | \
[abc,a/] ,,d ,a ,c [,ea,c] ,c [aaa,c] ,e | \
[a,,c,a1] [,abc] [,abc] [,aab] | \
[,adc/] ,d [,cbc] ,a";italian7tab
5;;11;Fantasia Quinta del ditto;;;OT;;C;",d1 ,d/4 a c ,d c d | [f,d1] [f,d/] ,a [fc] ,,d [fc] ,d | \
[df1] [cd/] a/4 ,d [adde/] ,c/4 ,a [acd1] |";italian7tab
6;;12;Fantasia Sesta del ditto;;;OT;;C;",d2 c | f1 ,,d ,c a | ,f1 d ,d c | \
[add1] ,c/ ,a [add1] ,c | \
[cd,a/4] a ,d ,c ,d ,c ,d/8 ,c ,a ,c [,dff2] |";italian7tab
7a;;14;Pass'e mezo Anticho Primo;;;OT;;C;"[abd,a1] [abd,a] [abd/] ,,,,a [abd,a] b | \
a/ ,d [abd,a] ,a ,,d ,a [abd,a] ,d | \
[abd,a/] c [da,a,d1] [da,a/] ,,,,,d [da,a] ,,,,,c |";italian7tab
7b;;15;Seconda Parte;;;OT;;C;"[abd,a1] [abd,a] [abd/] ,,,,a [abd,a1] | \
[aa,c,e1] [abd,a] [,dbac] [abb,d] | \
[abd,a/] ,,,c [,dff,d1] [fgfd/] ,,f [ddef] ,,,c | \
[,ddff/] ,,,e [,dff,d] [,,de] [,,ff] [,bd] [ddff] |";italian7tab
7c;;16;Terza Parte;;;OT;;C;"[abd,a1] [abd,a/4] ,,d ,a ,b [,d,,c] \
,a ,b ,d [a,,,d] ,d [,b,,a] a | \
[,d,,c/4] ,b [,a,,,d] ,d [abd,a] \
,,c ,,d ,a ,b ,d a ,d [abd,a] d b a |";italian7tab
7d;;17;Quarta Parte;;;OT;;C;"[abd,a1] [abd,a/] ,,,c ,,a ,,c [abd,a] a | \
c/ e [ffg,a] ,,g ,,,h ,,f [,bd,a] \
[,da,c] [abb,d] [caaa] [d,f,fd] ,d |";italian7tab
7e;;18;Quinta Parte;;;OT;;C;"[fb1] [cd] [e,f] [ffg,a/] d/4 b a ,d ,b ,a [,,d,a/] | \
[,,d,d/] [,,aa] [,,c,c] [,,d,a] ,,b/4 ,,,d \
,,,c ,,,a ,,,,d ,,,,c [,,d,a/] |";italian7tab
