PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;17;Toccata[ del quarto Tuono] Al Sig. Conte Cesare Pioveni Nobile Venetiano;;;Guitar;;C;"[aaacc2] [c,cb12] [daac] | n/ n/4 n n/ n n h h h | \
h/ d d d ""T""a ,f/4 ,f f/ f |";italian5tab
2;;21;Alemanda Al Sig. Conte Giovanni Arrivabeni Mantovano;;;Guitar;;C;"!strumdown![,,,cc/] | !strumup![,,,cc3/2] a/4 c d/ c ""T""a ,e | \
a/ ,b ""T"",a ,,c ,,e [,aa] [,cc] [,ee] | \
[aa/] [c,,a] [d,,c] !strumup![d,,e] !strumdown![hihff] \
!strumup![fhhhf] !strumup![fhhhf] |";italian5tab
3;;22;Sarabanda;;;Guitar;;3;"z1 a/ ,e a c | [d,,c1] ""T""[c,,,c3/2] a/ | !strumup![,,,cc1] a/ (,d ,b ,a) | \
(,,c/ ,,a) ""T""[,,ca3/2] ,,a/ |";italian5tab
4;;24;Toccata[ del quinto Tuono] Al Sig. Marchese Rodomonte Gonzaga Mantovano / Al Signor Conte Lodovico Scroffa Vicentino;;;Guitar;;C;"[fgha4] | [fig2] [gig] | ""T""[fgh2] ""T""h1 ""T""k | \
(""T""l/ i/4 g) f (,i ,g ,f) ,,h/ (,,f/4 ,,d ,,c ,,a) ,,,d ,,,c |";italian5tab
5;;27;Alemanda Al Signor Antonio Spilimbergo Forlano;;;Guitar;;C;"!strumdown![fgh/] | !strumup![fgh1] f/ f !strumup![bdc] !strumdown![bdc] [b,,a] [d,,c] | \
[f,,e/] d/4 b ""T""[ac,,a/] (,d/4 ,c [,d,a/]) ,,c ,,c ,,c |";italian5tab
6;;29;Alemanda Al Sig. Conte Gioacomo Valmarana Vicentino;;;Guitar;;C;"!strumdown![fgh/] | !strumup![fgh1] !strumdown![fgh/] (i/4 g ""T""[f,,,f/]) (,i/4 ,g) ""T""[ffg/] f/4 ,i | \
,g/ ,,,a ,d a !strumup![bdc] (d/4 b a) (,d ,c ,a) |";italian5tab
7;;30;Corrente;;;Guitar;;3;"!strumdown![fgh1] | !strumup![fgh3/2] f/ ,i f | \
[g,,f1] ""T""[,f,,a3/2] ,,h/ | [,,ha3/2] ,b/ ,d a | \
!strumup![bdc1] [a,,,d3/2] ,d/4 a | ([b,cd1] f/ d) (,g ,f) |";italian5tab
8;;31;Sarabanda;;;Guitar;;3;"z2 ""T"",,c1 | ""T""[,d,a1] a b | a/ b ,d1 b | ""T""[a,,,d1] (,d/ ,b) [,dd1] | \
,b/ ,d [,dd1] [,dd] | [,bc1] [,aa] [,bc] |";italian5tab
9;;32;Alemanda Al Signor Pierfrancesco Grimaldi Genovese;;;Guitar;;C;"!strumdown![fhh/] | !strumup![fhh1] f/4 f f f ,h/ ,,h !strumup![hihff] !strumdown![klkgg] | \
(!strumup![lhhhk/] h/4 f) ,,a ,h a ,,,a ,,g ,f \
(,i ,h) ""T""[,f,,a3/4] [,hh/4] |";italian5tab
10;;33;Corrente;;;Guitar;;3;",,c1 | ""T""[,d,a3/2] f/ d f | [c,,a1] ""T""[a,,,a3/2] ,d/4 a | \
""T"",d3/2 (h/ f) ,i | ,h1 ""T""[,f,,f3/2] ,,h/ | \
[ffg/] ,,,,e/4 a ,,,,c ,d ,,,,a ,c ""T""[,a,c3/4] ,,c/4 |";italian5tab
11;;34;Sarabanda;;;Guitar;;3;"!strumup![fhh1] !strumdown![fhh] !strumup![fhh] | \
!strumup![,fgh3/2] !strumdown![,fgh/] !strumup![,fgh1] | \
h/ f ,,a ,h a ,,,,a | ""T""[ac,,a3/2] ,d/ [,d,a1] | \
[c,,a1] [d,,c] [f,,e] |";italian5tab
12;;35;[Sarabanda];;;Guitar;;3;"([,d,a3/2] ,d/ [,c,c]) ,a | [,,ce3/2] ,a/ (,,c ,,a) | \
[,,ce3/2] ,,c/ ,,a ,,,e | ""T""[a,,,a2] [,d,a1] | ,,c1 ,a ,c | \
[,d,,c1] [a,,,e] [c,,a] |";italian5tab
13;;36;Gigua Al Signor Conte Gasparo Martinenghi da Bergamo;;;Guitar;;C;"z3/4 f/4 [ff,,e3/4] d/4 [b,,a3/4] b/4 ""T""[a,,,d3/4] ,d/4 | \
""T""[,c,,a3/2] ,,c/4 [,d,d3/4] a/4 ""T""[b,a3/4] d/4 ""T""[ac,,a3/4] ,d/4 | \
""T"",c3/4 a/4 ""T""[b,,a3/4] b/4";italian5tab
14;;37;[Sua ]Corrente;;;Guitar;;3;"f1 | [ff,,e3/2] (d/ b a) | !strumup![bdc1] ""T""[ac,,a3/2] ,d/4 a | \
,d1 ,,,a/ ,b ,d a | b/ ,d c a b d |";italian5tab
15;;38;Passacagli [del primo Tuono] Al Sig. Marchese Tullo Guerriero Mantovano;;;Guitar;;3;"!strumup![fgh1] !strumdown![fgh] | !strumup![ggh1] !strumup![fdfe] !strumdown![fdfe] | \
!strumup![dddff1] [df,,e] d/ f | [,,,df1] [ad,,a] ,c/ d | \
!strumup![bdc1] || !strumup![bdc/] a/4 (b d1) |";italian5tab
16;;39;[Passacagli?  Al Signor Conte Giovanni Valmarana Vicentino;;;Guitar;;3;"!strumup![bdc/] d/4 a [b,c1] b/4 d | [f,,d/] ,,,a [a,,,d] (a/4 b) [d,,c/] (b/4 a) | \
[,dd/] ,,,,b ,,a ,,,a/4 ,,,c ,,,d/ ,,,d/4 ,,a |";italian5tab
17;;41;Alemanda [del terzo Tuono] Al Sig. Conte Alfonso Sacrati Ferrarese;;;Guitar;;C;"!strumdown![dd,,b/] | !strumup![dd,,b1] !strumup![dd,,b/] f [g,a] [d,,,d] [df,,e] g | \
!strumup![fhh/] ,,,,a ,i f [gi] i ""T""[fh,,f3/4] ,i/4 | \
,i/ ,,a ""T""f3/4 ,i/4";italian5tab
18;;42;Alemanda;;;Guitar;;C;"!strumdown![hihff/] | !strumup![hihff1] !strumdown![hihff/] i/4 l !strumup![hihff3/4] g/4 ""T""f/ ,i | \
!strumup![fhh/] ,,,a [g,,h] ,h [fi] ,,f [,h,h] ,,f |";italian5tab
19;;43;Passacagli;;;Guitar;;3;"""T""[,,a,b3/2] ,b/ | [d,,b1] [e,,d3/2] ,,c/ | [,d,d1] ""T""[,d,b3/2] [,b,b/] | \
!strumup![bdd1] ""T""[,bdd3/2] ,,c/ | !strumup![bdddb1] !strumup![ddd3/2] d/ | \
!strumup![dbc1] !strumup!""T""[cbc3/2] c/ |";italian5tab
20;;44;Alemanda Al Sig. Conte Giovanni Fachini Mantovano;;;Guitar;;C;"!strumdown![dddff/] | !strumup![dddff1] (!strumdown![dddff/] d/4 f) !strumup![gdddf/] [f,f] [d,d] [f,f] | \
!strumup![cdc/] ,,,a ,d ""T"",b !strumup![dddff] \
!strumdown![dddff] !strumup![dddff] ,g/4 d |";italian5tab
21;;45;Alemanda;;;Guitar;;C;"!strumdown![dddff/] | !strumup![dddff1] (f/4 g) !strumup![ded/] f/4 g i/ ""T""f,,,f3/4 ,i/4 | \
!strumup![fhh/] !strumdown!,,,a ,,,,d/4 ,,,a ""T""[,,a,b/] ,,,,a/4 ,,a \
[cdc/] !strumup!""T""d (a/4 c) |";italian5tab
22;;46;[Seguitano li Passacagli del f. 43];;;Guitar;;3;"!strumup![bdddb] ,,,,b/4 ,,,,d (,,,a ,,,c ,,,d) ,,a | \
!strumup![bbcdd1] !strumup![bbcdd/] (,,d/4 ,,b ,,a) (,,,d ,,,b ,,,a) | \
!strumup![bcddb1] !strumdown!,,,,d/ (,e/4 ,d) (,,f ,,d) f d |";italian5tab
23;;47;Corrente Al Signor Nicoletto Foscarini Nobile Venetiano;;;Guitar;;3;"!strumdown![dd,,b1] | !strumup![dd,,b3/2] (,,,b/ ,,,a) ,,,,d | \
[,,a,b1] !strumup![cdc] (,,c/ ,,c) | ""T"",,a3/2 ,g/ d f | \
!strumup![gdddf3/4] f/4 ""T""d3/4 ,g/4 ""T""e3/4 ,d/4 |";italian5tab
24;;50;Balletto Al Sig. Conte Marc'antonio Caldogna Vicentino;;;Guitar;;C;"!strumdown![dfffd/] | !strumup![dfffd1] d/4 (,g ,f ,d) !strumup![dfffd/] !strumdown![dfffd] [,d,d] [,b,c] | \
[,aa/] ,,a [,b,c] [,d,d] [a,a] [,ff] ""T""[,da3/4] ,,f/4 |";italian5tab
25;;52;Balletto Al Signor Giorgio Costa Piacentino;;;Guitar;;C;"a/4 (,d ,b ,a) | !strumup![,bcc/] ,,,,a !strumup![aab] ,d/4 a !strumup![,bcc/] ,,,,a ([,d,,c] ,b/4 ,d) | \
[a,,,d/] ,b a a [,d,,c] [,b,,a] (,d/4 ,b ,a) ,,c |";italian5tab
26;;53;Brando Al Signor Checco Orsi Forlivese;;;Guitar;;C;"!strumup![,bcc/] | ,,,,a/ !strumup![,b,cd] ,,,,d ""T""[,da1] (,b/4 ,d) ""T""[a,,,d1] | \
([a,,c/4] b d3/4) d/4 [b,,a/] [a,,,d] ""T""[,da1] [,ff/] | \
[,ff1] !strumup![dd,,c/] !strumdown![dd,c]";italian5tab
27;;54;Corrente Al Signor Giulio Lazari Vicentino;;;Guitar;;3;"a/4 b d/ | ""T""[a,,,d3/2] a/ ,d ,b | [,d,,c1] [d,,c3/2] b/ | \
""T""[a,,,d1] ""T"",b3/2 ,b/ | [,aa1] [,,ce3/2] [d,,c/] | \
[c,,,a1] ,d/ ,,c ,a ,c |";italian5tab
