PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;a2r;Mamie un iour;;;Guitar;;C|;",,c2 | [a,c1] ,,c | [a,,c/] ,,,a [a,,c] ,,,e | [,aa/] [,,ce] [,aa] [,bc] | \
[,de/] ,,c [a,c1] | c/ a [a,a1] | ,,c1 [,ee] |";french4tab
2;;a3v;Qui souhaitez;;;Guitar;;C|;",,c2 | ,b1 ,d | [a,c2] | [fb1] ,d | [df/] c [a,,a] ,d | [a,,c1] [c,c] | \
[a,a/] [c,c] [,da] [a,a] | [c,c/] [a,a] [a,,e] ,,,c |";french4tab
3;;b1r;Ce qui est plus en ce monde amy;;;Guitar;;C|;",d2 | [ab/] ,a [b,c] ,,a | ,,c/ [a,a] [a,,d] ,,,c | \
,,,d/ ,d/4 ,b ,d ,a ,b ,d | [a,,c1] ,,,c | ,,,c1 [a,,c] |";french4tab
4;;b2v;Sy iay du bien;;;Guitar;ConcR3500;C|;",,a2 | ,,,d1 [,da] | [b,c1] [d,,c] | [f,c/] ,,a [f,,d] ,,,c | \
[f,,d/] b [b,c] a | [b,c1] [f,,d] | [d,d/] [b,c] [b,a] ,,,d |";french4tab
5;;b4v;Il ne se treuve en amytié;;;Guitar;;C|;"a1 ,,c | [ab1] [ab] | [,de/] [,bc] [,ac] ,,c | ,a/4 ,,c ,,b ,,,e ,,c/ ,,b | \
,,c1 [,a,c/] ,,,e | [,,ac/] [,,ce] [,aa] [,bc] |";french4tab
6;;c2v;Ie suis desheritée;Iacotin;;Guitar;;C|;"a2 | ,a1 ,a | ,d1 ,d | a2 | ,a1 [,de] | [,de/] ,b ,a ,,c | \
[,da1] [,de] | [a,c2] | [,aa1] ,d | [,da/] ,b ,a ,,c |";french4tab
7;;c3v;Per illud ave prol. [Le duo de Benedicta];;;Guitar;;C|;",,c/ ,,a ,,c ,a | [ab/] ,d [ab] c | [db1] [da/] ,,c | \
[da/] [f,c] [h,a] [f,c] | [da/] [cb] [ad] ,d |";french4tab
8;;d1r;Ie n'ay point plus d'affection;;;Guitar;ConcR3499;C|;"[,dca2] | [abc1] [abc] | [,dca2] | [f,cd2] | [daa1] [bbc] | [a,ac2] | \
[df,c2] | [df,c1] [df,c] | [bd,d/] [ab] [,def] [,bc] | \
[,def1] [aa,c/] b |";french4tab
9;;d2r;La voulonté;;;Guitar;;C|;"[acc1] | [bd,a1] [fg] | [dfa/] ,f/4 ,d ,g ,f ,g ,f ,d ,f | \
[bb,d1] [bb,a/] ,,,c | [bd,d/] ,,a [abc] ,,a/4 ,,c |";french4tab
10;;d3r;Estantz assis aux rives aquatiques;;;Guitar;;C|;",,c2 | [,bc3/2] ,d/ | [ab1] [,de] | [aa,c1] ,b | [aaa1] [,bc] | \
[ab,c1] [,def] | [a,ef1] [c,ce] | [da,c1] [,a,c] | \
[abc/] ,d a c |";french4tab
11;;d4r;Celuy mesme en duo;;;Guitar;;C|;",,c2 | [,bc3/2] ,d/ | [ab1] [,de] | [ab3/2] ,a/ | [a,c1] ,,a | \
[a,c1] [,e,e] | [a,,c1] [c,c] | [d,a1] ,b | [ab1] ,,c | \
[d,a1] ,b |";french4tab
12;;d4v;Pourquoy font bruit & s'assemblent les gents;;;Guitar;;C|;",,c1 | ,b1 ,,,c | [,aa2] | [,,ce2] | ,,,c1 [,,ac] | [,bc/] ,,a [a,,e] ,,,c | \
[a,,e1] [,e,e] | [a,,c1] ,,c | [,de1] ,,e | [a,,c1] [c,c] |";french4tab
13;;e1v;Canon. In subdyapenté;;;Guitar;;C|;"a2 | a1 a | [f,c3/2] d/ | [c,c/] a [c,c1] | ,d/ d f ,b | ,a/ ,,c [da1] | \
c/ ,b ,d1 | z1 [ab] | ,a1 ,d |";french4tab
14;;e2r;Autre Canon;;;Guitar;;C|;"c2 | [ca1] c | [da1] ,a/ c | [ab/] ,d a ,a | ,,c/ ,,a [c,c1] | \
a/ ,d [da1] | [c,c/] ,,a [ab1] | ,a1 [f,c] |";french4tab
15;;e3v;Duo;;;Guitar;;C|;"c2 | ,a2 | [ca2] | [d,,c2] | ,a1 c | [a,f2] | ,d1 ,,e | \
[a,c1] c | d1 ,,a | [c,c1] ,a | [ab/] ,d a c |";french4tab
16a;;f1r;La premiere partite de la Bataille de Ianequin, à trois;;;Guitar;ConcM12;C|;"f2 | ,d1 f | f1 ,d | [cd,a2] | z1 [cd,a] | [cd,a2] | [acc2] | \
z1 [acc] | [acc1] [,cc] | z1 [fcc] | [,c,e1] [fc,e] |";french4tab
16b;;f2v;La seconde partie;;;Guitar;ConcR1695;C|;"[cdca2] | [cdca/4] c c c c/ c | [cdca/4] c c c c/ f | \
[cdca/4] ,d ,d ,d ,d/ ,d |";french4tab
