PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concerto Burlesque à Luth, oboe;;Oboe f. 25r-26v;;;;
1;F dur;23v;[Concerto Burlesque];Baron? Kress?;;;;C;"[,,d{,a}/] ,,d/4 ,a ,,d/ [,,b{4}] [,,a{,a}/] ,,a/4 ,,b ,,a/ [,,b{4}] | \
[,,d{,a}/] ,,d/4 ,a ,,d/ [,,b{4}] [,,a{,a}1] [,,,c{4}] |   
[V:S] (a/a/4b/4) a/g/ (f/f/4g/4) f/g/ | \ 
(a/a/4b/4) a/g/ (f/f/4g/4) f/e/ | "
2;d moll;24v;Siciliana;Baron? Kress?;;;;6/8;"e/ | [e,,,a/] > c a  [,c,,,a1] e/ | [e,,,a/] > c a  [,c,,,a1] [e,,,a/] | \ 
[e,,,a/] > f e [e,,,a/] > c a |  
[V:S] f/ | f/>e/d/ ^c1 f/ | f/>e/d/ ^c1 f/ | \
f/>g/f/ f/>e/d/ |"
3;F dur;24v;Vivace en Echo;Baron? Kress?;cont. 23r;;;3/4;"[,,d{,a}/] ,,,a ,,d ,,,a [,,b{4}] ,,,a | [,,a{,a}/] ,,,a ,,a ,,,a [,,b{4}] ,,,a | \
[,,d{,a}/] ,,,a ,,d ,,,a [,,b{4}] ,,,a | [,,a{,a}1] [,,,c{4}2] | 
[V:S] a/c/a/c/g/c/ | f/c/f/c/g/c/ | \
a/c/a/c/g/c/ | f1 e1 z1 | "
;;;;;f. 27r-32v: cf. D-Fschneider15;;;;
;;;Sonata [par Mr. Kress per Liuto, Violino et Basso in G];;Violion f. 22r-22v, Basso f. 21r-21v;;;;
4;G dur;33v;[Sonata];Kress;;;;C;"[cac{a}/] [,a,,,c/4] > ,c [,aa{,a}/4] > ,,d [,,c{,,,a}/4] (,,d/8 ,,a) \
[,,Lc{a}/] [,,,c,c/4] ,,,,,a ,,,,,c/4 > ,,c [,,Vd{a}/4] > ,a | \
[,,La,,d/] ([,,d,c/4] ,,c) [,,a,,d/4] > ,,,c [,,,'b,a/4] ,,,c [,,,Lb{,,,a}/] {,a}/4 {,,a}  
[V:S] g/(d/4e/4) (d/4c/4)(B/4A/4) B/G/ z/ d/ | \
A/(c/4B/4) A/4G/4F/4G/4 F/D/
[V:B] g/b/f/d/ g/b/4a/4 b/g/ | c'/e'/c'/a/ d/f/4e/4 "
5;G dur;33v;Allegro;Kress;;;;3/8;"[,acc{a}/] [c,c/4] ,a [,cd] ,,a | ,,c/4 ,a [c,c] ,a [,cd] ,,a | \  
[,Lac/] [,,Lde] [,La,,e] | 
[V:S] d/g/4d/4e/4c/4 | d/g/4d/4e/4c/4 | d/(c/4B/4)c/4A/4 | 
[V:B] g/b/c'/ | b/g/c'/ | b/a/d/ |   "
6;G dur;34v;Siciliana;Kress;;;;12/8;"[cac{a}/] > b [c,d{a}] [,a,c,c/] > ,,,,,a {a} [,cdc,d/] > ,a [,,dba] \ 
[,,dc{a}/] ,,c/4 > ,,,,,c ,,,,,a/ | [,a,c,c/] > ,,d [,,'c{a}] [,,'a{,a}/] > {,,a} {,,,a} 
[V:S] g/>f/g/ d3/2 e/>d/c/ c/B/ z/ | \
d/>c/B/ A3/2 
[V:B] g1 a/ b/>a/g/ c1 d/ g/b/a/ | b1 g/ f/>e/d/ "
7;G dur;34v;Giga;Kress;cont. 33r;;;12/8;"[,a{a}/] ,,c ,,,c [,cdc{4}/] ,,d ,,,c [,aLy,,c1] ,,,,,a/ [cLy,,,c1] [,,c{a}/] | \  
[,,d,,a/] ,a [,c{a}] [,,a{,a}/] ,a [,,d,a]  
[V:S] d/B/G/ e/c/G/ d3/2 z/ g/B/ | c/d/e/ A/d/c/ 
[V:B] g3/2 c'3/2 b/a/b/ g/a/b/ | a1 g/ f1 d/"
