PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;1;Nun bitten wir den heiligen geist;;;OT;Conc_377;;;germantab
2;;3;Ich klag den tag und alle stundt im abzug;;;OT;ConcR806;;;germantab
3;;5;Tröstlicherlieb / ich mich stertz jeb.;;;OT;ConcR2268;;;germantab
4;;7;Mein gmüt und geblüt;;;OT;;;;germantab
5;;8;Patiencia;;;OT;ConcR2260;;;germantab
6;;10;Per yllud Aue ein Dum.;;;OT;ConcR1600;;;germantab
7;;12;Costa grand tort;;;OT;ConcR1757;;;germantab
8;;14;Je suis desheritte;;;OT;ConcR1718;;;germantab
9;;17;Plus Mille Regres;;;OT;ConcM4;;;germantab
10;;23;Ein frölich wesen;;;OT;;;;germantab
11;;28;Mein hertz hat sich mit lieb verpflicht;;;OT;ConcR2076;;;germantab
12;;30;Dismonta del cauallo saltarello;;;OT;ConcR3199;;;germantab
13;;32;La fantina saltarello;;;OT;ConcR3201;;;germantab
14;;33;Je suis amy;;;OT;ConcR2194;;;germantab
15;;35;Zart schöne fraw;;;OT;ConcR2108;;;germantab
16;;37;Nach willen dein;;;OT;ConcR2077;;;germantab
17;;39;Von Edler art / ein Frewlein zart;;;OT;ConcR1935;;;germantab
18;;42;Was wurt es doch des wunders noch;;;OT;ConcR3236;;;germantab
19;;46;Benedictus;;;OT;;;;germantab
20;;49;Amica mea;;;OT;;;;germantab
21;;54;Ville vos. Im abzug;;;OT;;;;germantab
22;;57;Languir me fay;;;OT;ConcR200;;;germantab
23;;59;Ami souffres.;;;OT;ConcR2010;;;germantab
24;;61;Il estoit une fillete;;;OT;ConcR1728;;;germantab
25;;62;Or Combien est;;;OT;ConcR1725;;;germantab
26;;66;Mille Regres;;;OT;ConcM3;;;germantab
27;;69;Ach Jupiter;;;OT;ConcR3234;;;germantab
28;;72;Hilf Herre Gott.;;;OT;ConcR1988;;;germantab
29;;76;Il bianco e dulce cigno;;;OT;ConcR3229;;;germantab
30;;79;Non chi non voglio;;;OT;ConcR3231;;;germantab
31;;82;Pongente Dardo;;;OT;ConcR3233;;;germantab
32a;;85;Pass e metzo;;;OT;ConcR3203;;;germantab
32b;;89;Il suo saltarello;;;OT;ConcR3204;;;germantab
33a;;92;Pass e mezo;;;OT;ConcR3205;;;germantab
33b;;95;Il suo saltarello;;;OT;ConcR3207;;;germantab
34;;100;La gamba;;;OT;ConcR3209;;;germantab
35;;101;Le forze d Ercule;;;OT;ConcR3211;;;germantab
36a;;103;Ein guotter hoff Dantz;;;OT;ConcR3237;;;germantab
36b;;104;Proportz darauff;;;OT;ConcR3238;;;germantab
37;;105;Pauana;;;OT;ConcR3239;;;germantab
38;;107;Les Bouffon;;;OT;ConcR3213;;;germantab
39a;;109;Ein kunstreicher Gassen hauwer;;;OT;;;;germantab
39b;;111;Ander Teill;;;OT;;;;germantab
39c;;116;Proportz der Tritt teill;;;OT;;;;germantab
40a;;118;Ein schöner hoff dantz G. Heinrich;;;OT;;;;germantab
40b;;119;Gassen hauwer uff den Dantz;;;OT;;;;germantab
;;;Hie enden sich di stuck so zusamen gangen auff zwo lautten / und gangen disse nachuolgenten stuck so auff das aller lieblichst und kunstlichst aufgesetzt allein für sich selbs bis zum end;;;;;;;
41;;121;Aue gloriosa;;;OT;;C;",,,c/ ,,,b,,,c ,,a ,,,c1 ,,a | [a,c/] ,e a c [a,c1] [c,d] | \
[ea,c1] c/4 a c e [ha,g,a/] f e c |";germantab
42;;125;Gelobet siestu Jesus Christ;;;OT;;C;"[aa,c2] [aa,c/] ,e/4 a c a ,e ,c | \
[,ea,c/] ,c/4 ,e a ,e ,c ,a [a,d,e/] ,e a ,c |";germantab
43;;127;Pour Vng plasier;;;OT;ConcR858;C;"a1 a/ a [ca] a [ca] [ea] | [fc/] ,a [fc] ,e [ea,c1] [ea,c/] ,,,c | \
[cda,c/] ,,,c [,,a,c] [,,c,c] [,cd,e] ,,,,c [,cd,e] ,,,b |";germantab
44;;131;Cest a Faux;;;OT;;C;"[,dda2] [cd,a/4] a c d [c,da/] [d,,c] | \
[f,de1] [hd,f] [fc,,a/] ,a [f,de1] | \
[e,fc/4] f e c f e c e";germantab
45;;133;Quando io penso allj martirio;;J. Arcadelt;OT;ConcR1327;C;"[aa,c2] [acd] | a1 [,ac] [a,,c] [aacc] | \
[ccde/] ,a ,c/4 ,a ,c ,e [aa,c1] [aacc/] ,,d | \
[,acc/] ,,a [a,cc1] [fcde] ,e |";germantab
46;;137;Je prens en gre;;;OT;ConcR1358;C;"[,dda2] [,df,c1] [aabc] | [c,da/] a c/4 a c d c1 [f,g,a] | \
[dbb,d2] d1 [cdda] | [acd,a1] ,,d [,cd,a] f/ [cd] |";germantab
47;;139;Doeul double doeull;;;OT;ConcR1640;C;"[,ccce2] [,ccce] | [acd,a2] [,dfec] | [,cccd2] [,cc,e1] ,,,c | \
[,cc,e1] ,,,c [,ca] [,,c,e] | [,,cce1] [a,c/] ,,a [acc1] [a,d,e] | \
[ca,a1] [e,cc] [acd,a] [f,h,a] |";germantab
48;;142;Sy par soufrir;;;OT;;C;"[ca2] ,a1 ,d | [a,b2] [,cd1] ,c | [,da,c2] [,da1] ,,a | \
[,aba,d2] [,cdca] | [,,a,,c1] ,,d [,ca] [,,da,c] | \
[a,ba,d2] [a,bc,a] |";germantab
49;;144;Contre raison;;Claudin de Sermisy;OT;;C;"[ccde2] [ccde] | [cdda2] [fcde3/2] ,d/ | [ea,c2] y/ [ea,c] | \
[ea,c1] [ea,c] [ffg,a] [ea,,c/] c | [acc,e1] [acd,a] [,,def] ,a | \
[acc,e1] a [,acc] a |";germantab
