PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Primer due, Antonio;;;;;;;
1;;9r;Pange lingua;;;OT;;;;italian4tab
2;;9r;Sacris solemnis;;;OT;;;;italian4tab
;;;Primer tres;;;;;;;
3;;9v;sans titre;;;OT;;;;italian4tab
4;;9v;sans titre;;;OT;;;;italian4tab
5;;10r;Antonio, sobre el Canto Llano de la alta;;;OT;;;;italian4tab
;;;Siguense ocho fauordones llanos y glosados;;;;;;;
6;;11r;Primus tonus;;;OT;;;;italian4tab
7;;11r;Secundus tonus;;;OT;;;;italian4tab
8;;11r;Tertius tonus;;;OT;;;;italian4tab
9;;11r;Quartus tonus;;;OT;;;;italian4tab
10;;11r;Quintus tonus;;;OT;;;;italian4tab
11;;11r;Sextus tonus;;;OT;;;;italian4tab
12;;11v;Septimus tonus;;;OT;;;;italian4tab
13;;11v;Octauus tonus;;;OT;;;;italian4tab
14;;11v;Septimus tonus;;;OT;;;;italian4tab
15;;11v;Primero tono de Gombert;;;OT;;;;italian4tab
16;;11v;Primer tono, Antonio;;;OT;;;;italian4tab
17;;12v;Primus tonus / Dixit dominus;;;OT;;;;italian4tab
18;;12v;Secundus tonus / Dixit dominus;;;OT;;;;italian4tab
19;;12v;Tertius tonus;;;OT;;;;italian4tab
20;;13r;Quartus tonus;;;OT;;;;italian4tab
21;;13r;Quintus tonus;;;OT;;;;italian4tab
22;;13r;Sextus tonus;;;OT;;;;italian4tab
23;;13r;Septimus tonus;;;OT;;;;italian4tab
24;;13v;Octauus tonus / Dixit dominus;;;OT;;;;italian4tab
25;;13v;Otro octauo;;;OT;;;;italian4tab
26;;13v;Antonio;;;OT;;;;italian4tab
27;;14r;Tiento de Vihuela;;;OT;ConcR1320;;;italian4tab
28;;15r;Antonio. Dic nobis Maris;;wrong printed nr (13);OT;;;;italian4tab
29;;15r;Seguense otros tiento. De, Antonio;;;OT;;;;italian4tab
30;;15v;sans titre;;ff. 16r-17v missing?;OT;;;;italian4tab
31;;18v;Otro tiento;;;OT;;;;italian4tab
32;;19v;Sesto tiento;;;OT;;;;italian4tab
33;;20r;Septimo tiento;;;OT;;;;italian4tab
;;;Siguense otros tientos de Antonio y de otros tañedores de los ocho tonos.;;;;;;;
34;;20v;Primer tiento del primer tono, ANTONIO;;;OT;;;;italian4tab
35;;21v;Primer tono;;;OT;;;;italian4tab
36;;22r;sans titre;;;OT;;;;italian4tab
37;;22v;sans titre;;;OT;;;;italian4tab
38;;23r;Otro tiento;;;OT;;;;italian4tab
39;;23v;Otro tiento;;;OT;;;;italian4tab
40;;24r;sans titre;;;OT;;;;italian4tab
41;;25r;Segundo tono;;;OT;;;;italian4tab
42;;25r;Tercero tono;;;OT;;;;italian4tab
43;;26r;Quarto tono sobre Malheurmebat;;;OT;;;;italian4tab
44;;26v;Quarto tono;;;OT;;;;italian4tab
45;;27v;Quarto tono;;;OT;;;;italian4tab
46;;28r;Otro quarto tono;;;OT;;;;italian4tab
47;;28v;Quinto tono;;;OT;;;;italian4tab
48;;29r;Otro quinto tono;;;OT;;;;italian4tab
49;;29v;Sesto tono;;;OT;;;;italian4tab
50;;30r;Sesto tono. SOTO;;;OT;;;;italian4tab
51;;31r;Sesto tono;;;OT;;;;italian4tab
52;;31v;Otro sesto tono;;;OT;;;;italian4tab
53;;32r;Super Philomena, Septimo tono;;ff. 33r-39v missing?;OT;;;;italian4tab
54;;40r;Septimo tono sobre cum sancto Spiritu, de Iusquin, de beata virgine,;;;OT;;;;italian4tab
55;;40v;Octauo touo;;Ha se de tañer al compas mayor, hast adonde se muda il tiempo, y despues al compasillo;OT;;;;italian4tab
56;;34r;Siguense otros tiento de los ocho tonos de vihuela. Primer tono;;;OT;;;;italian4tab
57;;34v;Segundo tono;;;OT;;;;italian4tab
58;;35r;Otra fantesia del seguñdo tono, sobre fa.mi.ut.re.;;;OT;;;;italian4tab
59;;35v;Primera fantesia del tercero tono;;;OT;;;;italian4tab
60;;36r;Segunda fantesia del tercerto tono;;;OT;;;;italian4tab
61;;36v;Primera fantesia del quarto tono;;;OT;;;;italian4tab
