PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Praeludium Ferd: Ignat: Hinterleithner;I Praeludium;Das lange Praeludium geht durch unterschiedliche Tonarten und enthält kurze Praeludien für jede Suite in diesem Druck. Die einzelnen Praeludien sind durch Unternummern extra aufgelistet.;This long Praeludium comes across different keys and contains short preludes for each suite in this print. Each of hese  preludes ist listed below with a sub-number.;;;
1a;d moll;1;Ex D. Fol: 5;Hinterleitner;;;;C;"{,,,a}/ ,,,,a ,,,a ,,a ,a ,,a ,,,a ,,a ,,,,a ,a ,c a (,,,,,e \
,c ,,a ,c e ,c c) ,,,,a ,,a a ,,b (,,,,,d ,,b ,c ,,a)"
_1b;a moll;1;Ex A. Fol: 16;Hinterleitner;;;;;",,,,,a/ e ,c e ,,d ,c ,,,e ,,d +,,,d ,,c ,c +,,,d ,,,e ,e \
(,,,,c d ,c ,,f ,,d ,c e ,,c3/2) ,,,e/4 e {,,a}"
_1c;A dur;1;Ex A#. Fol: 25;Hinterleitner;;;;;"+,,,e/4 ,,e ,c +,,,e +,,,d ,,c ,c ,,,,e ,,a ,c3/4 ',a/4 \
,,,,a ,,,,c ,,,d ,a ,,,e ,,e {,,a} ,,,a ,,c ',,,d3/4 ,,,,a/4 ,,,,,e"
_1d;e moll;1;Ex E. Fol: 28;Hinterleitner;;;;;"+,,,,c/4 +,,,c ,,c ,c ,e c {,,a} g h ,h g ,f e ,e c ,c \
b ,b [,Vc{,,a}] "
_1e;G dur;1;Ex G#. Fol: 23;Hinterleitner;;;;;{a}/4 g ,f g h k (,,,,e ,,,e ,,f ,e e g) (,,,,c c ,,c ,,d) ,,,,a ,,d ,e ,,a ,,c c
_1f;g moll;2;Ex Gb. fol: 29;Hinterleitner;;;;;"{a}/ ,,,c ,,b ,a ,,b +,,,c ,a +,,,a (,,,,b ,,,c ,a ,,d) \ 
(,,,,a ,,,a ,,d ,a a ,,a ,,b ,a c a)"
_1g;F dur;2;Ex F. fol. 6.10.&14;Hinterleitner;;;Conc_3872;;"{,a}/4 e ,d c e g {,,a} h ,f ,h f ,f \ 
{,a} ,h ',f a ,,h ,a (,,,h ,,,f) ,,a ,,,,f ,,,a "
_1h;C dur;2;Ex C. fol. 18;Hinterleitner;;;;;"{4}/ c ,c c ,,d ,c ,,,c ,,d ,,,,c ,,,c ,,,,,d \ 
{4} ,a ,c a ,,,,,c ,a c ,,,,,a ,,d c 'a3/4 a/4 "
;;;I [Suite in F];;;;;;
2;d moll;3;Ouverture Ferd. Ignat. Hinterleithner;Hinterleitner;Alla Breve - Allegro - Alla Breve;;;C;"[,aaa{,,,a}3/2] ,a/ V[,ca,,e] c (,d ,c) | \
[,daaa1] {,,,a} e/ ,d c e | \
[,'a,a{d}3/2] (,a/4 ,c a) [c,b{a}/] a ,c ,a | "
3;d moll;4;Allemande di HL;Hinterleitner;;;;C;",,a/ | \
[,,aaa1] {,,,a}/ [,,a(y/8] ,,c ,,e [,ay)] V,c3/4 ,,e/4 ,a a ,c c | \
,d/4 e g ,f [ih,,,a/4] ,,h ,,i k [k,h,h/] 'i k/4 ,,,,i ['h,,h] ,i | "
4;d moll;4;Courante di HL;Hinterleitner;;;;3;",a/ ,,d ,,b | \
[,,'a,a3/2] ,,,c/4 ,,a ,,,a/ ,,,c | \
,,,e/ ,,,,,d [,,,'ca{d}3/2] (,,,c/ | \
,,,e1) ,,,,,a ,,,,,c/ ,,,c | \
,,,,,e/ ,,,,c ,,,c ,,,e ,,,,a ,,,a | "
5;d moll;5;Bourree di HL;Hinterleitner;;;;C;"e1 | \
['aaa{,,,a}1] ,c/ ,a [fff{a}1] [hf{,,a}/] f | \
([,h,h{,a}/] ,f) ,h f ,h1 [,'f/] a | \
[,c{a}1] ,,c V,,e ,a | \
[,,ee,a/] ,a ,,e ,,c ,,,e1 e | "
6;d moll;5;Menuet di HL;Hinterleitner;;;;3;"[,h{,,,a}1] #k3/2 h/ | \
['ff{,,a}2] [,h{,a}1] | \
[f{a}/] ,h [,'f] a ,,h ,a | \
[,,e,,a/] ,a ,,e ,,c ,,,e {a} | \
[,,a{,a}1] ,a [,ce{,,a}] | "
;;;II [Suite in F];;;;;;
7;F dur;6;Allemande di HL;Hinterleitner;;;;C;",,,a/ | \
[,,,ada1] {,a}/ [,,,,'c/4] ,,,,a ,,,,,d/4 ,,,,c ,,,c [,,,,,'b] \
,,,,,a/4 ,,a ,,,a ,,b | \
{a}3/4 ,,,,c/8 ,,,a [,,,,c(y/4] ,,,c ,,d [,,by)] \
[,,'a{,a}/] ,,,a/4 [,,b(y/8] ,,,e [,,by)/] {a}/4 ,,b | "
8;F dur;6;Courante di HL;Hinterleitner;;;;3;",d/ [,'c] ,a | \
{,a}/ ,,d ,,,a ,,a V,,b ,,,,c | \
,,,,d/ ,,,c ,,a ,,,,,a V,,,,,b ,,,c | \
,,,,,d/ ,,,,c {4} ,,,c ,,a ,,b | \
V,,d3/2 ,,,,a/ V,,,,c ,,b | "
9;F dur;7;Sarabande di HL;Hinterleitner;;;Conc_1367;3;"['edd{,a}3/2] (f/4 e) [,f{4}1] | \
['aaa{,,,a}3/2] ,c/4 a [,c,,,a1] | \
[,a,,,b(y/] ,,,a ,,,c ,c [ay)] ,,,,,a | \
[,'c,c{4}3/2] (,a/4 ,c) V[,da{,a}1] | \
['a,c{,,,a}3/2] (c/4 a) [,c{4}1] | "
