PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;B1r;Praeludium;;;cittern;;C|;"a/4 c d f h i l/ | ,a/4 ,c ,e ,f f h i/ | \
,,f/4 ,a ,c ,e d f h/ |";french4tab
2;;B1r;Praeludium;;;cittern;;C|;"[daaa/] a/4 c d f h i | l/4 d f h f h i f | \
h/4 f h i l d f h |";french4tab
3;;B1v;Praeludium;;;cittern;;C|;"d/4 c d ,a ,c ,e d f | h/4 i l n l q n p | \
q/4 o/8 n l n o n l i h f ,f/4 ,h |";french4tab
4;;B1v;Praeludium;;;cittern;;C|;"a/4 c d f h i l h | n/4 l o n l i h f | \
h/4 f h/8 i h i h i h i h i h f h |";french4tab
5;;B2r;Praeludium;;;cittern;;C|;"d1 ,,a/ f | [ha/] ,,c ,,e [,cf] | [feh/] ,f f [hf] | \
[icc/] e [hfed] ,,f | [feh/] ,a [hf] i |";french4tab
6;;B2r;Praeludium;;;cittern;;C|;"l2 | l1 l | g1 i | l2 | ,f/ i g f | [gf/] i [lf1] | [io1] [lk] | \
[gf/] i/4 g f/ ,f |";french4tab
7;;B2v;Pauane passamezo;;;cittern;;C|;"d/ f | [gaa3/2] f/ | [daa1] [cac] | [dad3/2] ,,c/ | \
[daa/] ,,,d ,,,b ,,d/4 ,c | [fdf3/2] g/ | [fdf/] d f g |";french4tab
8;;B2v;Galliarde;;;cittern;;3;"d/ f | [gaa3/2] f/ d c | [daa/] b ,a ,c b d | \
[fdf1] ,d/ g [fdf] d | [fdf1] ,d g/ f |";french4tab
9;;B3r;Pauane Quadro;;;cittern;;C|;"a/ c | [daaa3/2] ,c/ | [daaa/] ,,,b ,,,a ,,c | [daaa1] [acab] | \
[bacd1] [daaa/] h | [acab3/2] ,a/ | [,cad/] ,d ,c ,a |";french4tab
10;;B3v;Pauane la vecchio;;;cittern;Conc_4386;C|;"[daaa/] [daaa] | [daaa3/2] [dcab/] | [daaa/] [dcab] [daab] ,,,a/4 b | \
[acab/] d/4 ,,,b ,,a ,d ,c ,a | [dcab1] [fdf/] [fdf] |";french4tab
11;;B4v;The oulde Almaine;;;cittern;Conc_4438;C|;"[daa/] [flh] [gfa] ,f | [fdh3/4] d/4 [bacd] a b ,a | \
[,bab/4] ,d d ,,d [dac] ,,a [cac] ,,,b |";french4tab
12;;C1r;The voyce;;;cittern;ConcR33;C|;"[onq3/2] q/ | o/ m l i | [gddd3/2] i/ | l/ i g f | \
[def1] [fd/] g | [ifff/] g f ,f |";french4tab
13;;C1v;In pescod time;;;cittern;ConcR3533;3;"[daaa2] [feh1] | [hfa3/2] i/ h f | [dae1] [daa] [feh] | \
[gha3/2] ,h/ ,f ,d | [icc2] [hgk1] | \
[,hl1] [hhl] [hg] |";french4tab
