PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1r;Preludium. / Joachimus vanden Hove;Joachim van den Hove;;OT;;C,1;"c/ ,d/4 ,c | \
[ca3/8] ,c/8 ,d/4 ,a | \
[ac/4] [,df] [,cf] ,,e | \
[,af/4] ,d [,cde] c | \
[a,b/8] ,d/16 a [c,a/8] a/16 c [da,c/8] ,,d ,a ,c |"
2;;1v;Praeludium. / Joachimus va[n] de[n] houe;Joachim van den Hove;;OT;;C;"[aabcca/] ,,,c/4 [c,d] | \
[da,c,a/4] ,c [cef,c/] | \
[aa,,d/4] ,,d/8 ,,b [a,d,d] ,,a ,,b ,,d | \
[ef,c/] [df,c] | \
[fdaa/] [haa,,h/4] f/8 h |"
3;;2r;Preludium Tristae. / Ioachimus vande[n] Hove.;Joachim van den Hove;;OT;;C;"[ccdeec1] | \
[fcde/4] e [ccde] ,,,c/8 ,,,a | \
[bcc,e/] [bcc/4] ,,,,a | \
[eaa,,e/4] ,,,d/8 ,,,b [ea,d,e/4] c/8 e | \
[fcd,,c/4] c [fcde] [fe] |"
4;;2v;Preludium Lachrime.;Joachim van den Hove;;OT;Conc_4415;C;"[ccdeec/] ,,,e/4 [,fc/8] ,d | \
[,cde/] [,,d,,c/4] [,,cc/8] [,,aa] | \
[,ccce/] [,,de/4] [,,cac/8] [,,dca] | \
[,a,c,e/] [ac,ce/4] [,daa/8] ,c | \
[,acc/] [ac/4] [,,aa/8] [,,,ce] |"
5;;3r;Praeludium. / Ioachimus vanden Hove;Joachim van den Hove;;OT;;C;",,d/ ,c/4 ,d | \
a/4 ,,,c [,da/8] ,c [,ac] ,d | \
[,cd/4] ,,,,a [,cd,e] [,a,a/8] ,,d | \
[,acc/4] a [cdda/8] ,,,,e [cda,c] ,,,a |"
6;;3v;Praeludium. / Ioachimus vanden Hove;Joachim van den Hove;;OT;;C;"[fda,a{a}1] | \
[da,a,d/] [acd,a] | \
[,dde{a}/4] [cd] [da] [ac] | \
[cd/8] ,f ,d [ac] [,df] [,cd] [,df] [a,c] | \
[,cd/4] a [ed,a] f |"
7a;;4r;Zefiro torna, Prima Parte. A.4. / Luca Marenzio;Luca Marenzio;;OT;;C;"[,df/] [cdf/4] [,cd/8] [,ac] | \
[c,ee/4] ,f/8 ,d [,cee] ,,f ,c ,,e | \
[,aa,c/8] ,,d ,a ,c [,aa,c/4] ,d | \
[acd,a/4] [cdda3/8] [cdda/8] [cdf,c/4] |"
7b;;4v;2a Parte - Ma sierme Lasso A. 4. / Luca Marenzio;Luca Marenzio;;OT;;C;"[,,de1] | \
[,cde/8] ,,,c ,,,e ,,,a [,ccc] ,,,a ,,,c ,,,e | \
[,ccc/8] ,,d ,a ,c [,a,c] ,,d ,,c ,,a | \
[,acc/8] ,c ,d ,a [,c,c] ,,,,e ,,,a ,,,c |"
8;;5v;Se d'altro mai non vivo. A.4. / Giouan de Macque;Giovanni de Macque;;OT;;C;",a/ [,df/4] ,d | \
[,cd/4] [,,de] [acd/8] ,d [a,d] [cd] | \
[dffc/4] d [cdda] [,df,c] | \
[c,da/4] [,,aa] [a,d,e] [,,d,e/8] ,,,a | \
[,abc/8] ,,d ,a ,c"
9;;6r;Madonna sua merce. A. 4. / Luca Marenzio;Luca Marenzio;;OT;;C;"[aacc1] | \
[abd,e/4] d c a | \
[,efec/4] ,,f/8 ,,e ,,f ,c ,e ,f | \
[,ef,c/4] [aabc/8] ,c ,d a [cdda/4] | \
[dff,d3/8] [ddb,c/8] [db,cd/4] [fba,a] |"
10;;6v;Donna gentil. A.4. / Joachimi vanden Hove;Joachim van den Hove;;OT;ConcR2395;C;"[,abc/] [,abc,a/4] [,abc,a] | \
[,cdca/8] ,a ,c ,d [aab,,a] ,,,,,c ,,,,,d ,,,,a | \
[,dfec/4] [,dfec] [aabc] [caab] | \
[da,c/8] ,,d [d,bc] ,,a [d,bc] [c,,a] [a,bcd] [,d,,c] |"
11a;;7r;O bella man. Prima Parte. A. 4. / Luca Marenzio;Luca Marenzio;;OT;;C;"f/ | \
[cd/4] a/8 c [ef/4] c/8 e | \
[fh,a/] ,,d | \
[,,aa/4] ,,,c/8 ,,a [,,cc/4] ,,a/8 [a,c] | \
[,cde/4] [fc] [cd] ,c/8 c |"
11b;;8r;Candido leggiadretto 2a Parte A. 4. / Luca Marenzio;Luca Marenzio;;OT;;C;"a/ [a,d/4] a | \
[a,d/4] ,,d [f,d3/8] d/8 | \
[cd/4] [fd/8] ,c [da/4] [cd] | \
[h,,f/8] ,,,h [ha] [fc/16] d [cd/8] [df] [fh] [cd] |"
12;;8v;A Mor deh dimmi come. A. 4. / Joachimus vanden Hove;Joachim van den Hove;;OT;;C;",a/ [c,a] | \
,a/4 ,d d [c,a] | \
[a,c/4] ,,d [,df3/8] a/8 | \
[c,a,c3/8] ,,c/8 [,ce,,c/4] ,,c/8 ,,e | \
[,df,c/4] ,,,a [,ab] [,cde,c] |
"
