PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Taken from Coelho (1995);;;;;;;
1;;1r;Galliarda;;Adi 23 ottobre 1624;OT;ConcR2798;3;"[cdda2] [cdda] {a}1 d | [cdda1] [aa,,d] [,da,c] [,b,,a] [,aba,d] ,,,,,d | \
,,d1 ,a ,c ,d [addca] ,c";italian7tab
2;;1v;Galliarda;;;OT;;3;"[fdaa2] [fdaa] {a} | d1 [c,,a] d c [a,,,d] c a \
[,d,,c] a ,d [,b,,a] ,d ,b";italian7tab
3;;2r;La sua volta;;;OT;;3;"a/ c e f [aadcca1] ,,c [acdca] | \
,d/ a ,,b ,,a ,c ,d ,,,,,c ,,,,,a ,,d ,a ,c";italian7tab
4;;2v;Pass e mezzo;;;OT;;C;"[fdaa1] [fd] | [dcac1] [cdda] {a} d | c1 a ,d [acdca] | \
[,dd,,c1] [aaba,d] [acdca] |";italian7tab
5;;3v;Seconda parte;;;OT;;;;italian7tab
6;;4r;(Illegible);;;OT;;3;[,,da,c1] | [,daa{a}] a ,d | [acdca1] ,a ,c | [,daa{a}1] a ,d |;italian7tab
7;;4v;Padouana della milaneza;;;OT;;C;"[bdda1] [bd] | [acdca1] [,daa{a}] [bdda] [bd] | \
[ada,d1] [ada,b] [adb,,d] [addca] | ,c1";italian7tab
8;;5v;Gagliarda della milaneza in sopra[no];;;OT;;3;",b2 ,d a | [bdda2] {a} d | b2 [,aba,d4] | [abd,a4] [,dbac2] | \
[,bbcd2] ,,,,d [,bb] |";italian7tab
9;;5v;ripresa;;;OT;;;;italian7tab
10;;6r;Sec.da parte;;;OT;;;;italian7tab
11;;6v;Seconda parte del Passemezzo;;;OT;;C;",d/ a | [bdda1] {a} [bdd] [a,,,,a] | [,d,,,b1] [a,,,,d/] ,d [,c,,a] ,d a ,c | \
[,d{a}/] ,c ,a ,c ,d a c d |";italian7tab
12;;7v;Passemezzo in contralto;;;OT;;C;"[acdca1] [acdca] | [,da,c1] [acdca] ,,,,a [acdca] | \
[,da,c1] [aad,e] [,,da{a}] [aadcca] | ,,c1 [acdca] [,,,,a{10}] [acdca] | \
[aaa,,d1]";italian7tab
13;;8v;2.da parte;;;OT;;;;italian7tab
14;;9r;sans titre;;;OT;;none;"[bdda1] b [acdca] a [bdda{a}] a ,d ,c [,a,,,d] ,c ,d b \
[addca] ,c a [,d,a] {a} [adaa]";italian7tab
15;;9r;La volta;;;OT;;3;"a/ ,d ,c ,a ,,d1 [aadcca] ,,c [acdca] [acd/] ,d ,c ,a \
[,,da,c1] [,aba,d] [acdca]";italian7tab
16;;9v;Galliarda in contralta;;;OT;;3;"[acdca1] [acdca] [acd/] ,d [acdca] | [,daa,c1] [,aba,d] [acdca] \
[cdda] {a}/ | d/ [cdda1]";italian7tab
17;;10r;Galliarda 2.da in contralta;;;OT;;3;"[acdca1] [acdca/] ,d ,c ,a | [,c,,a/] ,d a ,c ,d a | \
[cdda1] [cd/] a ,d ,c | [,daa{a}/] a c ,d a c |";italian7tab
18;;10v;Seconda parte;;;OT;;;;italian7tab
19;;11v;[fragment];;ff missing after f. 11r;OT;;none;"[cdda1] [cdda{a}] [cd] [aaa,d] | \
[aaa,c1] [aaa,a] [aaa,,d] [aaa,,c] |";italian7tab
20;;11v;Seconda parte;;;OT;;;;italian7tab
21;;12v;La volta;;;OT;;3;",a/ ,c ,e [af,,a1] | [aaa,,e1] [aaa,,c] [aacc] ,,,,,a/ | \
,,d/ [aaccca1] [aad,e] [,daa{a}] | [aaccca1]";italian7tab
22;;13r;Padouana dela milanesa in tenor;;;OT;;C;"[aabcca1] [aab] [caab] [aabc] | [aabcca1] [aab] [aaa,,c] [aaa,,d] | \
[aaa,a1] [aaacc] [aaab] [aabc] |";italian7tab
23;;13v;Galiarda;;;OT;;3;"[,aba,d1] [,aba,d1] ,,,,,d/ c a ,d ,c ,a [addca1] ,c \
[cdda1] {a}/ d c a [,da,c1] [aa,,d] [cdda]";italian7tab
24;;14r;riprese;;;OT;;;;italian7tab
25;;14r;La volta;;;OT;;3;[aaab1] [aacc] [aa,,e] [ca,,c] ,,,,c [aa,,,e] [acdca];italian7tab
26;;14v;Galiarda;;;OT;;3;"[daba,d1] [daba,d] [dab] | [daba,d1] [aa,,a] [aa,,c] | \
[aaa,e1] [cdda] [cdda{a}] | [cd1]";italian7tab
27;;15r;Fugi fugi fugi;;La Mantovana / Ballo di Mantova;OT;Conc_5135;none;"[,,d,a1] ,a ,b ,d [ab,,d] ,,,,d a [b,,a] d b \
[a,,,d] b a [,d,,c] a ,d";italian7tab
28;;15v;Seconda parte de passamezzo in tenor;;of next piece;OT;;C;"[aacc1] [ca,b] | [aacc1] ,,,,,a [aac] [ca,b] | \
[aa,c1] c/ e [f,,e1] e/ f |";italian7tab
