PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;(Unreadable);;Damaged too much for incipit;OT;;;;italian7tab
2;;2v;Susanne un Jouor canzone a 4 Francese;;Damaged too much for incipit;OT;;;;italian7tab
3;;3r;Recercare;;;OT;;2;"y y y y | ,,,a/ d c a | ,d/ ,c ,a ,,d | \
[,ab1] d/ c | a/ ,d ,c ,a | [acd1] ,d |";italian7tab
4;;3v;(Unreadable);;Damaged too much for incipit;OT;;;;italian7tab
5;;4r;Recercare Rota Padoano;;;OT;Rotta Recercare Terzo;2;"[a,gh2] | [a,gh1] f | [db] [ab] | [bd/] a d b | \
[ab1] ,,d | [abd1] [abd] | [aab1] ,,,c | [,,dd/] a ,d ,b |";italian7tab
6;;4v;(Recercare);;Damaged too much for incipit;OT;;;;italian7tab
7;;4v;Recercare;;;OT;;2;",d2 | ,d1 ,d | [ab1] ,,,d | [,,b,d/] ,,a ,a ,c | \
,d/ c a ,d | [acd1] ,d/4 ,c ,d ,c ,a ,c |";italian7tab
8;;5v;P(assa e mezzo) in pi modi;Giovanni Pacalono;;OT;;2;"[c,d/] ,,,d ,,c [cd] | [cd/] [a,,,,d] ,a [bc] | \
a/ ,d a c | a/ ,c ,d a | [cdca1] ,,d/ d |";italian7tab
9;;8r;Passo e meso milanese;Giovanni Pacalono;;OT;;2;"[abd1] | [abd1] [abd/] ,d | a/ ,d ,b ,a | \
[abd,a/] ,,,c [abd] d | [c,,a/] a ,d ,b | [,ab1] [,ab/] ,b |";italian7tab
10;;9v;Pavana detta la Desperata;;;OT;ConcR1400;2;;italian7tab
11;;10v;Saltarelo dela Disperata conposto p Giovani Pacalono;Giovanni Pacalono;;OT;ConcR1604;3;"[hd,f,d3/2] [hd,,,a] | [hd,f,d1] [hd,f] [hd,f,d] | \
[fcaa2] [dabc1] | [caa,c1] [caa] [dabc] | [fdaa2] [ha,f1] | \
[da,c/] c d f c d |";italian7tab
12;;11r;Pon(gente dardo);;;OT;ConcR1605;2;"[,dfec2] | [,dfec1] [,dfec] | [aabc/] ,,d ,a ,c | \
[cdda1] [ddf,,d2] [cdda1] | [aabc1] [,ea,c] | \
[a,,cd/] ,,d/4 ,,b ,,d ,,a ,,b ,,d |";italian7tab
13;;11v;Occhi miei lasci mentre ch'io vi giro;;;OT;ConcR1606;2;"[,ddef2] | [,ddef1] ,,,,e | [,daac/] ,,,c [,da] ,,c | \
[acd,a1] ,d/4 ,c ,d a | c1 [,daac/] ,c | ,a ,,d [,dff,d1] |";italian7tab
14;;12r;O servitu crudele;;soprano;OT;;2;"[a,,,a/] [a,,,a] [a,,,,a] | [,d,,,d/] [,c,,a] [,a,,,a1] | \
,c/4 ,,,,a [a,,,a/] [a,,,a] [a,,,,a] | \
[,d,,,d/] [,c,,a] ,,,,a [,a,c] | ,,,c/ ,,,,d ,,,,c ,,,,c |";italian7tab
15;;12r;(O servitu crudele);;basso;OT;;2;"[acd/] ,,,,a [acd,a] [aab,,a] | \
[,dff,d/] [,cdca] [,adc,a3/4] ,,c/4 | \
[,cdca/] [acd,a] [acd,a] [aab,,a] | \
[,dff,d/] [,cdca] [,adc,a3/4] ,,c/4 |";italian7tab
