PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Toccata;;;OT;;C;"z2 [fdaa2] | \
[ddff2] [cdda] | \
[acd,a1] c [da,,,a] ,,,,,c | \
[,db,,d1] a X[cdd,,,a/] ,,,,,a ,,,,,c ,,,,,d | \
[acXd,a/] ,a ,c ,d [acdca] ,,,,c ,,,,e ,,,a |";italian7tab
2;;1v;Preambulo;;;OT;;C;"[,daa,,a2] [,daa,,a1] [,daa,,a] | \
[,daa,,a1] f c d | \
f/ d c a d c a ,d | \
c/ a ,d ,c";italian7tab
3;;2v;Corre[n]te Francese;;;OT;ConcR344;3/4;",,d1 | \
X,d1 ,,,a [a,,,e] | \
[b,,a1] a/ b ,d b | \
Xa1 ,,,,a X,,,c | \
,,d1 ,a/ ,b ,d ,b | \
[,a1,,,a1] ,,d a |";italian7tab
4;;3r;Pavaniglia;;;OT;Conc_4499;C;"[,dda1] b [a,,,,,a] ,d | \
[acdca1] ,,,c ,,d ,a | \
[,c,,a1] [,d,,,b] [a,,,,d] [,c,,a] | \
[,ddb1] ,,,,,,a/ a b1 [a,,c] | \
[,d,d1] [,a,,,d] [,b,,a] [,d,,c] |";italian7tab
5;;3v;Corrente Fran[cese];;;OT;;3/4;",d1 | \
[ddXbb3/2] f/ d1 | \
[c,,a1] [e,,,c2] | \
[fc,ca3] | \
[fda,,,a2] [,d,a1] | \
[a,,,e2] [c,,a1] | \
[c,,,,d1] [a,,,a2] | \
X[,ddef2] ,,,,,,a1 | \
[,ddef2] || ,d1 | \
[ddff3/2] f/ d1 |";italian7tab
6;;4v;Brandle;;;OT;ConcR636;C;"[,,aa,,a1] ,,b ,,d ,a | \
[,,da,,a1] ,,a ,,b ,,d | \
[,,aa,,a1] ,,,c/ ,,a ,,,a1 ,,d | \
[,,ba,,a1] ,,a ,,,c ,,,a | \
[,,a,,,a1] ,,,c/ ,,a";italian7tab
7;;5v;sans titre;;;OT;ConcR3661;C;"[,,ba,,a1] ,,d ,,b ,,,c | \
[,,a,,,a1] ,,b ,,a ,,,a | \
[,,,ca1] ,,,e ,,,c ,,,,e | \
[,,,a,,a1] ,,,c ,,,a ,,,,c | \
[,,,,ea1] ,,,a ,,,c ,,,,e |";italian7tab
8;;6v;Seguita;;;OT;;C;"[,,,da,a2] [,,,,ca1] ,,,a | \
[,,ba,,a1] ,,d ,,,c ,,,a | \
[,,,ca1] ,,,d ,,,c ,,,,a | \
[,,,a,,a1] ,,,c ,,,d ,,b | \
[,,da,,a1] ,a ,b ,,d |";italian7tab
9;;7v;In tripola;;;OT;ConcR637;3/4;"[,,ba,,a1] ,,a/ ,,b ,,,c1 | \
[,,a,,,a1] ,,,c/ ,,a ,,,a1 | \
[,,,ca1] ,,,a/ ,,,c ,,,,e1 | \
[,,,a,,a1] ,,,,e/ ,,,,c ,,,,a1 | \
[,,,c,,a1] ,,,a/ ,,,c ,,,e ,,,c |";italian7tab
10;;8v;Volta Francese;;;OT;ConcR981;C;"[b,,a1] d/ b | \
[a,,,d1] [,d,,c] [,c,,a] ,d | \
[a,,,a1] [,d,,b] [d,,,,d/] b a ,d | \
[,c,,a1] [,d,,,b] [a,,,,d/] ,d [a,,,a1] | \
[,dda1] ,,,,,,a ||";italian7tab
11;;9v;Gagliarda;;;OT;ConcR982;6/4;",d3/2 a/ [cd3/2] b/ [hf3/2] h/ | \
[fh2] [f,,a] [f,,,,,a] | \
[,dda3/2] a/ c1 ,,,,e [c,,,c] ,,,,a | \
[ddff,d2] ,,,f1 d/ f h1 ,,,,,,a |";italian7tab
