PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Ballo de Cavalli;;Alfabeto;Guitar;;;;
2;;1v;Ballo di Mantova;;Alfabeto;Guitar;;;;
3;;2r;Tarantella;;Alfabeto;Guitar;;;;
4;;2v;Ballo de Cavalli;;Alfabeto;Guitar;;;;
5;;3r;Passagallo;;Alfabeto;Guitar;;;;
6;;3v;Gagliarda;;Alfabeto;Guitar;;;;
7;;3v;Saltarello;;Alfabeto;Guitar;;;;
8;;3v;Ceccona;;Alfabeto;Guitar;;;;
9;;4r;Ceccona;;Alfabeto;Guitar;;;;
10;;4r;Tarantella;;Alfabeto;Guitar;;;;
11;;4v;Serabanda;;Alfabeto;Guitar;;;;
12;;4v;Minuette;;Alfabeto;Guitar;;;;
13;;5r;Pavaniglia;;Alfabeto;Guitar;;;;
14;;5v;Ballo di Mantova;;Alfabeto;Guitar;;;;
15;;6r;Follia;;Alfabeto;Guitar;;;;
16;;6v;Ballo di Mantova;;Alfabeto;Guitar;;;;
17;;7r;Ballo di Mantova;;Alfabeto;Guitar;;;;
18;;7v;Burè;;Alfabeto;Guitar;;;;
19;;7v;Pisanella;;Alfabeto;Guitar;;;;
20;;8r;Serabanda;crossed out: Minuette;Alfabeto;Guitar;;;;
21;;8v;Gavotta;;Alfabeto;Guitar;;;;
22;;9v;Spagnoletta;;Alfabeto;Guitar;;;;
23;;9v;Saltarello;;Alfabeto;Guitar;;;;
24;;10r;Spagnoletta;;Alfabeto;Guitar;;;;
25;;10v;Romanella;;Alfabeto;Guitar;;;;
26;;11r;Minuet;;Alfabeto;Guitar;;;;
27;;11v;Aria di Scappino;;Alfabeto;Guitar;;;;
28;;12r;minuè del Colombo;;;Guitar;Conc_5279;3;",,,,,d1 (,,,,f/ ,,,,d) ,,,,d/ ,,,,f ,,,,f ,,,,h ,,,,h | \
,,,,h/ ,,,,i ,,,,h ,,,,h ,,,,i ,,,,i | ,,,,l2 ,,,,l1 | \
,,,,i1 ,,,,i/ ,,,,i ,,,,h ,,,,h |";italiantab
29;;13r;Minuet;;Alfabeto;Guitar;;;;
30a;;13v;Follia;;Alfabeto;Guitar;;;;
_30b;;13v;Raddoppiata;;Alfabeto;Guitar;;;;
31;;14r;Segue a Corrente;;Alfabeto;Guitar;;;;
32a;;14r;Per A;;Alfabeto;Guitar;;;;
_32b;;14v;Raddoppiata;;Alfabeto;Guitar;;;;
33;;14v;A Corrente;;Alfabeto;Guitar;;;;
33a;;15r;Per O;;Alfabeto;Guitar;;;;
_33b;;15r;Raddoppiata;;Alfabeto;Guitar;;;;
34;;15v;A Corrente;;Alfabeto;Guitar;;;;
35;;16r;Follia Raddoppiata il Manico;;Alfabeto;Guitar;;;;
36a;;16r;Per R Tutto il Manico;;Alfabeto;Guitar;;;;
_36b;;16v;Segue Raddoppiata;;Alfabeto;Guitar;;;;
37;;16v;Per A Raddoppiata il Manico;;Alfabeto;Guitar;;;;
38a;;17r;Ballo di Mantova;;Alfabeto;Guitar;;;;
_38b;;17r;Per il Manico;;Alfabeto;Guitar;;;;
_38c;;17v;Tutto il Manico;;Alfabeto;Guitar;;;;
39a;;18r;Per A;;Alfabeto;Guitar;;;;
_39b;;18v;Segue il manico;;Alfabeto;Guitar;;;;
40;;18v;Per O;;Alfabeto;Guitar;;;;
41;;19r;Villanella;;Alfabeto;Guitar;;;;
42;;19v;Canto Alla pastorale;;Alfabeto;Guitar;;;;
43;;19v;Per A;;Alfabeto;Guitar;;;;
44;;19v;Per B;;Alfabeto;Guitar;;;;
45;;20r;Per I;;Alfabeto;Guitar;;;;
46;;20r;Gagliarda per A;;Alfabeto;Guitar;;;;
47;;20v;Per B;;Alfabeto;Guitar;;;;
48;;20v;Per C;;Alfabeto;Guitar;;;;
49;;21r;Per I;;Alfabeto;Guitar;;;;
50;;21r;Bruscello p G;;Alfabeto;Guitar;;;;
51;;21v;Minuet;;Crossed out - Alfabeto;Guitar;;;;
52;;22r;Minuet Per C;;Alfabeto;Guitar;;;;
53;;22r;Per I;;Alfabeto;Guitar;;;;
54;;22v;Fiorentina p A;;Alfabeto;Guitar;;;;
55;;22v;Per B;;Alfabeto;Guitar;;;;
56;;23r;Per C;;Alfabeto;Guitar;;;;
57;;23r;Per I;;Alfabeto;Guitar;;;;
58a;;23v;Spagniuoletta;;Alfabeto;Guitar;;;;
_58b;;23v;Per il Man:o;;Alfabeto;Guitar;;;;
_58c;;24r;Tutto p il man:o;;Alfabeto;Guitar;;;;
59a;;24r;Per A;;Alfabeto;Guitar;;;;
_59b;;24v;Per il Manico;;Alfabeto;Guitar;;;;
60;;24v;Spagniuoletta;;Alfabeto;Guitar;;;;
61a;;25r;Tarantella;;Alfabeto;Guitar;;;;
_61b;;25r;Per il Manico;;Alfabeto;Guitar;;;;
_61c;;25r;Tutto il Manico;;Alfabeto;Guitar;;;;
62;;25v;Ballo de Cavalli;;Alfabeto;Guitar;;;;
63;;26r;Fantolini p C;;Alfabeto;Guitar;;;;
64;;26v;Aria;;Alfabeto;Guitar;;;;
65;;27r;Minuet;;Crossed out - Alfabeto;Guitar;;;;
;;;;;S. 27v leer;f. 27v empty;;;;
66;;28r;Minuet;;Alfabeto;Guitar;;;;
67;;28v;Amabile p Tono di F;;Alfabeto;Guitar;;;;
68;;29v;Gelosia;;Alfabeto;Guitar;;;;
;;;;;S. 30v-31r Alfabeto Notation (Staff);f. 30v-31r Alfabeto definition;;;;
69;;31v;[sans titre];;;;;C;",,,d2 ,,,d | ,,,,,a1 ,,,d ,,,b ,,,a | \
,,,,,d1 ,,,,,c ,,,,,a ,,,d | ,,,d2 ,,,d | \
,,,,,a1 ,,,d ,,,b ,,,a | ,,,,,a1 ,,,d ,,,b ,,,a |";italiantab
70;;32r;[sans titre];;Alfabeto;Guitar;;;;
71;;32v;[sans titre];;Alfabeto;Guitar;;;;
72;;33r;Minuè del Colombo;;;Guitar;Conc_5279;3;",,,,,d1 (,,,,,f/4 ,,,,,d) ,,,,,d/ ,,,,,f ,,,,,f ,,,,,h ,,,,,h | \
,,,,,h/ ,,,,,i ,,,,,h ,,,,,h ,,,,,i ,,,,,i | ,,,,,l2 ,,,,,l1 | \
,,,,,l1 ,,,,,i/ ,,,,,i ,,,,,h ,,,,,h |";italiantab
73;;34r;Altro Minuè;;S. 35r-56v leer;Guitar;;;",,,,,l1 ,,,,,f (,,,,,h/ ,,,,,f) | ,,,,,l1 ,,,,,h (,,,,,i/ ,,,,,h) | \
,,,,,a1 ,,,,,d/ ,,,,,c ,,,,,h ,,,,,i | ,,,c1 ,,,d ,,,d | \
,,h1 ,,h ,,g |";italiantab
