PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Die meiste Konkordanzen sind durch John Robinson zu Verfügung gestellt;Most Concordances supplied by John Robinson;;;;
1;;4v;Praelud;;;OT;;C;"[,dda/4] ,,,,,,a ,d a [bdda] ,,,,,,a a ,d | \
[abdca/4] ,,,,,,a ,,d ,a [,bdca] ,,d ,a ,,d | \
[aac,,a/4] c c a [hffg] ,,,h ,,f ,,,g |";
2;;6v;Praelud / Alb. Dlug.;A. Dlugoraj;;OT;ConcR1970;C;"[abd2] [aac/4] > ,,d ,,c ,,d/8 ,,c ,,d ,,c ,,a ,,c | \
[abd/] ,,,,a/8 ,,,,c ,,,,d ,,,a ,,,c/4 ,,,c \
[,ab/] ,c ,d ,,,d/4 ,,,c |";
3;;12r;Praelud;;sequence f. 12r-11v-12r;OT;;C;"[cdf/] ,,,e f [a,d] | [da,c/] ,c [cdee2] | \
[aab/] ,c/4 ,d ,c/ ,a | \
[cccc3/8] ,,,c/8 ,,,a ,,,,e ,,,,c ,,,,a ,,,,c ,,,,e";
4;;13v;[Nachlauf?];;ad ;OT;;none;"h/4 c a ,a ,,c ,,,c ,,,,c ,,,,,e [aacc,a2] \
[aacc,a/4] ,,,,,c ,,,,,e ,,,,a ,,,,c ,,,,e ,,,,f \
,,,,e ,,,,c ,,,,a ,,,,c ,,,,a ,,,,c ,,,,a ,,,,,e ,,,,,c \
[aaccca2]";
5;;14r;[Nachlauf?];;possibly there is also a third Nachlauf!;OT;;none;"a/4 c e a e f h a k l n ,a ,c ,e ,f ,a ,,c ,,d ,a \
,,c ,,,c ,,,,c ,,,,,e ,,,,a ,,,,c ,,,,,e ,,,,,a/ ||";
6;;17r;[Prelude];;shorted version of Mertel's Prelude 141;OT;ConcR712;none;"[,ab,a/4] a d a h ,,,,h ,,,f ,,,,h ,a ,,,,,a ,,,,,d ,,,,,a \
,,,,c ,a ,d ,a c ,,,,c ,,,a ,,,,c ,,,e ,d c ,d";
7;;24r;[Prelude?];;;OT;;none;"h1 ,,a/4 f d ,a c ,,d ,,b a ,d ,,a ,c ,,,c ,,,a ,a [,cde,c] \
[,,f,,a] [,,c,,,e] ,,c ,,c ,,e [cdfec,a2]";
8;;25v;[Nachlauf?];;;OT;;none;",a/4 ,c ,e a c/8 a c a c a ,e ,c ,e ,c ,a ,,d ,,c ,,a \
,,,c ,,,a ,,,c ,,,a ,,,,e ,,,,c";
9;;28r;[Nachlauf?];;;OT;;none;"[ha3/8] f/8 d c a ,d ,c ,a ,c ,d a c d f d c a \
,d a c a ,d ,c ,a ,c";
10;;29r;[Nachlauf?];;;OT;;none;c/8 d f d c a ,e ,c ,a ,c ,e a c ,e a c d a c d f d c a;
11;;30r;Fuga Diomed. Senza 5;;;OT;;C;",a1 ,e/ ,h | ,c/ ,e ,f ,,,c | \
,,c/4 ,a [,ef] ,g [,ha] ,e ,,,g ,f | \
[,cd/4] ,,a ,,d ,a ,c ,e [,fc/] |";
12;;34r;Praelud;;;OT;;;;
13;;48r;Alb. Dlug. Vilanella;A. Dlugoraj;;OT;;C;"[bdda/] [bdd/4] [bdd] [d,,c1] [f,gd] [g,df/] f/4 d | \
[fd,e/] [ddef] ,,,,,d1 [cdda2] | f/8 d f d f d c a/4 c/ :||:";
14;;48v;sans titre;;;OT;;;;
15;;72r;sans titre;;;OT;;;;
16;;118r;sans titre;;;OT;;C;"[,bd,a] ,d a ,,,,c ,,,,d c | d ,,,a ,,,c c d [f,a] | \
[ba,d,a] f d ,,,e ,,,c c | a ,,,a ,,,,d ,d [cb] [,d,,c] |";
17;;119v;Gagliard / Angl;;;OT;ConcR1256;3;",,d3/4 ,a/4 [,b,,a1] [,a,,,a] | \
[abd,a1] ,,d/ ,d ,b ,a | \
[,b,,a/] ,d a ,b [,dba,d1] | \
[abb,d1] ,,,c/ ,,d ,a ,b |";
18;;120r;sans titre;;;OT;;C;"[aac,,a1] ,,,c/ ,,d ,,c1 :||: \
[,a,,,a3/4] ,a/4 a/ ,a ,b ,,d | \
[,a,,,a/] ,,,,c ,,,c ,,,,c ,,,,d ,,,,a | \
[,a,,,a3/4] ,a/4 a/ ,a ,b ,d |";
19;;127r;Caspar. Polon. G.;;;OT;;3;"[,cc,e1] [ccde] [effc] | \
[ffhh/] ,,,,a ,,,,c ,,,b [ca,c] ,,,,,a | \
,,,,,c/ ,,,,b [cdf,c] ,,,,,,a ,,,,,,d ,,,,,a | \
[cce,,c1] ,,,e/4 ,,c ,,e ,,f [,ce/] [,df,c] |";
20;;128r;Gagliarda Caspari / Poloni;Caspar;;OT;;3;"c/ a | [,df/] ,,,,c ,,,a ,,,c [,cde] ,,,,,c | \
,,,,a/ ,,,,c [,,cde] ,,,e ,,,,,,c ,,,d | \
[,,ee,c/] ,,,e/4 ,,c ,,e ,,f ,,e/ ,c |";
21;;138r;Chorea Pol.;;;OT;ConcR1239;3;"[,cdca/4] ,d [a,,,e/] [,daa/4] ,c [,acc/] | \
[,cdca/] ,a/4 ,c ,d ,c ,a ,,d | \
[,,cc,a/4] ,,d [,a,,,e/] [,,d,a] ,,c [,,abc] |";
22;;139r;Chorea Pol.;;;OT;;3;"[,ca,c/] [a,c,,e] [ccd,,c] [ea,c,a] | \
[ea,c/] c/4 a [caa,c/] [aacc,a] | \
[hf,gh] f/4 h [fc,,a/] [eff,,a] | \
[cef,c/] ,,,e/4 ,f ,e ,c [cef,c/] |";
23;;139r;Chorea Pol.;;;OT;;3;"[cdda/] c/4 [d,,c] [f,a/] [hd,f] | \
[fh,e/] [h,,f] [k,f,h] l/4 k | \
[hf,fh/] [fh,e] [hi,f] [ffhf3/8] ,i/8 | \
[fhi,f/] ,,,h/4 ,i ,h ,f [fhi,,,a/] |";
24;;140r;Almande Monsieur Johan Douland Angl.;D. Bacheler;End at bottom of f. 139v;OT;ConcR49;C;"[aacc3/2] ,,d/ [aacc1] [a,d,e] | \
[,efec2] [,efec1] ,,,,a | \
[aa,c,e1] ,,,,,c/ ,,,,,a [,fe,c1] ,e/ ,,d | \
[aac,,a1] ,,,c ,,,,,a2 | \
[aac,,a/] ,,a/4 ,,c ,,d/ ,a ,,,c ,,,b ,,,,e |";
25;;152r;sans titre;;;OT;;none;",,,,,,a/ ,,,a ,,,,,,a ,,,a ,,,,,,a ,,,a ,,,c ,,a ,,,,,,a \
,,a ,,,,,,a ,,a ,,,,,,a [,,a,,,a] ,,,a ,,,,,,a ,,a ,,,a \
[,,a,,,a/4] ,,b ,,d/ ,,,a";
26;;167r;sans titre;;;OT;;3;",a ,b ,d ,,,a | \
[,dba,d] a [,d,,c] [a,,,d] d [c,,a] | \
[dab,,d] a c d ,,,,,c f [ddf,,d] | \
[cdd,,,a] a c [d,,,,d]";italian7tab
27;;167r;sans titre;;;OT;;3;",,b ,,d ,a ,c | \
[,dba,d] a [,d,,,c] [aab,,a] [c,,,,c] [d,,,e] | \
[cdda] a c ,d f d [c,,a] [a,,,d] | \
[,d,,c] ,,b a [,b,,a] ,,a ,a ,b ,d |";italian7tab
28;;168r;sans titre;;;OT;;C;"[,,b,,,a3/4] ,,c/4 ,,b/ ,,,c [,,a,,,a3/4] ,,b/4 ,,a/ ,,,a | \
[,,,c,,a3/4] ,,,e/4 ,,,c/ ,,,,e [,,,a,,a3/4] ,,,c/4 \
,,,a/ ,,,,a | [,,b,,,a3/4] ,,c/4 ,,b/ ,,,c [,,a,,,a3/4] \
,,b/4 ,,a/ ,,,c |";
29;;177r;Praelud;;;OT;;C;",,,,,a/ [aab,c] ,,a ,,,c | ,,,,c/ ,,,,,,a [,db] ,,a | \
,,,,d/ ,,,,,,b [,bbc] ,,,d | \
[,ab,,d/] ,,,a/4 ,,a ,,b ,,d ,a ,b |";
30;;177v;Fantasia / P. Pol. Konop;;;OT;ConcR409;C;",,c1 ,,c/ ,,c | ,,c1 ,,c | ,,d1 ,,c/ ,,a | \
[,c,d1] [,c,e/] ,c | ,c/4 ,,c ,,d ,,f \
[,cd] ,,c ,,d/8 ,,c ,,a ,,,c |";
31;;178v;Fantasia Anthonij / Francisque;A. Francisque;;OT;ConcR1435;C;",d2 [f,d] | [fd2] [bd] | [d,e2] [f,g] | \
[fd,a1] ,f [fg,h] d/ b | [acd/] d b a [,ddd1] ,,b/ ,,d | \
[,def/] d/4 b a";
32;;179v;Fantasia Alberti / Dlugoraj Pol;A. Dlugoraj;;OT;;C;"c2 c1 ,a | ,a/ ,c ,d a c d f c | \
h1 ,a [fc/] ,e [df1] | [cd1] [ac/] c/4 a [,df1]";
