PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;untitled;;torn off on the right;OT;;none;",a/ [,,d,e] ,,,,e [,,b,c/4] ,,a ,,b ,,d [,,a,c/] ,a/4 ,c \
[,da,c/] ,,,,c [,edca] ,,,,a [,aba,d/4] ,,a ,,b ,,d ,a ,c ,d a";italian7tab
2;;2r;Sop[r]a il mesmo;;;OT;;none;",,,c/ ,,a ,,c ,,d ,a ,,d ,,c ,,a ,,,c ,,,a ,,,,e ,,,,c ,,,,a ,,,,c ,,,,e \
,,,a ,,,c ,,,a ,,,,e ,,,,c ,,,,a ,,,,e ,,,,c ,,,,a";italian7tab
3;;2r;Sop[r]a il mesmo;;;OT;;none;",,,,,a/ h e f h f e ,h e ,f ,h e f ,f ,c ,d ,f \
,d ,c ,a ,,d ,,a ,,c ,,d ,a";italian7tab
4;;2v;[title torn off];;;OT;;none;"h/ e/4 f h/ f e c a ,d/4 ,c ,a ,,d ,,b ,,a ,,,c1 a/ ,c/4 ,d \
a/ ,d ,c ,a ,,d";italian7tab
5;;2v;Sop[r]a il mesmo;;;OT;;none;"h/4 f e f h/ f e c a ,d/4 ,c ,a ,,d ,,c ,,a ,,,c1 \
,,d/4 ,a ,c ,d a/ ,d ,c ,a";italian7tab
6;;3v;Sopra il mezo;;;OT;;none;"a/4 c e f h/ k f e c e a1 ,,d/4 ,a ,c ,d a/ \
c ,d a ,c ,d ,a ,c ,,d1";italian7tab
7;;3v;[Fragment];;;OT;;none;a/4 c e f h/ h e a h h e a h1 ,,d/4 ,a ,c ,d a/ a ,c ,,d a a;italian7tab
8;;4r;Contrap[pun]to s[opr]a il ten]o]re dell'Abb:;;;OT;;none;"[ea,c1] a/ c [e,,c] c a ,d [acdca1] ,,d/ ,a [acdca] ,d a c \
[,ea,c/] a c d [ca,,c] a ,c ,e";italian7tab
9;;4v;Contrap[pun]to s[opr]a il tenor del'Abb:;;;OT;;C;"[aacc,a/] ,a ,,c ,,d [aacc,a] ,,d ,,a ,,c | \
[acdca/] a ,c ,d [acdca] ,,d ,a ,c | \
[,ea,c/] ,c ,e a [caa,c] a ,c ,e |";italian7tab
10;;5r;Contrapp[un]to s[opr]a il tenore dell'Abb:;;;OT;;C;"[a,,,,a/] e a c [e,,,,a] f c e [f,,,a] a ,c ,e [a,,,a] ,e ,a ,c \
[,ea,c] c ,e a [c,,,c] a ,c ,e";italian7tab
11;;5v;Passo e mezzo;;;OT;;2;",,,,a/ ,,c ,,d ,a | [abdca1] ,,d/4 ,a ,b ,d | [acdca/] ,d ,b ,a | \
[abd,a/] ,a/4 ,b ,d ,b ,a ,,d |";italian7tab
12;;5v;Guerra d'Amore;;;OT;;none;"[,,d,a1] ,,c/ ,,d1 ,a [ab,,d] [ab/] [ab,,d] [bb,d] [,da,,d] [,da] [ab,,d/4] [ab/] :||: \
a1 [,d,,c3/2] ,b/ [,a,,,d1] ,d [,b,,a3/2] ,a/ [,,d,,d1]";italian7tab
13;;6r;Sopra il ten[or]e grande;;;OT;;none;"[dab,,d/] ,,a ,,b ,,d ,a ,,d ,,b ,,a ,,b ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,a \
,,,,,d ,,,,,c ,,,,,d ,,a ,,b ,,d ,a ,,b ,,d ,a";italian7tab
14;;6r;La Moresca;;;OT;;none;"[,,d,,c1] ,,,a/ [aacc,a1] ,,,c/4 || \
[,ab,,d1] [,ab/] [acd/4] [,ab,,d1] [acd,a3/4] \
[,d,a/4] ,c [aacc,a1] [aac/] [ab,,d] [,da,c1] \
[ab,,a/4] ,b ,,d [aac,,a3/2] ,,,c1 [acd,a3/2] [acd] :|";italian7tab
15;;6v;Sop[r]a il ten[or]e gr[and]e;;;OT;;none;"[ddff,d/] ,,d ,,f ,,g ,d ,,g ,,f ,,d [ddff,d] ,h d f h f d ,h \
[ddff,d] ,,d ,,f ,,g ,d ,,g ,,d ,,f";italian7tab
16;;7r;Contrapp[un]to sop[r]a il ten[o]re dell'Abb:;;;OT;;none;",,,,,a/ ,a ,,c/4 ,,a ,,c ,,d ,a ,,d ,,c ,,a ,,c ,,,c ,,a ,,c | \
[,,d,a/4] ,,c ,,d ,a ,c ,a ,c ,d";italian7tab
17;;7v;Contrapp[u]to sopra Il ten[o]re dell'abb:;;;OT;;none;a/ e/4 c e c a c e/ | f/4 e f e c e | f/ a/4 ,e a ,e ,c ,e a/;italian7tab
18;;8r;[sans titre];;;OT;;none;"[,ea,c1] [aabc] [dabc] [cdda] [aabc] [,ea,c] ,,a [,ea,c] [,ea,c] \
[aabc] [dabc] [cdda] [aabc] [,ea,c] ,,a [,ea,c] | \
[dab,,d1] [dab,,d] [dab,,d] [cdda] [ca,c]";italian7tab
19;;8r;tordiglione;;;OT;;none;"[aab,,d1] ,,,a/ ,,d [,ba,,d1] [,c,,a] [cdda] ,,d [aabc] \
,,,,,a/ d [c,,a1] [ab,,d] [caabc] ,,,b [,ab,,d] \
,,,a/ ,,d ,a ,c ,d a";italian7tab
20;;8r;[sans titre];;"""Gamba"" crossed out - cont'd on 8v ""gamba con la gagliarda"" and 9r (gagliarda crossed out)";OT;ConcR831;none;"[caabc1] [caabc] [caabc] [caabc] ,,,b/ d [caabc1] [aabc] [aabc/] ,c ,d a \
[cdda1] ,,d/ d [cdda1] [dab,,d] [dab,,d] [dab,,d] [cdda]";italian7tab
21;;9v;Bagn'Asciutto;;;OT;;none;"[aacc,a/] c [ea,c1] [ea,c] [ea,c] [fc,,a] [ea,c] ,,,,,a \
[ea,c] ,,,,,a [ea,c] [aacc/] c [ea,c,a1] [c,,,,c] [aa,,,e] \
[ac,,a] [caabc] ,,,b [caabc] [caabc/] d [caabc1] [caabc]";italian7tab
