PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;Cantate (staff);;;;;;
1;;1;Ariana del Monteuerde;;;;;;;
2a;;10;Echo di.te Pa. Parte;;;;;;;
2b;;14;Seconda parte con due repliche;;;;;;;
3;;20;Pa. Parte di.te;;;;;;;
4;;23;iovinetta;;;;;;;
5a;;24;Pa. Parte di.te;;;;;;;
5b;;25;2a. P.te;;;;;;;
5c;;26;3a. Parte;;;;;;;
5d;;27;4a et ult.a p.te;;;;;;;
6;;28;E d'amor;;;;;;;
7a;;29;Pa. Parte di.te;;;;;;;
7b;;30;2a. P.te;;;;;;;
7c;;32;3a. Parte;;;;;;;
7d;;33;4a et ult.a p.te;;;;;;;
8;;35;di.te;;;;;;;
9;;37;ol ci miei martiri [?];;;;;;;
10;;38;di.te;;;;;;;
11;;40;udite udite amanti;;;;;;;
12;;42;di.te;;;;;;;
13;;44;di.te;;;;;;;
14;;46;di.te;;;;;;;
15;;47;di.te;;;;;;;
16;;49;di.te;;;;;;;
17;;50;di.te;;;;;;;
18;;51;di.te;;;;;;;
19;;52;dì;;;;;;;
20;;54;O di soli d'Amore;;;;;;;
21;;56;Lettera d'Beleazaria heb.a a Tito Vespasiano;;;;;;;
22;;68;Cantata di  Gustavo Adolfo Re di Svetia morto in Guerra;;;;;;;
23;;80;Monaca Musica;;;;;;;
24;;93;Qual dentro l'arso core;;;;;;;
25;;95;Bell'humor è la mia dama;;;;;;;
26;;97;Qual dentro à l'arso core;;p.102 vacat;;;;;
;;;;27. Cadenze finali;;;;;;
27_1;;103;[Cadence_1];;;OT;;C;"[,daa{a}/] (,,,,,a/4 ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,d) ,,,a/ (,,,,d/4 ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a) | \
[,daa{a}/] {9} ,,a {8} ,,d {a} c ,b | [,aba,d2] {11} ||";italian7tab
27_2;;103;[Cadence_2];;;OT;;C;"[c,,a/] ,d d ,,,c [f,a] ,,,a ,,f ,,,f | \
[f,,e/] ,,,a [d,,,c] ,,,,,d [d,,a] {a} c ,b | [,aba,d2] {11} ||";italian7tab
27_3;;103;[Cadence_3];;;OT;;C;"[,daa{a}1],,,,a/ a [c,,a1] [d,,c] | [f,a1] ,,,a [d,f] ,,,,,d | \
[ddda1] {a} [cdd] ,,g | [ddf,,d2] {11} ||";italian7tab
27_4;;103;[Cadence_4];;;OT;;C;"[acdca1] ,,b/ ,,a ,,,c ,,,a ,,,,e ,,,,c | \
[acd,a/] ,,,,c ,,,,e ,,,,c [a,,,a] ,,,,,d ,,,,,c ,,,,,a | \
[,daa{a}1] {8} {9} {10} | [,aba{11}4] ||";italian7tab
27_5;;103;[Cadence_5];;;OT;;C;"[,c,,a1] [,d,,c] [a,,,e] [d,,,c] | [,c,,a1] [,,f,,d] [,,d,,c] [,,b,,a] | \
[,daa{a}1] [a{8}] [,d{9}] [,b{10}] | [,aba{11}4] ||";italian7tab
27_6;;103;[Cadence_6];;;OT;;C;[,daa{a}1] ,,b [,dba{a}/] ,,,a1 (a/4 c) | [,aba,d2] {11} || y y;italian7tab
27_7;;103;[Cadence_7];;;OT;;C;"[,aba,d1] ,b [,aba{11}/] ,a1 (,,,,a/4 ,,,,c) | \
[abb{8}4] | [,daa{a}/] ,,,c ,,a ,,,a ,,d ,,,,,a ,,,,,c {a} | \
[,aba,d4] ||";italian7tab
27_8;;104;[Cadence_8];;;OT;;C;"[,d,a/] {a} ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,d | \
,,,a/ ,,,,a ,,,,c ,,,,e ,,,a ,,,c ,,a ,,b | \
,,d/ ,,,a ,,,c ,,a ,,,f ,,,h ,,f ,,h |";italian7tab
27_9;;104;[Cadence_9];;;OT;;C;"y/ ,,,a ,,g ,,f ,,,h ,,,f ,,a ,,,c | \
,,,a/ ,d ,,,,d ,,,,c [a,,,a] ,,,,,d ,,,,,c ,,,,,a | \
[,daa{a}1] ,,b/ {9} [,daa{a}1] ,,a/ ,b | [,aba,d4] ||";italian7tab
27_10;;104;[Cadence_10];;;OT;;C;"[,daa{a}/] ,,b (,,d/4 ,,b ,,a) ,,,c ,,a1 (,,,e/4 ,,,c ,,,a ,,,,e) | \
,,,a/ (,,,,c ,,,,d/4 ,,,,c ,,,,a) ,,,,,d ,,,a/ {a} [,daa] ,b | \
[,aba,d4] ||";italian7tab
27_11;;104;[Cadence_11];;;OT;;C;"[,daa{a}1] a/ ,,,,a c ,,,a d ,,,c | [f,a1] [d,f] [d,d{a}] c | \
[,aba,d/] (,,,d/4 ,,,c ,,,a ,,,,d ,,,,c ,,,,a ,,,,,d2 ||";italian7tab
27_12;;104;[Cadence_12];;;OT;;C;[c,,a/] ,d d ,,,,c ,,,,d a [c,,,a1] | [,aba,d4] || y y y y;italian7tab
27_13;;104;[Cadence_13];;;OT;;C;[,daa{a}/] {9} ,,b {8} [,daa{a}1] ,,a | [,aba,d4] || y y y y;italian7tab
27_14;;105;[Cadence_14];;;OT;;C;[d,,c2] [c,,a1] a | [c,,a1] d d c | [,aba,d4] || y y y y;italian7tab
27_15;;105;[Cadence_15];;;OT;;C;"y2 [a,,,d1] ,d | [a,,,d1] c [d{8}] a | \
[,daa{a}1] ,,b [,dba{a}] ,,a | [,aba,d4] ||";italian7tab
27_16;;105;[Cadence_16];;;OT;;C;"[,daa{a}/] ,,,c ,,a ,,b ,,d ,,b ,,a ,,,c | \
[,daa{a}/] ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,,d ,,,,,c ,,,,,a | \
[,daa{a}1] ,,b [,aba{a}] ,,a | [,aba,d4] ||";italian7tab
27_17;;105;[Cadence_17];;;OT;;C;"[,daa{a}/] ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,,d ,,,,,c ,,,,,a | \
{a}/ ,,,c ,,a ,,b ,,d ,,b ,,a ,,,c | \
[,d,a1] ,,,,d/ ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a |";italian7tab
27_18;;105;[Cadence_18];;;OT;;C;"[acdca1] [,d,,,d/] ,,,,,c ,,,,,d ,,,,,a [,c,,a1] | \
[,daa{a}4] || y y y";italian7tab
27_19;;105;[Cadence_19];;;OT;;C;"[,c,,a1] [,d,,,d/4] (,,,,a ,,,,c) ,,,,,d ,,,,a/ {10} ,c ,,b | \
[,daa{a}4] || y y y";italian7tab
27_20;;105;[Cadence_20];;;OT;;C;[,c,,a1] [,da,,c/] ,,,,,d [add,a1] ,c | [,daa{a}4] || y y y y;italian7tab
27_21;;105;[Cadence_21];;;OT;;C;[acdca/] (d/4 c a) (,d ,c ,a ,c3/2 ,a/4 ,c) | [,daa{a}4] || y y;italian7tab
27_22;;105;[Cadence_22];;;OT;;C;[cdca1] [cd] [add{10}] ,c/ ,,b | [,daa{a}4] || y y y y;italian7tab
27_23;;106;[Cadence_23];;;OT;;C;[acdca1] [bd] [add{10}] ,c/ ,,b | [daa{a}4] || y y y y;italian7tab
27_24;;106;[Cadence_24];;;OT;;C;"[acdca/4] (d c a) (,d ,c ,a/) ,,,,a (,,,,,d/4 ,,,,,c ,,,,,a {a} {8} {9}) | \
[acd{10}/] ,,,,a [,d,,,c] {a} [add,a] {10} ,c ,,b | \
[,daa{a}4] ||";italian7tab
27_25;;106;[Cadence_25];;;OT;;C;"[ac,,a/] ,,d1 (,,b/4 ,,a) (,,,c ,,,a) ,,,,d3/2 (,,,d/4 ,,,c) | \
,,,,a/ (d/4 c a/) (,,b/4 ,,a) ,,,c/ [,a,a] ([,c,(c] [,d,d)]) |";italian7tab
27_26;;106;[Cadence_26];;;OT;;C;",,,,a1 f a [b,d] | [,c,c1] [,d,d] [add,a] ,c | \
[,daa{a}4] || y y y y";italian7tab
27_27;;106;[Cadence_27];;;OT;;C;",,,,a/ f d b a ,,d [cba] ,,,d | \
[,c,c/] ,,,,a ,,,,,d [,d,,,b] ,,,,,a {a} {8} {9} | \
[acd{10}1] ,d/ {9} [add{10}] ,,,,a ,c ,,b | [,daa{a}4] ||";italian7tab
27_28;;106;[Cadence_28];;;OT;;C;"[,cdc{10}/] a b d f ,,,c [d,,d] ,,b | \
,,d/ b ,,b a ,,,d ,d ,,,c ,,,a | [add,a1] [,c{10}/] [,a,a] [acdca1] ,,b | \
[,daa{a}4] ||";italian7tab
27_29;;106;[Cadence_29];;;OT;;C;"[acdca/] ,,,c ,,a ,,c ,,d ,,,,,a ,,,,,c ,,,,,e | \
,,,,a/ [,a,a] [,c,c] [,dcd] [a,b] [,d,d] [,c,c] [,a,a] | \
[,c,c/] ,,,,a [,d,,,b] {a} [aba,d] {10} ,c ,b | [,daa{a}4] ||";italian7tab
27_30;;107;[Cadence_30];;;OT;;C;"[acd{10}/] ,,,,a ,,,,c ,,,,e ,,,a ,,,c ,,a ,,c | \
,,d/ ,,,c ,,a ,,,g ,,,h ,,,g h g | \
[ffh,a/] ,,,f/4 ,,a a ,,,a ,,i/";italian7tab
27_31;;107;[Cadence_31];;;OT;;C;"[,aabc1] ,,,c/4 (,,a ,,b/) [aaa{9}1] ,,,b/ ,,d | \
[aacc,a4] || y y y y";italian7tab
27_32;;107;[Cadence_32];;;OT;;C;",,,,c3/4 (c/4 d3/4 a/4 c3/4) [,e,e/] ([,f,(f3/4] [,c,c)/4]) | \
[,e,e3/4] ,,,,,c/4 a/ ,,,,,d ,,,,,a [aaac] ,,,b ,,d | \
[aacc,a4] ||";italian7tab
27_33;;107;[Cadence_33];;;OT;;C;"{9}/ ,,f ,,d ,,b ,,a ,,,c ,,,b ,,,,e | \
,,,b/ ,,,,c ,,,,a ,,,,,d [a,,,,c] ,,,,,c {a} {8} | \
[aaa{9}/] {10} ,,,b ,c [,aab{9}1] (,,c/ ,,d) | [aacc,a4] ||";italian7tab
