PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;5v;1. Preludio, principio di Sonare, per D;;;Guitar;;none;",,c/4 [ab] a ,,c ,,a [ab] a ,,a ,,,d [ab] a ,,,d ,,,c [ab] a ,,,c | \
,,,a/4 [ab] a ,,,a ,,,,d [ab] a ,,,,d ,,,,c";italian7tab
2a;;5v;2. Pastorale per C;;;Guitar;;none;"[cd/4] [cd] a [cd] ,,a ,d ,,,,a (,d ,c) ,,,a | \
f/4 c d f/8 c a ,d ,,,,a (,d ,c) ,,,a |";italian7tab
2b;;6r;Canto;;;Guitar;;none;f/ f d c a [cd] ,,,a [cd] | f/ f d c a ,d [acc] ,,,,a [acc] |;italian7tab
2c;;6r;Canto;;;Guitar;;none;"a/ c d c d f d c a [cd] ,,,a | \
f/ h f d f d c a ,d [acc] ,,,,a |";italian7tab
3a;;6v;3. Sfaciata, seu pastorale per B;;;Guitar;;none;",b/4 ,d [dbdcd] ,,,,d ,a ,b ,d [dbac] ,,,,c c b a ,d ,b ,a ,,a ,,c ,a [cbac] ,,,,d | \
[db] d [db] d ,,,c [db] d [db]";italian7tab
3b;;6v;Canto;;;Guitar;;none;"d/8 b d f d f d b d b ,b d b d ,d a b d b a ,b \
d b a ,d ,b ,a ,,a ,,c ,,e [dbac] |";italian7tab
4a;;7r;4. Ciaccone per B;;;Guitar;;none;"d/4 b a ,,,,d ,,,,c ,,,,a ,,,a ,,,c ,,,d ,,c ,,a ,,,d ,,,c ,,,a ,,,,d | \
[dbac] d [dbac] ,,,,c [db] ,,,,a ,,d ,,c ,,a";italian7tab
4b;;7r;Canto;;;Guitar;;none;"d/ d f d b d f d b a ,b | \
a/ b d b a ,d ,b ,d ,e ,d ,a ,b ,,,,d |";italian7tab
5a;;7v;5. Zincara per I;;;Guitar;;none;"[acc/4] ,,,,a [acc] [cdc] ,,,a [cdc] [aabc] ,,,,,a ,,b [acc] ,,,,a [acc] | \
,,,c/8 ,,,,e ,,,c ,,,e ,,,,f ,,,e ,,,g ,,,,h \
,,,g ,,,h ,,,,,f ,,,h";italian7tab
5b;;7v;Canto;;;Guitar;;none;",,b/4 ,,c ,a ,c a ,e ,a ,c [ce] ,c ,e [aabc] ,,,,,a [aabc] | \
,c/4 ,d a c a ,d a ,d c a ,d [acc] ,,,,a [acc] |";italian7tab
6;;8r;6. Spagnioletta per E;;;Guitar;;none;",d/4 ,c ,,,a d b ,,,,d ,,,a ,,,c [bbc] ,,,c [bbc] | \
,d ,b ,,c ,,,d ,,c ,,d ,,,,b ,,d ,,,c";italian7tab
7a;;8r;7. Zoppa per E;;;Guitar;;none;"[bdc/4] ,,,a [bdc] d b [dbac] ,,,,d [dbac] | \
[bdc/4] ,,,a b a ,d [acc] ,,,,a [acc] | [bbc] ,,,d [bbc] d";italian7tab
7b;;8r;Partita;;;Guitar;;none;"f/4 d b f d b [dbac] ,,,,d [dbac] | \
d/4 b a ,d b a ,d [acc] ,,,,a [acc] |";italian7tab
