PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Taken from D. Fabris, Fontes Artis Musicae, Vol 29 No 3 (1982) pp 103-121;;;;;;;
1;;;Bergamasco;;;OT;;;;italian7tab
2;;;Gelosia;;;OT;;;;italian7tab
3;;;Valand(?);;;OT;;;;italian7tab
4;;;Paesana;;;OT;;;;italian7tab
5;;;Bianco fior;;;OT;;;;italian7tab
6;;;Basso;;;OT;;;;italian7tab
7;;;Guera;;;OT;;;;italian7tab
8;;;Gigua;;;OT;;;;italian7tab
9;;;Minuetto;;;OT;;;;italian7tab
10;;;Bel flour;;;OT;;;;italian7tab
11;;;Alemanda;;;OT;;;;italian7tab
12;;;Valtz;;;OT;;;;italian7tab
13;;;Ballo di Mantoa;;;OT;;;;italian7tab
14;;;La Speranza;;;OT;;;;italian7tab
15;;;Ballo dei turchi;;;OT;;;;italian7tab
16;;;Chiacona;;;OT;;;;italian7tab
17;;;Pastorella;;;OT;;;;italian7tab
18;;;Si sona;;;OT;;;;italian7tab
19;;;Minuetto;;;OT;;;;italian7tab
20;;;Dans novel';;;OT;;;;italian7tab
