PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Monsieur der onver(?) gentilhomme /  françois / a Romme;;;;;
1;;1r;[fantasia];;Francesco?;OT;ConcR310;C;"[fda,,,a1] | [cdda/] ,d/4 a c d f/ ,,d ,,a ,,,a/4 ,,,c ,,a ,,b | \
,,d/ ,,,,a ,,,,,c ,,,,,,a ,,d/4 ,,b ,,a \
,,,c ,,,a ,,,,d ,,,,c ,,,,a |";italian7tab
2;;2r;[fantasia];;;OT;;C;",a1 ,,d | [aabc,a/] ,,,,c ,,,,,d ,,,,c ,,,,,a/4 ,,b ,,d \
,a ,c ,d a c d/ ,,,c ,,b ,,,c ,a/4 ,,,c ,,,a ,,,,d \
,,,,c ,,,,a ,,,,,d ,,,,,c |";italian7tab
3;;4r;[toccata];;;OT;;C;"[aabc,a/4] h d f h d a c d ,d ,a ,c ,d ,a ,,b ,,d ,a ,,b \
,,,c ,,a ,,b ,,,c ,,,,d ,,,a ,,,c";italian7tab
4;;5r;[toccata];;Laurencini?;OT;;C;"[aabc,a/4] h f d c a ,d ,c ,a ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,e \
,,,a ,,,c d b a ,d ,c ,a ,,d ,,b";italian7tab
5;;6v;[toccata];;;OT;;C;",,,,,a1 ,,,c/ ,,,b ,,,c ,,a ,,b ,,d ,a ,c ,d ,c ,a ,,d \
,,b/4 ,,a ,,,c ,,,b |";italian7tab
6;;7r;sans titre;;;OT;ConcR2403;none;"%%tabfirstflag 0
,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,e ,,,a ,,,c ,,a ,,b ,,d ,a ,c ,d a c | \
d ,a ,,d ,,b ,,a";italian7tab
7;;7v;sans titre;;;OT;;C;"[aabc,a/4] h f d c a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,b ,,,c ,,a | \
,,b ,,,c ,,,a ,,,,e";italian7tab
8;;8v;[gagliarda];;;OT;ConcR2406;3;",a1 ,c | [,daac2] ,,,,,,a1 ,,b [,,a,c] ,,,c | \
[,daac2] [acdca] ,c | [,ddef2] ,,,,,,d [dddef] | \
[h,,f2] ,,f [df,c] | [fc,e2] ,,d [cdda] |";italian7tab
9;;9v;[gagliarda];;f.  10v Empty;OT;ConcR1123;3;"[fdaa2] d1 c [h,,f2] | [fdaa2] [,cdda] [,ddef] | \
[ddbac1] c [abbcd2] [f,,,a1] d | [cdda2] ,,,,,,d ,,,a | \
[,daac1] ,c [,abacd2] [aabcca1] ,d |";italian7tab
10;;11r;[toccata];;;OT;;C;"h/ h/4 f e h | a3/4 a/4 a ,d ,c a ,a3/4 ,,,c/4 ,,,c ,,,a ,,,,e ,,,c | \
,,,,a3/4 a/4 a ,d ,c a";italian7tab
11;;11v;[toccata];;;OT;;C;"[aacc1] h/4 e f h | a1 a/4 ,c ,e a ,a1 ,,,c/4 ,,,,e ,,,a ,,,c | \
,,,,a1 a/4 ,c ,e a ,e1";italian7tab
12;;11v;[toccata];;;OT;;C;"[aacc1] a/4 c e a | h1 ,a/4 ,c ,e ,a a1 ,,,c/4 ,,a ,,c ,,,c | \
,,d1 ,,,,a/4 ,,,,c ,,,,e ,,,,a ,,,,c1";italian7tab
13;;12r;[toccata];;;OT;;C;"[aacc/] h/4 f e c e a | \
h/ a/4 ,d,c ,a ,c ,a a/ ,a/4 ,,d ,,c ,,a ,,c ,,,c |";italian7tab
14;;12v;[toccata];;;OT;;C;"[aacc/] h/4 k e/ f/4 h | \
a/ c/4 a ,c/ ,d/4 a ,a/ ,,,c/4 ,,,e ,,,,e/ ,,,a/4 ,,,c |";italian7tab
15;;13r;[toccata];;;OT;;C;"[aacc/4] h e f h f e c | a/4 ,a ,,c ,,d ,a ,,d ,,c \
,,a ,,,c ,,,a ,,,c ,,,a ,,,c ,,,a ,,,,e ,,,,c |";italian7tab
16;;13v;[fantasia sull'aria di fiorenza;;;OT;;C;"[cdda2] ,,,,,,a1 d [cdd] ,,,a [add,a] ,c | \
[,daac2] h1 ,,,,e ,,,a ,,,,c [fdde] ,,,,,c | \
[d,,,,d1] ,,g ,,f [,,d,,c] [,,b,,a] c [acd,a] d |";italian7tab
17;;15r;[gagliarda];;;OT;;3;"[bbdd2] [ede,b] [dfg,d] | [fggd3] g1 f ,g | \
[dfg1] ,,,,c [bdda] ,,,,,,a ,,,,,b [a,b,,d/] ,d | \
[,cdca1] ,,b/ ,,,d ,,,c ,,,a";italian7tab
18;;16r;[gagliarda];;;OT;;3;"[,ddef2] [acd,a] [cdda] | [ddf,,d3] f1 h2 | \
[if,f,e1] h [fh,a] ,i [f,,,,,a] ,h | \
[ddf,,d2] ,,,f1 ,,g ,,f ,,,,,d |";italian7tab
19;;16v;[gagliarda];;;OT;ConcR1578;3;",c1 ,d a | [cdda2] [ddff] [acd,a] | \
[cdda2] ,,,,,,a1 ,c ,d a | [cdda2] [cdde] [ea,c] | \
,,,,a2 [fdd1] d [c,,a] a |";italian7tab
20;;17v;[gagliarda];;;OT;;3;"[dfg3/2] ,,f/ [,bd3/2] d/ [c,,a3/2] f/ | \
[ddff2] ,,,,,d1 ,,g ,,f ,,,f [f,,h/] h i f [h,,f2] [f,dd1] h |";italian7tab
21;;18r;[contrapunto su tenor];;;OT;;C;"[c,,a/4] a c d [f,a] d c a [c,,a] a c ,d [a,,,a] ,d a ,c | \
[,d,,c/4] ,a ,c ,d [,d,,c] a c d";italian7tab
22;;19r;[gagliarda];;;OT;ConcR1590;3;",,d1 [,d,a] [a,,,a] | [cdd,,,a1] a/ c ,d1 ,,d [,d,a] [a,,,a] | \
[cdd,,,a1] a/ c ,d1 [fdde] [ddff2] | [caaa1] ,d/ a c d";italian7tab
23;;19r;[corrente];;;OT;;3;"[,ddef2] | [,dda2] ,,,,,,a1 | [,,da1] ,d/ a c1 | \
[,da,c2] [,,d,,c1] | [,d,,,,a/] ,c ,d a c a | \
[,d,,,d3/2] a/ [,c,,a1] |";italian7tab
24;;19v;[corrente];;;OT;ConcR2355;3;",,d/ ,,b ,,a ,,,c | [,,aa,,a1] ,,,c/ ,,a ,,,a1 | \
,,,,,,a1 ,,b/ ,,a ,,b ,,d | [,aba,d1] ,,d/ ,a ,,b1 | \
,,,,,d1 ,,d/ ,,b ,,a ,,,c |";italian7tab
25;;20r;[gagliarda];;;OT;;3;"[,dddf2] [,dedb] [abb,d] | [bbdd2] ,,,,,b1 a b d | \
f1 [,,dd] [db,c] ,,,,d [,dda2] | [abd,a2] ,,,c1 ,d ,b ,a |";italian7tab
26;;20v;[gagliarda];;;OT;ConcR2407;3;"[,,dca2] [,,dc1] [,,dca2] [,a,,,a1] | \
[,cdca3] ,c1 [,d,,a] [a,,,,e] | \
[ccd,,c3/2] a/ c1 [f,,,e] [e,,,a] [c,,,c] | \
[,ghge1] ,,,g ,,h ,h ,g ,e |";italian7tab
