PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Taken from Coelho (1995);;;;;;;
1;;1r;[Fantasia];;;OT;;none;",,,e2 ,,,,c ,,,f3 ,,,f1 ,,,f2 ,,,f [,c,e1] ,,,c \
,,,,e/ ,,,a ,,,c ,,,,e [,,aa1] ,,,c ,,,a ,,,,e";italian7tab
2;;3r;[Canzona];;;OT;;none;"h2 h1 h e2 k [hf1] f [ef] [af] [fc2] [fh] [ef1] ,d ,c ,a \
[fc] ,e [ef] ,c";italian7tab
3;;5v;[Toccata];;;OT;;none;"[aacc,a4] [aacc,a2] [aacc,a] [acd,a3] ,,,,,e1 ,,,,a ,,,,c ,,,,e ,,,,a \
[,ea,c2] [aa,,,e] [a,a,a] [aaa,c1] ,e";italian7tab
4;;6r;[Toccata];;;OT;;none;[aacc,a3] c1 e f h e f h f e c a ,e ,c ,e ,a a ,d ,c ,e ,a ,e;italian7tab
5;;6v;Sans titre;;;OT;;none;",c2 ,,a [,df] [,cee] [dffc] [cd,,c1] ,,a [fca,e2] [ec,de] \
[c,ee,c] [,efec/] a c ,e [acd,a] ,c ,d a [ccd,,c] e f c";italian7tab
6;;7v;[Anchor che col partire];;;OT;ConcR492;none;",,a2 c ,,d a1 ,,c ,,d ,c [,df2] [acd] [ccd,,c] [,cd,e] a1 [,,d,e] \
[,,aa/] ,,c ,,d ,,a ,,c ,,d ,a ,,c";italian7tab
7;;8v;[Toccata];;;OT;;none;"[ccdeec2] [ccdeec] c1 ,c ,,d ,,,e ,,,,e ,,,,a ,,,,,c2 \
[ccdeec1] k f h/ k f c e f ,c ,,d ,a ,c ,,d ,,a ,,c ,,d \
,,,e ,,,a ,,,c ,,,e";italian7tab
8;;11v;[Canzona / Fantasia];;ff. 12v-13r empty;OT;;C;"h1 h/ h h1 h | k3/2 h/ f1 e | c/ a ,d a c e f c | \
[ef1] ,f/ ,f ,f1 [hf] |";italian7tab
9;;13v;[Suzanne ung jour];;;OT;;none;",d4 b2 ,d ,,e [d,b] [fd] ,,,a [f,dd] ,,,,f1 ,,,,d [,,eab] ,,,,c [,,e,,c] ,,,a \
[,dddf/] a b d f ,,,,d ,,,a ,,,c [f,dd] h i f \
[h,ffh] k l h";italian7tab
10;;16v;[variations on an Aria];;;OT;;none;"[cda,c4] [cda,c2] [a,d,e] [cdda] {d}1 d c2 [cdda] [aabc] \
[abb,d] [cefec4] [cda,c] [cda,c2] [a,d,e]";italian7tab
11;;17v;[Fantasia];;;OT;ConcR357;none;",a4 ,a2 ,c [cd3] ,c1 [ca2] e [f,a] ,,d1 e c ,,c ,,d ,a \
[ac] ,d a ,c [,df,c] ,c ,d a";italian7tab
12;;18r;[Fantasia];;;OT;;none;"f2 c1 h2 f e1 [fd] c [ha] [df] c ,d a ,c \
[cd] a c d [fcd] a [cca] [cdf]";italian7tab
13;;19r;[Fantasia];;ff. 19v-20r empty;OT;;none;",,,e4 ,,,e2 ,,,a ,,,f3 ,,,e1 [,a,c] ,,,a ,,,c ,,,,c \
[,a,a/] ,,,c ,,,e ,,,a [,,bc] ,,,a ,,,,d ,,,,c [,b,,a] ,,,,c ,,,,d ,,,,a \
,,,c1 ,a";italian7tab
14;;20v;[Toccata];;f. 21r empty;OT;;none;"[aabc,a/] h f d c a ,d ,c ,a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,a ,,,,e ,,,,c ,,,,a \
,,,,,d ,,,,,c ,,,,,a ,,,,,c ,,,,,d ,,,,a ,,,,c ,,,,e \
,,,a ,,,,c ,,,,e ,,,a";italian7tab
15;;21v;Sans titre;;f. 23r empty;OT;cf. f. 29r;none;"[cda,c4] [cca,b] [cdfec1] ,c ,d ,a c ,,,,e ,,,a ,,,,c \
[cdde,c] ,,c ,,d ,,a ,c ,,,,,e ,,,,a ,,,,,c";italian7tab
16;;23v;[Canzona];;;OT;;none;",,a4 ,,a2 ,,a [,a,c] ,,,a [,ab] ,a [c,de] [,,de] [cdf] \
c1 [,cd] [aab2] [,dde] [da1] ,,,c ,,,c2";italian7tab
17;;24v;[Continuation?];;f. 25r empty;OT;;none;"[dabc1] ,,,a ,,,c ,,,e [ddff] ,,,,,d ,,,,c ,,,,e \
[,ddef] ,d c d f ,,,a ,,a ,,b";italian7tab
18;;25v;Sans titre;;;OT;;none;"[,abcc/] ,,,b ,,,c [c,ab] ,,,c ,,,b ,,,,e ,,,b [da,c,a] \
,,,,,c ,,,,,d ,,,,,a [cdfec] ,,,,a ,,,,,d ,,,,,c \
[,abc,a] a c a c a ,d a [cdfec] ,,f ,,d ,,b ,,a ,,,c ,,,a ,,,,e";italian7tab
19;;26v;[Gagliarda La Passionata, section A];;;OT;ConcR467;none;"[,dda{a}2] [,dda1] [,dda{a}2] [,dda1] [,dda{a}] ,a/ ,c ,d a b d \
f1 ,,,d [da,c] [b,,a] [a,d,d] ,,,,a [,d,,b] ,,b";italian7tab
