PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;sans titre;;;OT;Conc_3638;C;"[,daa,,a2] a | [,,aaa,a2] [c,d] | [ddf{11}2] [acd{10}1] ,,b | \
[,daa,,a2] ,,,,a1 [,d,a] || [,daa,,a1] a [,,aa] ,,c | \
[cdd{a}2] [a,d{8}] | [f,fa{9}2] [a,c1] [,a,a] |";italian7tab
2;;2r;sans titre;;;OT;ConcR2790;C;"[,daa{a}3/2] a/ [,,aa1] [,,bc] | [,,da{a}3/2] ,,a/ [,,bc1] [c,d] | \
[,,fa{11}3/2] [,c,,a/] [,d,,c1] [acd,a] | \
[,daa{a}2] ,,,,a1 [,d,a] :||:";italian7tab
3;;2v;sans titre;;;OT;ConcR2791;C;"[cdd{a}1] d [c,d] [a,b] | [,,aa1] [,b,c] [,a,a] [,ba,a] | \
[,ab,,d/] ,,a [,,bc] [,,aa] [ac,,a] [,d,,c] [ad,,a] [ac{10}] | \
[,daa{a}2] ,,,,a1 [,d,a] :||:";italian7tab
4;;3r;sans titre;;;OT;ConcR2792;C;"[,daa{a}1] ,,b [cdca2] | \
[,,bac/] ,,a [,,bcd1] [f,g,a/] ,,f [c,da1] | \
[,,fa,d1] [,,a,a/] a [,da,c1] [acd,a/] ,,b | \
[,daa{a}2] ,,,,a1 [,d,a] :||:";italian7tab
5;;4r;sans titre;;;OT;ConcR2793;C;",,d2 [,daa{a}] | \
,,b1 [,(yd/4] ,,b ,,a [,,y)c] [,da{a}/] ,,b (,,d/4 ,,b ,,a/) | \
[,a,a{11}1] ,c/ (,d/4 ,c ,a/) [add{10}] ,c ,,b |";italian7tab
6;;4v;sans titre;;;OT;ConcR2794;C;"[c,d{a}1] [d,,c/] a d1 [c,,a/] ,,,,c | \
d1 [a,,,d/] ,,,,a c1 [,d,,c/] ,,,,,d | \
a/ [,c,,a] ,,,,,c ,d ,,,,,d [ad,,a1] ,c/ |";italian7tab
7;;5r;sans titre;;;OT;ConcR2795;C;",,d/ ,,f ,,a/4 ,,c [,,da1] [d,,c/] [,d,,c/4] [a,,,e] [c,,a/] | \
[a,,,d/4] c [,,bac/] [,,d,a/4] ,,f [f,g,a/] ,,f [c,d1] ,b/ |";italian7tab
8;;6r;sans titre;;f. 7v empty;OT;ConcR2796;C;"[bddaa4] | f/ b ,d ,,d ,,,d ,,,a ,,,,a ,,,,,b | \
,,,,,d/ ,,,,a ,,,a {a} [bdda2] | \
(,,,a/8 ,,,c ,,,d ,,,c ,,,d ,,,c ,,,d ,,,c ,,,a) ,,,,e1";italian7tab
9;;8r;sans titre;;;OT;;3;"(,,,c/ ,,,a) ,,,,d1 ,,,,,d | ,,,,d1 a/ b d a | \
[b,,a1] ,,a/ ,,c ,,d ,,f | [aacc2] ,,,,,a1 | \
[a,,,,d/] b d1 d |";italian7tab
10;;8v;sans titre;;;OT;;3;"z2 c1 | [c,,a3/2] ,d/4 a c1 | [a,,,a1] ,c ,,d | \
[,,d{a}1] ,,,,,a ,,,,,c | [,a,,,d/] ,c ,d a c d | \
[a,,,a1] ,c [,d,,c] |";italian7tab
11;;8v;sans titre;;fragment;OT;;3;"[c,,a/] d c a ,d ,b | [,a,,,d/] ,,,,a ,,,,,d ,,,,,c ,,,,,a {a} | \
{8}/ {9} {10} ,d a ,c | [cdda1] {a} [cdd] :||";italian7tab
12;;9r;Cara cosa;;;OT;ConcR202;3;"[b,,a1] [d,,c] [,,dd] | [bdda1] {a} ,,,,,a | \
[,d,,,b1] [a,,,,d] ,d | [acd,a2] {10}1 | \
[d,,c1] b a | [bdda3/2] d/ b1 | [bdda1] [acd,a2] | \
[,d,a2] {a}1 :||:";italian7tab
13;;9v;sans titre;;;OT;;3;"[b,,a/] a b d ,,d1 | [,,dd2] [d,,c1] | [b,,a/] a b d b1 | \
[acd,a2] {10}1 | [d,,c1] a/ b d a |";italian7tab
14;;10r;Amor per che;;;OT;;C;"z3 a1 | [,b,,a1] [,a,,,d] [,b,,,b] ,d | \
[a,b,d3/2] ,d/ [,b,,a1] [a,,,d] | \
[b,,a1] [d,,c] [,,dd3/2] ,,f/ | [aacc2] ,,,,,a1 ::||: \
[aab,,a1] | [ab,,a1] [ab,,a] [dd,,c] [dd,,c] |";italian7tab
15;;10v;"Arie ""…ella""";;;OT;;C;"z1 ,b/ ,d [a,,,d] d [b,,,,b] a | \
[,d,,,d/] ,b [,d,,,b] [a,,,,a] [b{a}] ,d [d,,,,d] b | \
[ad,,a1] ,c [,d,a{a}] ,,,,a |";italian7tab
16;;11r;Prova d'autore;;f. 11v-12r listings;OT;;C;"z1 [d,,,d/] b [a,,,d1] [,d,,,d] | \
[a,,,d/] ,d ,b ,a [,a{a}1] ,,,,a | \
,,,,,d/ ,,,,a ,a ,b ,d a [b{a}] a |";italian7tab
17;;12v;Tocatta;;;OT;;none;"{10} ,,,,a ,,,c ,,d ,b [a{c}] [abdca{a}] ,,,,,e ,,f ,a \
[a{c}] [aaf,,e] [,df,,e] [,df,,e] ,d ,b ,a [abdca] [db,,a]";italian7tab
