PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Taken from Coelho (1995);;;;;;;
1a;;1r;La Milanesa in quarto t[uon]o;;;OT;;C;",c/ ,d a | [caa,c3/2] a/ ,d1 ,,,,e | ,,,a1 ,,,,c [aa,,e] ,,e | \
[caa,c1] f/ d c a ,d ,c |";italian7tab
1b;;1v;La sua Gagliarda;;;OT;;3;",c1 ,d a | [caa,c2] [caa1] ,,,c ,,,a ,,,,e | [caa,c1] a ,d c a ,d | \
[acdca2] [acd1] ,,,a ,,,,e ,,,,c |";italian7tab
2a;;2r;La Paganina;;;OT;ConcR1585;C;",,b1 ,,a ,,,c | [cdda1] {a} [cdd] f/ d | [c,,a1] [,da,c] [a,,,d] [c,,a] | \
[dab,,d1] ,,,a [dab] a/ c |";italian7tab
2b;;2v;La sua gagliarda;;;OT;;3;",,b1 ,,a ,,,c | [cdda2] {a}1 a c d | [fdaa3/2] d/ c1 [,d,,c] [a,,,d] [c,,a] | \
[dab,,d2] ,,,a1 ,,d ,,b ,,a |";italian7tab
3;;3r;Bal del Capel in bassi;;;OT;;6/4;"[acdca1] | [cdda{a}3/2] a/ c1 [c,,a3/2] a/ ,d1 | \
[acdca2] ,,,c1 [acd2] f/ d | [c,,a2] [a,,,e1] [,da,c2] ,,c1 |";italian7tab
4;;3v;Bal de gran Ducha;;;OT;ConcR1224;3;"[cdda/] ,c ,d a [cdda1] [acdca] | [,daac/] ,c ,d a [,daac1] [,,daac] | \
[,aba,d3/2] ,c/ ,d a [acdca1] |";italian7tab
5;;4r;Il Bal Francese;;;OT;;3;"f/ d | [c,,a3/2] a/ c1 | [a,,,d1] [,d,,c] [,b,,a] | \
[,ab,,d2] ,,,a1 | [,ab3/2] d/ b1 |";italian7tab
6;;4v;La padoana della Milanesa alla Venetiana in Basso;;;OT;;C|;"[acd,a/] ,a ,c ,d | a/ ,d ,c ,a | [acd,a/] ,a ,c ,d | \
a/ c d a | [cdda/] a c d |";italian7tab
7;;5r;Il Prima Gagliarda;;;OT;;3;"[,daa{a}1] a c d [fdaa2] | ,,,,c1 ,d ,,,,d a {a} c | \
[dab,,d1] c d f [ha,f2] |";italian7tab
8;;5v;Seconda Gagliarda;;;OT;;3;",,b1 ,,a ,,,c | [cdd{a}2] [cdd1] ,a/ ,c ,d a c d | \
[fdaa{a}3/2] d/ c1 [,db,c] [ab,,d] [c,,a] |";italian7tab
9;;6r;La Rizzolina;;;OT;;C;f/ d c a | [cdda1] {a} a/ c d a | [cdda1] {a} a/ c d f |;italian7tab
10;;6v;[C]orrente N. 1;;;OT;;3;",a/ ,c | [,d,,c1] a [c,,,a] | [,a,,,d1] ,c/ ,d [a,,,,a] ,d | \
[caabc2] [c{a}1] |";italian7tab
11;;7r;[…] Corente N. 2;;inverted Italian tablature;OT;ConcR2799;3;f1 | [bd,a1] [a] [bd] | [bd,,b1] [bd,,,d] a |;italian7tab
12;;8v;[Corente];;;OT;ConcR2799;3;"f1 | [b,,da1] {a} [b,d] | [bd,,b1] [bd,,,d] a | \
[ad,,a1] ,d/ ,c ,d1 |";italian7tab
