PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;B dur;1v;Courente;;;Old Tuning;Conc_103;3;",,,a1 | ,,b1 ,,,,,d [,,ba] | \
,,d1 {a}/ ,a ,b ,d | ,a1 ,,,,,d ,,,a | [,ab2] ,d1 | "
2;B dur;2v;Courente;;;Old Tuning;;3;",d1 | [,daa{a}2] ,b/ | [,aba,d2] ,b/ ,d | \
[a{,a}1] ,,,,d b/ a | [,d,a1] [,bbc] ,,,e | "
3;B dur;3v;Courente;;;Old Tuning;;3;",d1 | [ddf,,d1]> f h1 | [h,,f1] [fh,,f] ,,g | \
[ddf,,d1] ,,g [,dd,,c] | [aab,,a1]> c d1 | "
4;C dur;4v;Courente;;;Old Tuning;Conc_3464;3;",,,c1 | [,,dca1] {,,,a}/ ,a ,,d1 | \
[,acc,a1] ,,,c/ ,c ,d a | [,c,,a1] {,,,a} ,,,c | \
[,cdc2] [,a,,,e1] | "
5;C dur;5v;Courente;;;Old Tuning;Conc_3470;3;",c/ | [,cd,a1]> ,d ,c1 | [,a,,,a1] ,,d [,,cc] | \
[ccd,,c1] ,,,,e ,,,e | [ccd1] ,,,,,a {a} | \
{,a}1 ,,,,e [a,d] | "
6;f moll;6v;Courente;;Belle voyant votre douceur;Old Tuning;Conc_3504;3;",d1 | [,dda{a}1]> a b1 | ,,,a/ b [a,,c1] [,d,d/] ,,b | \
[,bd1] ,,,,a [,,e,,d] | [,,d,,b1] ,,,d b | "
7;f moll;7v;Courente;;;Old Tuning;Conc_3505;3;"f1 | [fdddf3] | [b,,a] ,d [f,,d] | \
[dfg1] f [bd] | [a,d1] ,b [,db/] a | \
b1 ,,,d [bbd] | "
8;c moll;8v;Courente;;PAN 4.029;Old Tuning;Conc_356;3;"f | [ffg,a1] h f | [da,,,a1] ,b [bd{a}] | \
[af{,a}1]> ,g ,f1 | [,f,,d1] [,d,,,d] ,f/ ,d | "
9;c moll;9v;Courente;;;Old Tuning;;3;",,d1 | [,,dca3] | [,a,,,e1] ,,,c/ ,b ,d ,a | \
[,b,,a1] [,,dc] [a,c] | [abd{,,,a}1]> a c/ e | "
10;g moll;10r;Courente;;;Old Tuning;Conc_3506;3;",a | [,,b,,a1] ,,,c [,a,,,d] | [,c,,a] ,e a | \
[,ea{,,a}1] a c | a1 ,,,,,a ,a | ,b1 [,,a{a}] ,a | "
11;g moll;10v;Courente;;;Old Tuning;Conc_3507;3;",a1 | [,abc,a1] {a} {,a} | [,a,c{,,a}1] ,,,b ,,d | \
[,abc1] ,,,,,a ,,,,c | [,abc1]> ,a ,c/ ,e | \
a1 ,,,,,a {a} |"
12;F dur;11v;Sarabande;;;Old Tuning;ConcR3104;3;"{a}1 | [,daa2] ,,,,,a1 | [aab2] ,,,,,c1 | \
[cce2] {,,a}1 | ,d1 ,,f ,,,,,a | [dff1] ,,,,e f | \
{a}1 [cdd] {,a} | "
13;d moll;12v;Courente;;;Old Tuning;Conc_278;3;",a/ | [,aaac1] {,,a}1 ,c3/4 ,a/4 | \
,,e1 ,,,e ,,,c | [,a,a1] ,c/ ,,,,e [,d,,c1] | \
[,cfe1] ,,e ,,,,,c | "
14;d moll;13v;Courente;;;Old Tuning;;3;"[,df1] a [c,d] | [a,b1] [c,a] [d,,c] \
 | [caa,c1] {,,a}/ a ,d ,c | [,a,f1] ,d a | \
[ccd,,c3/2]"
