PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Laus Deo;;;OT;ConcR161;none;"f/ c ,d ,,d ,,a ,,,a ,,,,a ,,,,,c {a} | \
f c d a c ,d a ,c ,d ,a ,c ,,d ,a ,,b ,,d ,,a ,,b";italian7tab
2;;1v;[No title];;;OT;Conc_3465;none;"f/ f f d a b d d b ,d a [bd] [bd] [ab] ,,d ,a [abd] [abd] [aab] \
,,,c ,,a [,,bc] [,,bc] [,bdd]";italian7tab
3;;2v;[No title];;;OT;;none;"a/ d [da,c] [cdf] c [fc,e] f [fc,e] [acd] [ce,e] \
[df,c] [df,c] [cef] [cea] [a,,c] [acd] [acd] [acd] \
[cd,a] ,,,c [cd,e] ,,c";italian7tab
4;;3r;[No title];;;OT;;none;"[aabc,a/] ,d ,,,b ,,a [aabc,a] ,,,a [a,,,d] ,,,,c [abd,a] ,d ,b ,a \
[abd,a] ,,,,c ,,,,d ,,,a [aabc,a] ,,d ,,b ,,a \
[aabc,a] ,,,,,c ,,,,,d ,,,,a";italian7tab
5;;4v;[No title];;;OT;ConcR3710;none;"f  b ,d [b,d] d [f,,d] ,,,a [f,,d] [a,b] d [b,d] \
[,,,ca] [,,,ab] ,,,,,d [,,,ab] [a,,,d] d [b,,a] ,,,c ,,,d ,,b \
[abd] ,a ,b ,d";italian7tab
6;;5v;[No title];;;OT;ConcR3711;none;"[aabc,a/] l k h k h f h f d f d c d c a c a ,d \
a ,d ,c ,d ,c ,a ,c ,a";italian7tab
7;;6r;[No title];;;OT;ConcR3712;none;"a/ c d f h f d c a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,a ,,,,e ,,,,c ,,,,a \
,,,,,d ,,,,,c ,,,,,a ,,,,,c ,,,,,d";italian7tab
8;;6v;[No title];;;OT;ConcR3713;none;[aabc,a/] c d a h k l f h i d f h c d f a c d ,d a c ,c ,d;italian7tab
9;;7r;[No title];;;OT;;none;"[aabc,a/] ,d ,b ,a ,,d ,,b ,,a ,,,c ,,a ,,b ,,d \
,a ,c ,e a c a c a c a ,e ,c [cfe,c]";italian7tab
10;;7v;[No title];;;OT;;none;",,,c/ c d ,c ,,,,c a c ,d ,,,,c ,d a ,d ,,,,a d c a \
,,,,c a ,d ,c ,,,,,d ,c ,d ,a";italian7tab
11;;8v;Brando franzese;;;OT;;none;",,a/4 ,,b [,,d{a}1] ,a/ ,,d1 [,,b{a}] ,,d/ ,,b1 [,,a{a}] ,,b/ \
,,d1 [,a{a}] ,,d/ ,,b ,,a ,,,c [,,,a{a}1] ,,,c/ ,,,a ,,,,e ,,,,c \
[,,,,e{a}1] ,,,,a/ ,,,,c ,,,,e ,,,c";italian7tab
12;;9r;[No title];;;OT;;none;"[,ddd{a}/] [,ddd] [,ddd{a}] [,ddd] [,cda{a}] ,c ,d a \
[bdd{a}] ,,,,a ,,,a ,,,c ,,,d ,,b [abd] ,,,,a \
[abd] ,a ,b ,d [dfg,d] ,,,f [dfg] ,f ,g d";italian7tab
13;;11r;[No title];;;OT;;none;",a2 ,a1 ,a | [a,,c2] ,,,c1 [a,,c] | [,df1] ,a [,df] [ac] | \
[cd,,c1] ,a [,da,c] ,,,,c | [ac,c2] [d,,c1] ,c | \
[c,,a1] ,,,,c [c,,a] [a,,c/] ,d |";italian7tab
14;;12v;[No title];;;OT;ConcR1349;none;"h4 i2 h/ a c d f1 h f d [ca] d [ab] [da] ,,,c/ ,,a ,,b ,,d \
[ca] ,,d [,ab] [,da,c] ,c ,a ,,d";italian7tab
15;;14v;Toccata santino;;;OT;;none;"[aacc,a1] h/ e a ,a ,,c ,,,c ,,,,c ,,,,,e ,,,,,a2 \
[aaacc] ,,,c/ ,,a ,,c ,,d ,a ,c ,e a c e f";italian7tab
16;;16r;[No title];;;OT;ConcR985;none;"f/ d c ,d a c d f ,b [da] ,,b ,,d ,a ,c ,d c \
[ac] ,,d ,a ,c ,d a ,,b [,da] ,,,,f ,,,c ,,a ,,c";italian7tab
