PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of the transcriptions on Sarge Gerbode's website;;;;;;;
1;;A1r;Fantasia 1;;7r;OT;;C;"[gf/] ,e [gf] c [ef1] [he] | \
[f,h/4] h k/ [k,h/4] h f/ [ea/4] f h/ [ha/4] f e/ |";germantab
2;;A2v;Fantasia 2;;8v;OT;ConcR3567;C;"a1 c/ e f1 [ea/] ,c | [cd/] a/4 c [ac1] [ea,c] [c,de/] ,,c | \
[acd/] ,,c/4 ,,d [aac/] ,c [cdde1] [efh,h/] f |";germantab
3;;A3v;Fantasia 3;;9v;OT;ConcR3568;C;",a1 ,a ,a/ ,a ,b ,,e | ,a/ ,,b [,,ea1] ,,d/ ,,a ,,,a ,,c | \
,,,,b/ ,,b [,,b,a] ,,,,,d [,bb,a]";germantab
4;;A4r;Fantasia 4;;10r;OT;ConcR2483;C;"h2 a1 h | [df/] f h f/4 h [i,,h1] [hf] | \
[f,g/] ,,i [df] ,d/4 ,f f/ d [fd] h |";germantab
5;;B1v;1. Si pur ti guardo;;11v;OT;ConcR195;C;"[,ddef1] [,dff,d1] [,ddef] | [,cdca/] ,a/4 ,c [,ddef1] z/ [cdda] [cdda] [cdda] | \
[acd,a/4] c d a [cdda] a ,d ,c [,dff,d3/2] [,dff/] |";germantab
6;;B2v;2. O s'io potessi donna;;12v;OT;ConcR868;C;"[hd,f,d2] [hd,f,d/] f/4 d ,h d f/8 d f h | [fdaa1] [fdaa] [da,c] [ca,ac] | \
[aa,cd/] ,,d/4 ,,b ,a ,,d ,a/8 ,,d ,,b ,,d [,efec1] c |";germantab
7;;B3v;3. Quand io pens a la martire;;13v;OT;ConcR1327;C;"[aa,c2] [acd/] ,,a/4 ,,c ,,d ,a ,c/8 ,a ,c ,e | \
[acd1] [,ac] [aa,c] [aacc] | \
[ccdde1] [,ede] [aadc] [aac/] ,,d |";germantab
8;;B4v;4. Signor mio Caro;;14v;OT;ConcR1807;C;",,,c2 [,a,c/4] ,,,b ,,,c ,,a ,,c ,,a ,,c/8 ,,a ,,c ,,d | \
[,af1] ,,c [acd/4] ,e ,c ,e a c e f |";germantab
9;;C1v;5. Vita de la mia vita;;15v;OT;ConcR1806;C;"[,bd,a3/4] ,a/4 ,b ,a ,b/8 ,a ,b ,d [abd,a/4] ,,,,c ,,,,d ,,,,c ,,,,a ,,,,c ,,,,d ,,,a | \
[aabc/] ,,d/4 ,a ,b ,d a c";germantab
10;;C2v;6. Io mi son giouinetta;;16v;OT;Conc_3995;C;"[cdf,c2] [ccee1] [cef,c] | [ef,c/4] c e f [ef,c/] [c,,b] [,ghge1] [ccd,,c] | \
[b,c,e/] ,c [cc,,b] a [,dfec/4] ,,f ,c ,d";germantab
11;;C3v;7. Del freddo rhenno;;17v;OT;;C;",,,,c1 ,,a [,,cc/4] ,,a ,,c/ [,,de/4] ,,c ,,d/ | \
[,ac1] [,acc] [,cde/4] ,a ,c/ [,efec/4] ,c ,e/ | \
[,fcce/] [,,dc] [caab1]";germantab
12;;C4r;8. Chil cre il sole;;18r;OT;;C;",a1 ,a [,ce/] ,,f/4 ,c [,ef/] ,c/4 ,e | \
[ac/4] ,e ,c ,a [,cd] ,a ,,d ,,c [,cd1] a/ ,,d |";germantab
13;;C4v;1. Susanne vng Iour;;18v;OT;ConcR860;C;",d2 b1 ,d | [b,e/4] ,d a b [d,b] a b d [fd1] ,,,a | \
[f,dd/4] d b a ,d/8 ,b ,a ,,d";germantab
14;;D2r;2. Ie prens en gre;;20r;OT;ConcR1358;C;"[,dda/4] a ,d/8 ,c ,d a c/4 a c/8 a ,d ,c \
[,dda/4] a c a ,d/8 ,c ,d a ,d ,c ,a ,,d |";germantab
15;;D3r;3. Pour paruenir;;21r;OT;;C;",a2 ,d1 ,,d | [ca/] a [ca] e [f,d1] [a,c] | \
[c,a/] a [cd] ,c/4 ,a [acd/] ,,c/4 ,,a [aa,c] ,d ,c ,a |";germantab
16;;D4r;4. Puis ne me peult venir;;22r;OT;ConcR1786;C;",f/4 ,,i ,f ,h ,i ,h ,i f h f ,i ,h ,f ,h ,i f | \
[hf/4] f h i h/ f";germantab
17;;E1r;5. Le departir;;23r;OT;ConcR2086;C;"a2 [ef1] h | [ac1] ,,d/ c [ef,c] c [e,f] f | \
[ha,gh1] [,ffg] [,,cce] [,cdca] | [,,ac/4] ,,d ,a ,c [aa] ,,d";germantab
18;;E2v;6. Ioyssance;;24v;OT;ConcR2083;C;"[,,d,f2] [,,d,f1] [,de,,d] | [,dd,f1] [,gd] ,,f [acd1] [,de] | \
[bdda/4] a ,d ,b ,a ,b ,d/8 a b d [bdda/] a/4 b [d,ef,d1] |";germantab
19;;E3v;7. Vn doulx nenny;;25v;OT;ConcR873;C;"[acd/4] ,a ,c/8 ,a ,c ,d a/4 ,d ,c ,a \
[acd] ,,c ,,d/8 ,,c ,,d ,a ,,d/4 ,,c ,,d/8 ,,c ,,a ,,,c |";germantab
20;;E4v;8. Vray dieu disoit vne fillette;;26v;OT;ConcR423;C;",d1 ,d/ a [fh] ,,i [f,h] [,if] | \
[,hi/4] ,f ,h ,i [f,i] ,i f/8 ,i f h [fhi1] [fhi/] [,fh] |";germantab
21;;F1r;9. Helas quel iour;;27r;OT;ConcR1977;C;"a1 ,,d [,fgh/] ,,,h/4 ,,i ,f ,,g ,,i/8 ,f ,g ,i | \
[ffgh/] ,,i [ffg] ,,,f [fggd/4] d g f [d,,d] ,g d/8 ,g ,f ,d |";germantab
22;;F2r;10. Le rosignol;;28r;OT;;C;",,d1 ,,c/ ,,a [a,,c1] [,ea/] ,c | [,acc/] ,,c [,,ab] [,c,ce] ,e [acd,e] [a,c] | \
[c,def/] [,a,,c] [,cde] ,,,e";germantab
23;;F3r;11. De plusieurs choses;;29r;OT;;C;"a1 [ha/] h [ef,c] ,f [cef,c] ,,f | \
[aacc/] ,,,c [,c,ce] ,,d [,efec] ,,f [aacc] ,,,,,a | \
[,aabc/] [c,,,c] [h,,,,e] [h,,,,h]";germantab
24;;F3v;1. Bewar mich Herr;;29v;OT;ConcR1228;C;"[aacc2] [aacc/4] ,e a c a ,e ,c ,a | \
[,cdca1] [,cdca] [,aabc/4] ,,,c ,,,e ,,,c \
,,,b ,,,,e ,,,c ,,,b |";germantab
25;;G1r;2. Ich weiss mir ein vest gebautes hauss;;31r;OT;ConcR2087;C;",a2 [a,,c/] ,d/4 ,c ,a ,c ,d a | \
[ca,,c/4] a ,d a c ,d a c [dffc] c ,f ,d ,f c d f |";germantab
26;;G2r;3. Der wein der schmeckt mir also wol;;32r;OT;;C;"h1 [,ff,h/] f [effc1] [ffgga] | [hfffh/] f/4 h [k,,hhf/] h [fddef] ,,,f [l,,hkl] ,,,,k | \
[lhik,h/] k [hhik] ,,,,,h";germantab
27;;G3r;4. Ist keiner hie der spricht zu mir;;33r;OT;ConcR2088;C;",,f1 ,a/ ,c [,df1] [a,d] | [cd1] [,a,,c/] ,,,,e [,a,a1] [e,,c] | \
[fd,e/] h [h,,f] ,,h/4 ,,f [,,h,h1] [g,he] |";germantab
28;;G4r;5. Im Meyen;;34r;OT;;C;"[,cde,c/4] ,,f ,,d ,,f [,cd] ,,f ,c ,e [,ggge1] [ccde,c/] [ccd,,c] | \
[,ggge1] [ccee,c/] c [,efec] ,c/4 ,e [aacc,a/] [,acc,a] |";germantab
29a;;G4r;1. Legem pone mihi Domine;;34r;OT;;C;"a2 [a,d/] ,d a/4 ,d ,c ,a | \
[,cd/] ,,a/4 ,,c ,,d ,,c ,,a ,,,c [,cde/] ,,,c [,c,e] ,,c |";germantab
29b;;H1v;Da mihi intellectum. Secunda pars;;35v;OT;;C;",,d2 [a,d/] ,d a/4 ,d ,c ,a | \
[ac/4] ,a ,,d ,,c ,,d ,a ,c ,d [,cd/] ,,c ,,a ,d |";germantab
30;;H2v;2. Sicut mater consolatur;;36v;OT;;C;",,,,c2 [,,a,a/] ,,,c ,,a ,,c/4 ,,d | \
[,aaa/] ,,d ,a/4 ,,d ,,c ,,a [,acc] ,,a ,,c ,,d ,a ,,d ,a ,c |";germantab
31a;;H3v;3. Confundantur;;37v;OT;;C;"c2 c1 ,a/4 ,,d ,a ,c | \
[,ef/4] ,c ,e ,f c ,f ,e ,c [,ef/] ,c/4 ,e [a,,c/] ,,a |";germantab
31b;;H4v;Fiat cor meum. Secunda Pars;;38v;OT;;C;",a2 ,c/ ,a/4 ,c ,e ,a ,c ,e | \
a/ ,e/4 ,c ,a ,c ,e a c1 ,a |";germantab
32a;;I1v;4. Confitemini Domino;;39v;OT;ConcR2848;C;",,,e2 [c,,e1] ,,,e | [c,a,c/] ,,a [caa1] [,aaac/4] ,c ,d a [ca,ac] ,d a c | \
[,dfec/] ,c/4 ,d [,d,ec/] ,c/4 ,,f";germantab
32b;;I2v;Narrate. Secunda pars;;40v;OT;ConcR2849;C;",a2 [cd3/2] ,c/ | [,df,c/] ,,,e [,aa] ,c [,aaac] ,,d [,daa] ,,,c | \
[,ddef/] [,,,ce] [,a,ac] ,,,,e \
[,aaac] ,,,c/4 ,c [,,aa/] [,dc] |";germantab
33;;I3v;5. Veni in hortum;;41v;OT;ConcR1857;C;",,,c2 [,a,c/4] ,,,b ,,,c ,,a ,,b ,,a ,,b ,,d | \
[,a,c/4] ,,d ,a ,b ,a ,,d ,,b ,,a [,a,c1] [,,bc] |";germantab
34a;;K1r;6. Nuncium vobis fero;;43r;OT;ConcR2845;C;",a1 [h,,g/] ,,,g [efc] e [fc,e] ,c | \
[cd1] [,df/] ,d [fc] [f,d] [efc] ,f | \
[cdf/] ,,f [acdca] [,,d,a] [,acc] [a,cce] [,aa,c] ,e |";germantab
34b;;K1v;Thus do myrrham. Secunda pars;;43v;OT;ConcR2846;C;",a1 [a,d/] ,,c [cd,e] ,c [aac] ,d | \
[,cde/] ,,d [aacc] [c,aa] [,cd,e] [a,c] [ccde,c] c | \
[cdfa/] ,,d [aacc] ,a";germantab
