PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;B1v;Ode prima Mecoenas atavis;;;OT;ConcR3131;none;"[,d,a2] [,d,a] | [,da,c2] [,db,c1] [,db,c] | [,cd,a2] [c,da] | \
[a,bc1] [,da,c] [a,bc2] | [c,a,c1] H[c,a,c] | [a,d,a2] [a,d,a] | \
[c,da2] [,daa1] [,da,c] | [,db,c2] [,cd,a] |";germantab
2;;B1v;Ode 2. Iam satis terris;;;OT;ConcR2878;none;"[,d,a2] [,a,a,d1] | [,a,a,d2] [,ab,,d] | [,ab,,d2] [,daa1] [,daa] | \
[,c,ca2] [,c,ca1] [,da,c2] | H[,a,a,d] | [a,d,a2] [a,d,a1] | \
[a,d,a2] [da,c] | [a,d,a2] [,da,c1] [,da,c] |";germantab
3;;B1v;Ode 3. Sic te diva potena Cypri;;;OT;ConcR3650;none;"[a,,c,a2] [a,,c,a2] | [a,bc2] [,da,c1] [a,,cd] [,,a,c] ,e | \
[a,,c,a1] H[a,,c,a] | [a,,ca2] [a,,ca] | [d,,c,a2] [d,,,ca1] [d,,,d] | \
[c,,a2] [a,,ca] | [,d,,c1] [,a,a] [,,,,df] ,,d |";germantab
4;;B1v;Ode 4. Solvitur acris hyems;;;OT;ConcR3651;none;"[f,da2] [c,da1] [c,da] | [cd,a2] [da,c1] [da,c] | [a,d,a2] [,cd,a] | \
[,cd,a2] [,c,ca1] [,ca,a] | [d,b,,d2] [c,da1] [d,bc] | \
z1 [c,de1] [,a,c] e |";germantab
5;;B2r;Ode 5. Quis multa gracilis;;;OT;ConcR3653;none;"[,d,a2] [,d,a] | [,da,c2] [,db,c1] [,db,c] | [,cd,a2] [c,da] | \
[a,bc1] [,da,c] [a,bc2] | [c,a,c1] H[c,a,c] | [a,d,a2] [a,d,a] | \
[c,da2] [,daa1] [,da,c] | [,db,c2] [,cd,a] |";germantab
6;;B2r;Ode 6. Scriberis vario;;;OT;ConcR3652;none;"[,d,a2] [,d,a] | [,da,c2] [,db,c1] [,db,c] | [,cd,a2] [c,da] | \
[a,bc1] [,da,c] [a,bc2] | [c,a,c1] H[c,a,c] | [a,d,a2] [a,d,a] | \
[c,da2] [,daa1] [,da,c] | [,db,c2] [,cd,a] |";germantab
7;;B2v;Ode 7. Laudabunt alii;;;OT;;none;"[ca,,c2] [ca,,c] | [a,b,,a2] [,ea,c1] [,ea,c] | [a,,c,a2] [a,,c,a] | \
[,da,c2] [,db,,d1] [,db,,d] | [c,da2] [,daa1] [c,da] | \
[a,bc2] H[,da,c] | [a,d,a2] [a,d,a1] [a,d,a] |";germantab
8;;B2v;Ode 8. Lydiadic per omnes;;;OT;;none;"[c,a,c2] [c,a,c1] [c,a,c] | [a,b,,a2] [a,b,,a1] | [,da,c2] H[,da,c] | \
[,da,c2] [,da,c1] [,da,c2] | [a,b,,a2] [a,b,,a] | [,b,ca1] [,b,ca] [,a,,cd2] | \
[,a,,cd2] [,a,,cd1] [,a,,cd] [,a,ac2] |";germantab
9;;B2v;Ode 9. Vides ut alta stet;;;OT;;none;"[d,a1] [cd,a2] [ac,,a1] | [cd,a2] [c,da] | [cd,a2] [ac,,a1] [cd,a] | \
[,a,c1] e [f,d,a] | H[f,d,a] | [cd,,c2] [cd,,c] | [fc,,a1] [hd,,,d2] | \
[c,da2] [cd,a] |";germantab
10;;B2v;Ode 11. Tu ne quesieris;;;OT;;none;"[f,d,a2] [f,d,a] | [f,d,a2] [f,aa1] [f,aa] | [c,da2] [,df,c] | \
[a,d,d1] [a,d,d] [,df,c2] | [,da,c2] [,db,,d1] [,db,,d] [,,,ca] ,c | \
[,dda1] [,dda4] |";germantab
