PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A1r;1. Plus que iamais;;;cittern;ConcR2959;C;"[cead2] [caad1] [caad] | [acac/] ,,,a ,,,c ,,,d [acac1] [caad] | \
[daca3/2] [daca/] [daca1] [daca] | \
[acac1] [cacd] [acad/] ,,,c/4 ,,,d ,,,c ,,,a ,,,c |";italian4tab
2;;A1v;2. Oye saman;;;cittern;ConcR2894;C;"[acac1] [acac] [acac] | [acac2] [acac1] | [edad2] [edae1] [acac] | \
[edad1] [aede] [eddf/] ,,,e/4 ,,,d ,,d f e d |";italian4tab
3;;A2r;3. Quand ie cogneu;;;cittern;ConcR2895;3;"[eddf1] [eddf] [eddf] | [dede2] [dede1] | [edad3/2] ,e/ [edad1] | \
[acac2] [acac1] | [edad1] [edad] [aede] | \
[aede1] [eddf] [eddf/] [dede] |";italian4tab
4;;A2v;4. En esperance i'endure;;;cittern;ConcR2960;C;"[caad2] [caad/] ,,,a/4 ,,,c ,,,d ,,,a ,,,c/8 ,,,a ,,,c ,,,d | \
[acac/] ,,,a/4 ,,,c [caad/] ,,,c/4 ,,,d [aede1] [aede/] [aede] |";italian4tab
5;;A3r;5. Ie ne veux plus;;;cittern;ConcR2961;C;"[caad2] [dabc1] [caad] | [dab/] ,,,d ,,b c/4 a [caad1] [,dab] | \
[,dbd1] [edef] [aede] [,dbd] | \
[,dab/4] ,,,a ,,,b ,,,d ,,,b ,,b ,,a ,e [,dab2] |";italian4tab
6;;A3v;6. Par bien servir;;;cittern;ConcR2896;C;"[caad2] [caad1] [caad] | [dacd1] [dacd] [aede] [aede] | [eddf2] [eddf1] [dede] | \
[,dbd1] [dabc] [acad/] ,,,c/4 ,,,a ,,,d ,,,c ,,,a ,,,c |";italian4tab
7;;A4r;7. Lennuy qui me tourmente;;;cittern;ConcR2897;C;"z1 [egeg] [geeh] [egeg] | [aede1] [cacd] [acac/] ,,,a ,,,c/4 ,,,a ,,,c ,,,d | \
[acac1] [egeg] [geeh/] [egeg] [aede] [caad] |";italian4tab
8;;A4v;8. Est is possible;;;cittern;ConcR1862;C;"[,khk2] [,kgh1] [,kgh] | [eaef2] [acac] | z1 [acac] [eaef] [eaef] | \
[,khk2] [,khk] | [,kgh1] [,kgh2] [,kgh1] | \
[eaeg1] [geeh] [iggk/] k [iggk1] |";italian4tab
9;;A4v;9. Puis qu'une mort;;;cittern;;C;"[iggk2] [,geg3/2] [geeh/] | [acac2] [caad] | z1 [,geg] [iggk] [,mik] | \
[,mkm2] [,mik1] [mik2] [,mik1] | \
[aigi/] ,,,k [aigk] ,,,i [iggk2] |";italian4tab
10;;B1r;10. Susan ung iour;;Lupi;cittern;ConcR198;C;"z1 [,aad] [baad2] | [dabd2] [acac3/4] ,,,a/4 ,,,c ,,,a ,,,c ,,,d | \
,,,c1 [acac] [acac] [acac] | \
[dabd/] ,,,e [eddf1] [dede/] ,,,f [dedf] ,,,e |";italian4tab
11;;B1v;11. De me sanui;;;cittern;ConcR2962;C;"[egeg2] [egeg/] ,,,e ,,,g ,,,h | [egeg1] [dacd] [aede] [egeg] | \
[geeh/] ,,,e/4 ,,,g ,,,h ,,,e ,,,g/8 ,,,e ,,,g ,,,h \
[egeg/] ,,,e ,,,g/4 ,,,e ,,,g ,,,h |";italian4tab
